bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,0.5346571009380091,334.342,20
0,0.0,5.0,1,sink,0,82.53699999999999,20
1,5.0,10.0,0,source,0.5346571009380091,259.53499999999997,20
1,5.0,10.0,1,sink,0,82.35049999999998,20
2,10.0,15.0,0,source,0.5346571009380091,332.41499999999996,20
2,10.0,15.0,1,sink,0,82.35450000000002,20
3,15.0,20.0,0,source,0.5346571009380091,342.542,20
3,15.0,20.0,1,sink,0,82.37100000000001,20
4,20.0,25.0,0,source,0.5346571009380091,318.28800000000007,20
4,20.0,25.0,1,sink,0,82.415,20
5,25.0,30.0,0,source,0.5346571009380091,287.427,20
5,25.0,30.0,1,sink,0,82.41749999999999,20
6,30.0,35.0,0,source,0.5346571009380091,303.219,20
6,30.0,35.0,1,sink,0,82.422,20
7,35.0,40.0,0,source,0.5346571009380091,263.6245,20
7,35.0,40.0,1,sink,0,82.572,20
8,40.0,45.0,0,source,0.5346571009380091,185.9485,20
8,40.0,45.0,1,sink,0,82.62899999999999,20
9,45.0,50.0,0,source,0.5346571009380091,232.93400000000003,20
9,45.0,50.0,1,sink,0,82.63999999999999,20
10,50.0,55.0,0,source,0.5346571009380091,292.0355,20
10,50.0,55.0,1,sink,0,82.7305,20
11,55.0,60.0,0,source,0.5346571009380091,231.26549999999997,20
11,55.0,60.0,1,sink,0,82.746,20
12,60.0,65.0,0,source,0.5346571009380091,266.45000000000005,18
12,60.0,65.0,1,sink,0,336.31333333333333,18
13,65.0,70.0,0,source,0.5346571009380091,154.73700000000002,20
13,65.0,70.0,1,sink,0,347.552,20
14,70.0,75.0,0,source,0.25895730363903113,89.3355,20
14,70.0,75.0,1,sink,0.275699797298978,353.9745,20
15,75.0,80.0,0,source,0.25895730363903113,190.76049999999998,20
15,75.0,80.0,1,sink,0.275699797298978,355.308,20
16,80.0,85.0,0,source,0.25895730363903113,89.2645,20
16,80.0,85.0,1,sink,0.275699797298978,355.2725,20
17,85.0,90.0,0,source,0.0768117718047614,136.29450000000003,20
17,85.0,90.0,1,sink,0.4578453291332477,359.28100000000006,20
18,90.0,95.0,0,source,0.0768117718047614,128.531,20
18,90.0,95.0,1,sink,0.4578453291332477,357.33900000000006,20
19,95.0,100.0,0,source,0.0768117718047614,164.8585,20
19,95.0,100.0,1,sink,0.4578453291332477,209.9975,20
20,100.0,105.0,0,source,0.0768117718047614,192.55599999999998,20
20,100.0,105.0,1,sink,0.4578453291332477,336.575,20
21,105.0,110.0,0,source,0.0768117718047614,171.80450000000002,20
21,105.0,110.0,1,sink,0.4578453291332477,266.1405,20
22,110.0,115.0,0,source,0.0768117718047614,103.2135,20
22,110.0,115.0,1,sink,0.4578453291332477,270.2540000000001,20
23,115.0,120.0,0,source,0.0768117718047614,121.5945,20
23,115.0,120.0,1,sink,0.4578453291332477,160.85,20
24,120.0,125.0,0,source,0.0768117718047614,107.78450000000001,20
24,120.0,125.0,1,sink,0.4578453291332477,267.4915,20
25,125.0,130.0,0,source,0.0768117718047614,102.298,20
25,125.0,130.0,1,sink,0.4578453291332477,354.42849999999993,20
26,130.0,135.0,0,source,0.0768117718047614,139.11399999999998,20
26,130.0,135.0,1,sink,0.4578453291332477,356.558,20
27,135.0,140.0,0,source,0.0768117718047614,100.853,20
27,135.0,140.0,1,sink,0.4578453291332477,351.00949999999995,20
28,140.0,143.30027198791504,0,source,0.0768117718047614,282.3246153846154,13
28,140.0,143.30027198791504,1,sink,0.4578453291332477,366.3623076923077,13
