bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,0.5346571009380091,170.1695,20
0,0.0,5.0,1,sink,0,82.5445,20
1,5.0,10.0,0,source,0.5346571009380091,342.03350000000006,20
1,5.0,10.0,1,sink,0,82.55100000000002,20
2,10.0,15.0,0,source,0.5346571009380091,344.30949999999996,20
2,10.0,15.0,1,sink,0,82.6235,20
3,15.0,20.0,0,source,0.5346571009380091,343.437,20
3,15.0,20.0,1,sink,0,82.7305,20
4,20.0,25.0,0,source,0.5346571009380091,332.18249999999995,20
4,20.0,25.0,1,sink,0,82.72350000000002,20
5,25.0,30.0,0,source,0.5346571009380091,354.84000000000003,20
5,25.0,30.0,1,sink,0,82.9685,20
6,30.0,35.0,0,source,0.5346571009380091,253.97449999999998,20
6,30.0,35.0,1,sink,0,82.74849999999999,20
7,35.0,40.0,0,source,0.5346571009380091,181.9605,20
7,35.0,40.0,1,sink,0,82.80550000000001,20
8,40.0,45.0,0,source,0.5346571009380091,287.867,20
8,40.0,45.0,1,sink,0,82.71899999999998,20
9,45.0,50.0,0,source,0.5346571009380091,210.041,20
9,45.0,50.0,1,sink,0,82.40350000000001,20
10,50.0,55.0,0,source,0.5346571009380091,342.2465,20
10,50.0,55.0,1,sink,0,82.471,20
11,55.0,60.0,0,source,0.5346571009380091,326.4505,20
11,55.0,60.0,1,sink,0,82.406,20
12,60.0,65.0,0,source,0.5346571009380091,326.3945,20
12,60.0,65.0,1,sink,0,82.47549999999998,20
13,65.0,70.0,0,source,0.5346571009380091,183.58050000000003,20
13,65.0,70.0,1,sink,0,82.4835,20
14,70.0,75.0,0,source,0.5346571009380091,167.144,20
14,70.0,75.0,1,sink,0,82.484,20
15,75.0,80.0,0,source,0.5346571009380091,89.78400000000002,20
15,75.0,80.0,1,sink,0,82.55350000000001,20
16,80.0,85.0,0,source,0.5331240346459842,171.53249999999997,20
16,80.0,85.0,1,sink,0.00153306629202491,326.66,20
17,85.0,90.0,0,source,0.5331240346459842,112.61526315789476,19
17,85.0,90.0,1,sink,0.00153306629202491,332.4547368421052,19
18,90.0,95.0,0,source,0.5285326004820177,116.168,20
18,90.0,95.0,1,sink,0.006124500455991466,343.11,20
19,95.0,100.0,0,source,0.5285326004820177,108.57600000000002,20
19,95.0,100.0,1,sink,0.006124500455991466,323.27350000000007,20
20,100.0,105.0,0,source,0.4785621904282417,192.73350000000002,20
20,100.0,105.0,1,sink,0.05609491050976741,366.31399999999996,20
21,105.0,110.0,0,source,0.4785621904282417,98.00699999999999,20
21,105.0,110.0,1,sink,0.05609491050976741,326.61499999999995,20
22,110.0,115.0,0,source,0.02071686129499395,88.23999999999998,20
22,110.0,115.0,1,sink,0.5139402396430152,358.5574999999999,20
23,115.0,120.0,0,source,0.02071686129499395,88.137,20
23,115.0,120.0,1,sink,0.5139402396430152,364.44800000000004,20
24,120.0,125.0,0,source,0.02071686129499395,95.84299999999999,20
24,120.0,125.0,1,sink,0.5139402396430152,358.2675,20
25,125.0,130.0,0,source,0.02071686129499395,127.8185,20
25,125.0,130.0,1,sink,0.5139402396430152,360.32399999999996,20
26,130.0,135.0,0,source,0.02071686129499395,88.529,20
26,130.0,135.0,1,sink,0.5139402396430152,336.0200000000001,20
27,135.0,140.0,0,source,0.02071686129499395,88.37149999999998,20
27,135.0,140.0,1,sink,0.5139402396430152,359.4685,20
28,140.0,145.0,0,source,0.02071686129499395,88.33149999999998,20
28,140.0,145.0,1,sink,0.5139402396430152,357.49850000000004,20
29,145.0,150.0,0,source,0.02071686129499395,135.026,20
29,145.0,150.0,1,sink,0.5139402396430152,361.6075,20
30,150.0,155.0,0,source,0.02071686129499395,356.167,20
30,150.0,155.0,1,sink,0.5139402396430152,263.20050000000003,20
31,155.0,160.0,0,source,0.02071686129499395,259.00849999999997,20
31,155.0,160.0,1,sink,0.5139402396430152,257.8395,20
32,160.0,165.0,0,source,0.02071686129499395,138.849,20
32,160.0,165.0,1,sink,0.5139402396430152,364.55899999999997,20
33,165.0,168.9599666595459,0,source,0.02071686129499395,90.0,16
33,165.0,168.9599666595459,1,sink,0.5139402396430152,269.72562500000004,16
