timestamp,index,power_w,util_gpu,memory_mib
2026/07/14 11:40:00.491, 0, 86.19, 0, 74059
2026/07/14 11:40:00.494, 1, 83.99, 0, 74057
2026/07/14 11:40:00.745, 0, 358.37, 25, 74059
2026/07/14 11:40:00.745, 1, 83.99, 0, 74057
2026/07/14 11:40:00.995, 0, 369.96, 100, 74059
2026/07/14 11:40:00.995, 1, 83.99, 0, 74057
2026/07/14 11:40:01.245, 0, 381.39, 100, 74059
2026/07/14 11:40:01.245, 1, 83.99, 0, 74057
2026/07/14 11:40:01.495, 0, 335.36, 98, 74059
2026/07/14 11:40:01.496, 1, 83.99, 0, 74057
2026/07/14 11:40:01.746, 0, 111.86, 99, 74059
2026/07/14 11:40:01.746, 1, 83.99, 0, 74057
2026/07/14 11:40:01.996, 0, 134.44, 45, 74059
2026/07/14 11:40:01.996, 1, 83.99, 0, 74057
2026/07/14 11:40:02.246, 0, 131.11, 35, 74059
2026/07/14 11:40:02.246, 1, 83.99, 0, 74057
2026/07/14 11:40:02.496, 0, 132.92, 34, 74059
2026/07/14 11:40:02.497, 1, 83.81, 0, 74057
2026/07/14 11:40:02.747, 0, 134.17, 35, 74059
2026/07/14 11:40:02.747, 1, 83.81, 0, 74057
2026/07/14 11:40:02.997, 0, 133.11, 34, 74059
2026/07/14 11:40:02.997, 1, 83.72, 0, 74057
2026/07/14 11:40:03.247, 0, 138.70, 34, 74059
2026/07/14 11:40:03.247, 1, 83.81, 0, 74057
2026/07/14 11:40:03.497, 0, 134.58, 34, 74059
2026/07/14 11:40:03.498, 1, 83.89, 0, 74057
2026/07/14 11:40:03.748, 0, 134.17, 34, 74059
2026/07/14 11:40:03.748, 1, 83.72, 0, 74057
2026/07/14 11:40:03.998, 0, 129.32, 34, 74059
2026/07/14 11:40:03.998, 1, 83.81, 0, 74057
2026/07/14 11:40:04.248, 0, 130.52, 35, 74059
2026/07/14 11:40:04.248, 1, 83.72, 0, 74057
2026/07/14 11:40:04.498, 0, 125.07, 44, 74059
2026/07/14 11:40:04.499, 1, 83.81, 0, 74057
2026/07/14 11:40:04.749, 0, 132.04, 35, 74059
2026/07/14 11:40:04.749, 1, 83.72, 0, 74057
2026/07/14 11:40:04.999, 0, 131.72, 35, 74059
2026/07/14 11:40:04.999, 1, 83.81, 0, 74057
2026/07/14 11:40:05.249, 0, 131.11, 35, 74059
2026/07/14 11:40:05.249, 1, 83.81, 0, 74057
2026/07/14 11:40:05.499, 0, 132.04, 35, 74059
2026/07/14 11:40:05.500, 1, 83.81, 0, 74057
2026/07/14 11:40:05.750, 0, 388.75, 33, 74059
2026/07/14 11:40:05.750, 1, 83.72, 0, 74057
2026/07/14 11:40:06.000, 0, 406.01, 85, 74059
2026/07/14 11:40:06.000, 1, 83.72, 0, 74057
2026/07/14 11:40:06.250, 0, 395.90, 100, 74059
2026/07/14 11:40:06.250, 1, 83.64, 0, 74057
2026/07/14 11:40:06.501, 0, 378.33, 100, 74059
2026/07/14 11:40:06.501, 1, 83.72, 0, 74057
2026/07/14 11:40:06.751, 0, 382.91, 91, 74059
2026/07/14 11:40:06.751, 1, 83.72, 0, 74057
2026/07/14 11:40:07.001, 0, 371.97, 100, 74059
2026/07/14 11:40:07.001, 1, 83.72, 0, 74057
2026/07/14 11:40:07.251, 0, 345.04, 100, 74059
2026/07/14 11:40:07.251, 1, 83.99, 0, 74057
2026/07/14 11:40:07.502, 0, 385.02, 100, 74059
2026/07/14 11:40:07.502, 1, 83.99, 0, 74057
2026/07/14 11:40:07.752, 0, 365.98, 100, 74059
2026/07/14 11:40:07.752, 1, 83.99, 0, 74057
2026/07/14 11:40:08.002, 0, 383.18, 100, 74059
2026/07/14 11:40:08.002, 1, 83.64, 0, 74057
2026/07/14 11:40:08.252, 0, 375.94, 100, 74059
2026/07/14 11:40:08.252, 1, 83.72, 0, 74057
2026/07/14 11:40:08.502, 0, 350.52, 100, 74059
2026/07/14 11:40:08.503, 1, 83.72, 0, 74057
2026/07/14 11:40:08.753, 0, 362.01, 100, 74059
2026/07/14 11:40:08.753, 1, 83.64, 0, 74057
2026/07/14 11:40:09.003, 0, 343.76, 100, 74059
2026/07/14 11:40:09.003, 1, 83.72, 0, 74057
2026/07/14 11:40:09.253, 0, 137.62, 79, 74059
2026/07/14 11:40:09.254, 1, 83.72, 0, 74057
2026/07/14 11:40:09.504, 0, 141.42, 38, 74059
2026/07/14 11:40:09.504, 1, 83.72, 0, 74057
2026/07/14 11:40:09.754, 0, 147.37, 39, 74059
2026/07/14 11:40:09.754, 1, 83.72, 0, 74057
2026/07/14 11:40:10.004, 0, 146.93, 38, 74059
2026/07/14 11:40:10.004, 1, 83.81, 0, 74057
2026/07/14 11:40:10.254, 0, 139.62, 38, 74059
2026/07/14 11:40:10.255, 1, 83.72, 0, 74057
2026/07/14 11:40:10.505, 0, 354.77, 62, 74059
2026/07/14 11:40:10.505, 1, 83.72, 0, 74057
2026/07/14 11:40:10.755, 0, 380.46, 100, 74059
2026/07/14 11:40:10.755, 1, 83.72, 0, 74057
2026/07/14 11:40:11.005, 0, 354.99, 100, 74059
