bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,0.08148429714693857,149.21050000000002,20
0,0.0,5.0,1,sink,0,83.226,20
1,5.0,10.0,0,source,0.08148429714693857,152.55900000000003,20
1,5.0,10.0,1,sink,0,83.329,20
2,10.0,15.0,0,source,0.08148429714693857,307.72799999999995,20
2,10.0,15.0,1,sink,0,83.49600000000001,20
3,15.0,20.0,0,source,0.08148429714693857,104.69949999999999,20
3,15.0,20.0,1,sink,0,83.13449999999999,20
4,20.0,25.0,0,source,0.08148429714693857,123.7405,20
4,20.0,25.0,1,sink,0,82.95349999999999,20
5,25.0,30.0,0,source,0.08148429714693857,87.914,20
5,25.0,30.0,1,sink,0,82.861,20
6,30.0,35.0,0,source,0.08148429714693857,87.66600000000001,20
6,30.0,35.0,1,sink,0,83.0355,20
7,35.0,40.0,0,source,0.08148429714693857,104.59299999999999,20
7,35.0,40.0,1,sink,0,83.14349999999999,20
8,40.0,45.0,0,source,0.08148429714693857,121.1085,20
8,40.0,45.0,1,sink,0,83.24549999999999,20
9,45.0,50.0,0,source,0.08148429714693857,111.8255,20
9,45.0,50.0,1,sink,0,83.15899999999999,20
10,50.0,55.0,0,source,0.08148429714693857,86.7585,20
10,50.0,55.0,1,sink,0,83.19149999999999,20
11,55.0,60.0,0,source,0.08148429714693857,163.95649999999998,20
11,55.0,60.0,1,sink,0,83.21499999999999,20
12,60.0,65.0,0,source,0.08148429714693857,95.01000000000002,20
12,60.0,65.0,1,sink,0,157.199,20
13,65.0,70.0,0,source,0.06141369145881078,106.179,20
13,65.0,70.0,1,sink,0.02007060568812779,228.11550000000003,20
14,70.0,75.0,0,source,0.03977828563515637,100.958,20
14,70.0,75.0,1,sink,0.0417060115117822,305.8495,20
15,75.0,80.0,0,source,0.026738941943196974,114.8445,20
15,75.0,80.0,1,sink,0.054745355203741596,291.68449999999996,20
16,80.0,85.0,0,source,0.013847263824389028,90.19149999999999,20
16,80.0,85.0,1,sink,0.06763703332254954,332.89649999999995,20
17,85.0,90.0,0,source,0.009255714013007732,87.1335,20
17,85.0,90.0,1,sink,0.07222858313393084,306.67600000000004,20
18,90.0,95.0,0,source,0.00416924771433741,87.318,20
18,90.0,95.0,1,sink,0.07731504943260116,238.4415,20
19,95.0,100.0,0,source,0.003568509056705499,87.35550000000003,20
19,95.0,100.0,1,sink,0.07791578809023307,220.00800000000004,20
20,100.0,105.0,0,source,0.0,87.4985,20
20,100.0,105.0,1,sink,0.08148429714693858,116.35100000000003,20
21,105.0,110.0,0,source,0.0,87.5235,20
21,105.0,110.0,1,sink,0.08148429714693858,160.17749999999995,20
22,110.0,115.0,0,source,0.0,87.49800000000002,20
22,110.0,115.0,1,sink,0.08148429714693858,108.922,20
23,115.0,120.0,0,source,0.0,87.0885,20
23,115.0,120.0,1,sink,0.08148429714693858,103.8305,20
24,120.0,125.0,0,source,0.0,86.848,20
24,120.0,125.0,1,sink,0.08148429714693858,198.976,20
25,125.0,130.0,0,source,0.0,86.776,20
25,125.0,130.0,1,sink,0.08148429714693858,258.533,20
26,130.0,135.0,0,source,0.0,86.931,20
26,130.0,135.0,1,sink,0.08148429714693858,96.093,20
27,135.0,140.0,0,source,0.0,86.86800000000001,20
27,135.0,140.0,1,sink,0.08148429714693858,115.176,20
28,140.0,145.0,0,source,0.0,86.8221052631579,19
28,140.0,145.0,1,sink,0.08148429714693858,84.61000000000001,19
29,145.0,150.0,0,source,0.0,86.7225,20
29,145.0,150.0,1,sink,0.08148429714693858,116.92199999999998,20
30,150.0,155.0,0,source,0.0,86.66749999999999,20
30,150.0,155.0,1,sink,0.08148429714693858,84.041,20
31,155.0,158.47862815856934,0,source,0.0,86.69500000000001,14
31,155.0,158.47862815856934,1,sink,0.08148429714693858,103.65428571428572,14
