bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,0.08148429714693857,125.97200000000001,20
0,0.0,5.0,1,sink,0,83.10299999999998,20
1,5.0,10.0,0,source,0.08148429714693857,228.07549999999998,20
1,5.0,10.0,1,sink,0,83.1675,20
2,10.0,15.0,0,source,0.08148429714693857,221.76900000000006,20
2,10.0,15.0,1,sink,0,83.18050000000002,20
3,15.0,20.0,0,source,0.08148429714693857,88.6525,20
3,15.0,20.0,1,sink,0,83.41099999999999,20
4,20.0,25.0,0,source,0.08148429714693857,115.29799999999997,20
4,20.0,25.0,1,sink,0,83.196,20
5,25.0,30.0,0,source,0.08148429714693857,87.4745,20
5,25.0,30.0,1,sink,0,83.32900000000002,20
6,30.0,35.0,0,source,0.08148429714693857,87.22600000000001,20
6,30.0,35.0,1,sink,0,83.34750000000001,20
7,35.0,40.0,0,source,0.08148429714693857,126.92900000000002,20
7,35.0,40.0,1,sink,0,82.9455,20
8,40.0,45.0,0,source,0.08148429714693857,127.36500000000001,20
8,40.0,45.0,1,sink,0,82.94449999999999,20
9,45.0,50.0,0,source,0.08148429714693857,87.48150000000001,20
9,45.0,50.0,1,sink,0,83.085,20
10,50.0,55.0,0,source,0.08148429714693857,115.60700000000001,20
10,50.0,55.0,1,sink,0,82.996,20
11,55.0,60.0,0,source,0.08148429714693857,130.072,20
11,55.0,60.0,1,sink,0,83.03899999999999,20
12,60.0,65.0,0,source,0.08148429714693857,87.11200000000001,20
12,60.0,65.0,1,sink,0,239.1325,20
13,65.0,70.0,0,source,0.03977828563515637,116.17200000000003,20
13,65.0,70.0,1,sink,0.0417060115117822,310.38050000000004,20
14,70.0,75.0,0,source,0.03977828563515637,86.70150000000002,20
14,70.0,75.0,1,sink,0.0417060115117822,187.945,20
15,75.0,80.0,0,source,0.03518673582377507,86.89950000000002,20
15,75.0,80.0,1,sink,0.0462975613231635,129.075,20
16,80.0,85.0,0,source,0.03518673582377507,86.751,20
16,80.0,85.0,1,sink,0.0462975613231635,84.66549999999998,20
17,85.0,90.0,0,source,0.03518673582377507,86.8775,20
17,85.0,90.0,1,sink,0.0462975613231635,84.4085,20
18,90.0,95.0,0,source,0.03518673582377507,86.881,20
18,90.0,95.0,1,sink,0.0462975613231635,108.102,20
19,95.0,100.0,0,source,0.03518673582377507,86.75399999999999,20
19,95.0,100.0,1,sink,0.0462975613231635,123.24950000000001,20
20,100.0,105.0,0,source,0.03518673582377507,86.786,20
20,100.0,105.0,1,sink,0.0462975613231635,118.59,20
21,105.0,110.0,0,source,0.03518673582377507,123.2365,20
21,105.0,110.0,1,sink,0.0462975613231635,103.16600000000001,20
22,110.0,115.0,0,source,0.03518673582377507,94.74650000000001,20
22,110.0,115.0,1,sink,0.0462975613231635,83.79150000000001,20
23,115.0,120.0,0,source,0.03518673582377507,123.75899999999999,20
23,115.0,120.0,1,sink,0.0462975613231635,83.67,20
24,120.0,125.0,0,source,0.03518673582377507,92.378,20
24,120.0,125.0,1,sink,0.0462975613231635,307.09299999999996,20
25,125.0,130.0,0,source,0.03518673582377507,128.193,20
25,125.0,130.0,1,sink,0.0462975613231635,127.87749999999998,20
26,130.0,133.04912447929382,0,source,0.03518673582377507,87.37249999999999,12
26,130.0,133.04912447929382,1,sink,0.0462975613231635,84.66666666666667,12
