monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5557406549831786,1784172136904815799,0,89.75,0,75261,1
5557406549831786,1784172136904815799,1,84.25,0,74059,1
5557406827104738,1784172137182087511,0,89.75,0,75261,1
5557406827104738,1784172137182087511,1,84.25,0,74059,1
5557407107063116,1784172137462045189,0,400.34,88,75261,1
5557407107063116,1784172137462045189,1,84.17,0,74059,1
5557407387589548,1784172137742571421,0,355.55,100,75261,1
5557407387589548,1784172137742571421,1,84.17,0,74059,1
5557407663555822,1784172138018537695,0,360.11,100,75261,1
5557407663555822,1784172138018537695,1,84.08,0,74059,1
5557407944391632,1784172138299373405,0,357.67,97,75261,1
5557407944391632,1784172138299373405,1,84.17,0,74059,1
5557408220058177,1784172138575040370,0,335.87,100,75261,1
5557408220058177,1784172138575040370,1,84.08,0,74059,1
5557408497335259,1784172138852317472,0,359.52,100,75261,1
5557408497335259,1784172138852317472,1,84.49,0,74059,1
5557408825744209,1784172139180726592,0,271.74,100,75261,1
5557408825744209,1784172139180726592,1,83.89,0,74059,1
5557409101610623,1784172139456592496,0,140.67,36,75261,1
5557409101610623,1784172139456592496,1,83.98,0,74059,1
5557409414968176,1784172139769949969,0,140.67,22,75261,1
5557409414968176,1784172139769949969,1,83.98,0,74059,1
5557409722738608,1784172140077720061,0,91.88,0,75261,1
5557409722738608,1784172140077720061,1,83.89,0,74059,1
5557410007980069,1784172140362961792,0,91.28,2,75261,1
5557410007980069,1784172140362961792,1,83.98,0,74059,1
5557410284381159,1784172140639363952,0,346.47,100,75261,1
5557410284381159,1784172140639363952,1,83.89,0,74059,1
5557410562339244,1784172140917321437,0,397.62,100,75261,1
5557410562339244,1784172140917321437,1,83.89,0,74059,1
5557410845400575,1784172141200382408,0,413.65,100,75261,1
5557410845400575,1784172141200382408,1,83.89,0,74059,1
5557411124731888,1784172141479713721,0,352.83,97,75261,1
5557411124731888,1784172141479713721,1,83.89,0,74059,1
5557411416041616,1784172141771023749,0,364.95,83,75261,1
5557411416041616,1784172141771023749,1,83.89,0,74059,1
5557411697422131,1784172142052404344,0,138.55,33,75261,1
5557411697422131,1784172142052404344,1,83.98,0,74059,1
5557411972186145,1784172142327168428,0,127.66,33,75261,1
5557411972186145,1784172142327168428,1,83.98,0,74059,1
5557412247612672,1784172142602594795,0,143.85,35,75261,1
5557412247612672,1784172142602594795,1,83.89,0,74059,1
5557412526793057,1784172142881775270,0,140.26,35,75261,1
5557412526793057,1784172142881775270,1,83.66,0,74059,1
5557412805990022,1784172143160972145,0,137.62,35,75261,1
5557412805990022,1784172143160972145,1,83.66,0,74059,1
5557413080450898,1784172143435433641,0,137.03,35,75261,1
5557413080450898,1784172143435433641,1,83.66,0,74059,1
5557413387739035,1784172143742720488,0,91.55,26,75261,1
5557413387739035,1784172143742720488,1,83.66,0,74059,1
5557413708803040,1784172144063784493,0,91.55,0,75261,1
5557413708803040,1784172144063784493,1,83.98,0,74059,1
5557414060507684,1784172144415489547,0,396.69,0,75261,1
5557414060507684,1784172144415489547,1,83.89,0,74059,1
5557414340274443,1784172144695256286,0,409.14,100,75261,1
5557414340274443,1784172144695256286,1,83.57,0,74059,1
5557414619843985,1784172144974825838,0,377.35,100,75261,1
5557414619843985,1784172144974825838,1,83.89,0,74059,1
5557414895661729,1784172145250643562,0,274.14,93,75261,1
5557414895661729,1784172145250643562,1,83.89,0,74059,1
5557415176048173,1784172145531030336,0,341.31,100,75261,1
5557415176048173,1784172145531030336,1,83.89,0,74059,1
5557415454807782,1784172145809789645,0,337.73,100,75261,1
5557415454807782,1784172145809789645,1,83.57,0,74059,1
5557415734040306,1784172146089022529,0,353.76,100,75261,1
5557415734040306,1784172146089022529,1,83.48,0,74059,1
5557416012384288,1784172146367367051,0,405.50,100,75261,1
5557416012384288,1784172146367367051,1,83.57,0,74059,1
5557416292746522,1784172146647728335,0,371.91,100,75261,1
5557416292746522,1784172146647728335,1,83.48,0,74059,1
5557416571553970,1784172146926535813,0,327.40,100,75261,1
5557416571553970,1784172146926535813,1,83.29,0,74059,1
5557416853167304,1784172147208149237,0,361.31,93,75261,1
5557416853167304,1784172147208149237,1,83.57,0,74059,1
5557417133935334,1784172147488917867,0,339.25,100,75261,1
5557417133935334,1784172147488917867,1,83.57,0,74059,1
5557417416849866,1784172147771831749,0,369.46,100,75261,1
5557417416849866,1784172147771831749,1,83.57,0,74059,1
5557417695589945,1784172148050571928,0,391.58,100,75261,1
5557417695589945,1784172148050571928,1,83.57,0,74059,1
5557417975792830,1784172148330775033,0,339.84,100,75261,1
5557417975792830,1784172148330775033,1,83.57,0,74059,1
5557418299464502,1784172148654447105,0,142.98,98,75261,1
5557418299464502,1784172148654447105,1,83.66,0,74059,1
5557418575956311,1784172148930939824,0,145.70,38,75261,1
5557418575956311,1784172148930939824,1,83.66,0,74059,1
5557418875174589,1784172149230156432,0,96.89,15,75261,1
5557418875174589,1784172149230156432,1,83.57,0,74059,1
5557419188855689,1784172149543837162,0,93.17,0,75261,1
5557419188855689,1784172149543837162,1,83.66,0,74059,1
5557419471893219,1784172149826875082,0,92.75,0,75261,1
5557419471893219,1784172149826875082,1,83.66,0,74059,1
5557419749175091,1784172150104157274,0,416.86,91,75261,1
5557419749175091,1784172150104157274,1,83.57,0,74059,1
5557420023284550,1784172150378266063,0,384.63,100,75261,1
5557420023284550,1784172150378266063,1,83.57,0,74059,1
5557420315289882,1784172150670272595,0,366.75,100,75261,1
