monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5549659519985515,1784164389874969448,0,92.48,0,75261,1
5549659519985515,1784164389874969448,1,83.38,0,74057,1
5549659799042353,1784164390154024586,0,92.15,0,75261,1
5549659799042353,1784164390154024586,1,83.38,0,74057,1
5549660094265278,1784164390449247501,0,390.66,8,75261,1
5549660094265278,1784164390449247501,1,83.29,0,74057,1
5549660374151847,1784164390729133720,0,406.42,100,75261,1
5549660374151847,1784164390729133720,1,83.29,0,74057,1
5549660700998155,1784164391055980088,0,413.05,100,75261,1
5549660700998155,1784164391055980088,1,83.29,0,74057,1
5549660984139763,1784164391339121856,0,341.04,96,75261,1
5549660984139763,1784164391339121856,1,83.57,0,74057,1
5549661266661618,1784164391621644101,0,370.98,100,75261,1
5549661266661618,1784164391621644101,1,83.29,0,74057,1
5549661560104769,1784164391915086672,0,367.67,100,75261,1
5549661560104769,1784164391915086672,1,86.94,0,74057,1
5549661838787100,1784164392193769333,0,142.98,70,75261,1
5549661838787100,1784164392193769333,1,83.66,0,74057,1
5549662116682178,1784164392471664411,0,146.89,37,75261,1
5549662116682178,1784164392471664411,1,83.66,0,74057,1
5549662393535455,1784164392748517698,0,145.85,37,75261,1
5549662393535455,1784164392748517698,1,83.38,0,74057,1
5549662675551194,1784164393030533107,0,360.61,45,75261,1
5549662675551194,1784164393030533107,1,83.29,0,74057,1
5549662957257397,1784164393312239300,0,380.39,100,75261,1
5549662957257397,1784164393312239300,1,83.29,0,74057,1
5549663235902617,1784164393590884790,0,394.17,100,75261,1
5549663235902617,1784164393590884790,1,83.29,0,74057,1
5549663516433040,1784164393871414923,0,240.53,96,75261,1
5549663516433040,1784164393871414923,1,83.57,0,74057,1
5549663797621147,1784164394152603120,0,384.51,100,75261,1
5549663797621147,1784164394152603120,1,83.48,0,74057,1
5549664074943461,1784164394429925404,0,355.88,100,75261,1
5549664074943461,1784164394429925404,1,83.57,0,74057,1
5549664353773130,1784164394708755343,0,136.42,68,75261,1
5549664353773130,1784164394708755343,1,83.38,0,74057,1
5549664637858699,1784164394992840932,0,142.80,34,75261,1
5549664637858699,1784164394992840932,1,83.38,0,74057,1
5549664916784777,1784164395271766640,0,145.37,36,75261,1
5549664916784777,1784164395271766640,1,83.29,0,74057,1
5549665193523736,1784164395548505989,0,143.58,38,75261,1
5549665193523736,1784164395548505989,1,83.38,0,74057,1
5549665473242442,1784164395828224685,0,140.53,36,75261,1
5549665473242442,1784164395828224685,1,83.38,0,74057,1
5549665756041187,1784164396111023400,0,141.60,36,75261,1
5549665756041187,1784164396111023400,1,83.38,0,74057,1
5549666035470376,1784164396390452259,0,94.00,24,75261,1
5549666035470376,1784164396390452259,1,83.66,0,74057,1
5549666338253357,1784164396693235250,0,395.83,60,75261,1
5549666338253357,1784164396693235250,1,83.57,0,74057,1
5549666616054223,1784164396971036596,0,421.86,100,75261,1
5549666616054223,1784164396971036596,1,83.29,0,74057,1
5549666894064317,1784164397249046280,0,354.36,100,75261,1
5549666894064317,1784164397249046280,1,83.29,0,74057,1
5549667173397417,1784164397528379560,0,369.79,97,75261,1
5549667173397417,1784164397528379560,1,83.29,0,74057,1
5549667456093142,1784164397811075115,0,137.48,100,75261,1
5549667456093142,1784164397811075115,1,83.29,0,74057,1
5549667744410331,1784164398099392574,0,148.09,36,75261,1
5549667744410331,1784164398099392574,1,83.29,0,74057,1
5549668023096988,1784164398378079241,0,149.17,36,75261,1
5549668023096988,1784164398378079241,1,83.66,0,74057,1
5549668303709125,1784164398658690978,0,141.27,36,75261,1
5549668303709125,1784164398658690978,1,83.38,0,74057,1
5549668582164424,1784164398937146647,0,141.72,36,75261,1
5549668582164424,1784164398937146647,1,83.57,0,74057,1
5549668861926160,1784164399216908383,0,148.74,36,75261,1
5549668861926160,1784164399216908383,1,83.57,0,74057,1
5549669140320569,1784164399495302452,0,142.06,36,75261,1
5549669140320569,1784164399495302452,1,83.38,0,74057,1
5549669421235063,1784164399776217276,0,94.27,11,75261,1
5549669421235063,1784164399776217276,1,83.57,0,74057,1
5549669699600023,1784164400054581916,0,390.99,93,75261,1
5549669699600023,1784164400054581916,1,83.57,0,74057,1
5549669975447389,1784164400330429252,0,417.19,100,75261,1
5549669975447389,1784164400330429252,1,83.57,0,74057,1
5549670254081786,1784164400609064009,0,242.40,100,75261,1
5549670254081786,1784164400609064009,1,83.57,0,74057,1
5549670534556655,1784164400889538518,0,339.52,100,75261,1
5549670534556655,1784164400889538518,1,83.29,0,74057,1
5549670815293541,1784164401170275404,0,365.50,100,75261,1
5549670815293541,1784164401170275404,1,83.48,0,74057,1
5549671092799979,1784164401447781862,0,355.51,100,75261,1
5549671092799979,1784164401447781862,1,83.29,0,74057,1
5549671372987681,1784164401727969554,0,392.37,100,75261,1
5549671372987681,1784164401727969554,1,83.29,0,74057,1
5549671651628708,1784164402006610591,0,402.64,100,75261,1
5549671651628708,1784164402006610591,1,83.57,0,74057,1
5549671975467794,1784164402330449897,0,126.41,100,75261,1
5549671975467794,1784164402330449897,1,83.29,0,74057,1
5549672254147891,1784164402609129764,0,145.25,36,75261,1
5549672254147891,1784164402609129764,1,83.38,0,74057,1
5549672532953396,1784164402887936239,0,146.77,21,75261,1
5549672532953396,1784164402887936239,1,83.66,0,74057,1
5549672811858971,1784164403166841474,0,141.87,34,75261,1
5549672811858971,1784164403166841474,1,83.38,0,74057,1
5549673092597797,1784164403447580290,0,142.06,37,75261,1
5549673092597797,1784164403447580290,1,83.38,0,74057,1
5549673372563870,1784164403727546083,0,141.27,37,75261,1
5549673372563870,1784164403727546083,1,83.38,0,74057,1
5549673651985580,1784164404006967803,0,133.70,46,75261,1
5549673651985580,1784164404006967803,1,83.38,0,74057,1
5549673929807375,1784164404284789558,0,139.93,32,75261,1
5549673929807375,1784164404284789558,1,83.38,0,74057,1
5549674208881638,1784164404563863831,0,144.17,38,75261,1
5549674208881638,1784164404563863831,1,83.57,0,74057,1
5549674483295168,1784164404838277361,0,142.38,36,75261,1
5549674483295168,1784164404838277361,1,83.38,0,74057,1
5549674763971095,1784164405118952958,0,141.60,42,75261,1
5549674763971095,1784164405118952958,1,83.38,0,74057,1
5549675044884359,1784164405399867062,0,141.00,36,75261,1
5549675044884359,1784164405399867062,1,83.66,0,74057,1
5549675323497796,1784164405678480789,0,142.06,35,75261,1
5549675323497796,1784164405678480789,1,83.57,0,74057,1
5549675603159783,1784164405958142066,0,146.89,36,75261,1
5549675603159783,1784164405958142066,1,83.57,0,74057,1
5549675881628742,1784164406236611285,0,141.45,36,75261,1
5549675881628742,1784164406236611285,1,83.66,0,74057,1
5549676160523257,1784164406515505470,0,139.15,36,75261,1
5549676160523257,1784164406515505470,1,83.38,0,74057,1
5549676435421712,1784164406790403915,0,139.34,36,75261,1
5549676435421712,1784164406790403915,1,83.66,0,74057,1
5549676713896871,1784164407068879504,0,103.86,36,75261,1
5549676713896871,1784164407068879504,1,83.57,0,74057,1
5549676991703657,1784164407346686550,0,150.54,33,75261,1
5549676991703657,1784164407346686550,1,83.38,0,74057,1
5549677272622091,1784164407627604734,0,142.38,38,75261,1
5549677272622091,1784164407627604734,1,83.38,0,74057,1
5549677552200958,1784164407907183331,0,147.22,39,75261,1
5549677552200958,1784164407907183331,1,83.29,0,74057,1
