monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5557894846175650,1784172625201158313,0,89.75,0,75261,1
5557894846175650,1784172625201158313,1,83.38,0,74059,1
5557895147714002,1784172625502696555,0,89.34,0,75261,1
5557895147714002,1784172625502696555,1,82.97,0,74059,1
5557895431781703,1784172625786765166,0,358.59,22,75261,1
5557895431781703,1784172625786765166,1,82.97,0,74059,1
5557895714789895,1784172626069772058,0,387.62,100,75261,1
5557895714789895,1784172626069772058,1,83.29,0,74059,1
5557895992110132,1784172626347092325,0,384.30,100,75261,1
5557895992110132,1784172626347092325,1,83.29,0,74059,1
5557896270946904,1784172626625928757,0,167.51,96,75261,1
5557896270946904,1784172626625928757,1,82.97,0,74059,1
5557896560307224,1784172626915289087,0,353.16,100,75261,1
5557896560307224,1784172626915289087,1,83.29,0,74059,1
5557896836383893,1784172627191365736,0,337.12,100,75261,1
5557896836383893,1784172627191365736,1,82.97,0,74059,1
5557897112939057,1784172627467920910,0,331.97,100,75261,1
5557897112939057,1784172627467920910,1,83.29,0,74059,1
5557897392196875,1784172627747178718,0,366.37,100,75261,1
5557897392196875,1784172627747178718,1,83.57,0,74059,1
5557897673406625,1784172628028388478,0,360.01,100,75261,1
5557897673406625,1784172628028388478,1,82.97,0,74059,1
5557897956103229,1784172628311085092,0,403.56,100,75261,1
5557897956103229,1784172628311085092,1,83.21,0,74059,1
5557898233953031,1784172628588935214,0,354.63,100,75261,1
5557898233953031,1784172628588935214,1,83.29,0,74059,1
5557898516720295,1784172628871702498,0,343.72,100,75261,1
5557898516720295,1784172628871702498,1,83.29,0,74059,1
5557898796482488,1784172629151464891,0,376.68,100,75261,1
5557898796482488,1784172629151464891,1,83.21,0,74059,1
5557899074734906,1784172629429716759,0,358.49,100,75261,1
5557899074734906,1784172629429716759,1,83.21,0,74059,1
5557899351058113,1784172629706040306,0,333.41,100,75261,1
5557899351058113,1784172629706040306,1,83.21,0,74059,1
5557899634090204,1784172629989072057,0,142.06,77,75261,1
5557899634090204,1784172629989072057,1,83.29,0,74059,1
5557899915777499,1784172630270759462,0,149.46,39,75261,1
5557899915777499,1784172630270759462,1,83.57,0,74059,1
5557900256416681,1784172630611398264,0,147.82,40,75261,1
5557900256416681,1784172630611398264,1,83.29,0,74059,1
5557900569027995,1784172630924009528,0,91.55,0,75261,1
5557900569027995,1784172630924009528,1,83.05,0,74059,1
5557900858100378,1784172631213082331,0,91.55,21,75261,1
5557900858100378,1784172631213082331,1,83.05,0,74059,1
5557901130945018,1784172631485926851,0,373.70,100,75261,1
5557901130945018,1784172631485926851,1,83.29,0,74059,1
5557901413294116,1784172631768276509,0,360.72,100,75261,1
5557901413294116,1784172631768276509,1,82.97,0,74059,1
5557901696436187,1784172632051418040,0,375.83,97,75261,1
5557901696436187,1784172632051418040,1,83.29,0,74059,1
5557901973961532,1784172632328943385,0,389.33,97,75261,1
5557901973961532,1784172632328943385,1,83.29,0,74059,1
5557902251962152,1784172632606943995,0,379.47,100,75261,1
5557902251962152,1784172632606943995,1,83.29,0,74059,1
5557902531332299,1784172632886314152,0,347.99,100,75261,1
5557902531332299,1784172632886314152,1,82.97,0,74059,1
5557902811415279,1784172633166397122,0,388.54,100,75261,1
5557902811415279,1784172633166397122,1,83.29,0,74059,1
5557903091294381,1784172633446276494,0,366.37,100,75261,1
5557903091294381,1784172633446276494,1,82.97,0,74059,1
5557903370849846,1784172633725831689,0,358.82,100,75261,1
5557903370849846,1784172633725831689,1,83.29,0,74059,1
5557903651546381,1784172634006528234,0,351.91,100,75261,1
