monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5550993477862718,1784165723832847561,0,90.63,0,75261,1
5550993477862718,1784165723832847561,1,83.38,0,74057,1
5550994232480582,1784165724587462695,0,90.35,0,75261,1
5550994232480582,1784165724587462695,1,83.38,0,74057,1
5550994513059673,1784165724868041566,0,90.35,0,75261,1
5550994513059673,1784165724868041566,1,83.14,0,74057,1
5550995028480152,1784165725383464555,0,90.35,0,75261,1
5550995028480152,1784165725383464555,1,83.38,0,74057,1
5550995312550847,1784165725667534270,0,381.58,92,75261,1
5550995312550847,1784165725667534270,1,83.29,0,74057,1
5550995591814901,1784165725946796744,0,405.83,100,75261,1
5550995591814901,1784165725946796744,1,83.29,0,74057,1
5550995873684069,1784165726228665932,0,417.62,100,75261,1
5550995873684069,1784165726228665932,1,83.29,0,74057,1
5550996153876693,1784165726508858546,0,332.24,97,75261,1
5550996153876693,1784165726508858546,1,83.29,0,74057,1
5550996433801340,1784165726788783263,0,359.20,100,75261,1
5550996433801340,1784165726788783263,1,83.29,0,74057,1
5550996951472147,1784165727306454040,0,386.42,100,75261,1
5550996951472147,1784165727306454040,1,83.29,0,74057,1
5550997469439050,1784165727824421253,0,140.08,32,75261,1
5550997469439050,1784165727824421253,1,83.29,0,74057,1
5550997914538473,1784165728269521356,0,92.48,0,75261,1
5550997914538473,1784165728269521356,1,83.05,0,74057,1
5550998207361191,1784165728562344134,0,207.17,0,75261,1
5550998207361191,1784165728562344134,1,83.38,0,74057,1
5550998535414546,1784165728890396409,0,410.67,75,75261,1
5550998535414546,1784165728890396409,1,83.29,0,74057,1
5550998816429302,1784165729171411515,0,423.98,100,75261,1
5550998816429302,1784165729171411515,1,83.29,0,74057,1
5550999096623127,1784165729451604950,0,370.07,94,75261,1
5550999096623127,1784165729451604950,1,83.29,0,74057,1
5550999883586897,1784165730238568790,0,344.36,100,75261,1
5550999883586897,1784165730238568790,1,83.29,0,74057,1
5551000164528564,1784165730519510427,0,351.27,100,75261,1
5551000164528564,1784165730519510427,1,83.29,0,74057,1
