monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5566834097625082,1784181564452607525,0,87.12,0,75261,1
5566834097625082,1784181564452607525,1,81.34,0,74059,1
5566834405364820,1784181564760347383,0,86.79,0,75261,1
5566834405364820,1784181564760347383,1,81.34,0,74059,1
5566834687898426,1784181565042881099,0,86.79,7,75261,1
5566834687898426,1784181565042881099,1,81.61,0,74059,1
5566834967467804,1784181565322449707,0,389.95,100,75261,1
5566834967467804,1784181565322449707,1,81.53,0,74059,1
5566835246946194,1784181565601928107,0,392.92,100,75261,1
5566835246946194,1784181565601928107,1,81.53,0,74059,1
5566835524437436,1784181565879419199,0,159.03,99,75261,1
5566835524437436,1784181565879419199,1,81.61,0,74059,1
5566835802891477,1784181566157873340,0,361.73,95,75261,1
5566835802891477,1784181566157873340,1,81.34,0,74059,1
5566836080292959,1784181566435275392,0,356.02,84,75261,1
5566836080292959,1784181566435275392,1,81.34,0,74059,1
5566836357198987,1784181566712181130,0,140.82,32,75261,1
5566836357198987,1784181566712181130,1,81.34,0,74059,1
5566836634493021,1784181566989474774,0,134.77,35,75261,1
5566836634493021,1784181566989474774,1,81.34,0,74059,1
5566836914106499,1784181567269088632,0,132.64,35,75261,1
5566836914106499,1784181567269088632,1,81.34,0,74059,1
5566837192044716,1784181567547026899,0,132.31,35,75261,1
5566837192044716,1784181567547026899,1,81.34,0,74059,1
5566837472694823,1784181567827677036,0,134.17,35,75261,1
5566837472694823,1784181567827677036,1,81.01,0,74059,1
5566837753896994,1784181568108879217,0,135.37,35,75261,1
5566837753896994,1784181568108879217,1,81.34,0,74059,1
5566838060802420,1784181568415783903,0,88.32,0,75261,1
5566838060802420,1784181568415783903,1,81.34,0,74059,1
5566838375522180,1784181568730503663,0,87.81,0,75261,1
5566838375522180,1784181568730503663,1,81.01,0,74059,1
5566838688764946,1784181569043746459,0,87.72,0,75261,1
5566838688764946,1784181569043746459,1,81.34,0,74059,1
5566838994839542,1784181569349821225,0,87.72,0,75261,1
5566838994839542,1784181569349821225,1,81.34,0,74059,1
5566839272260524,1784181569627242347,0,333.25,4,75261,1
5566839272260524,1784181569627242347,1,81.26,0,74059,1
5566839552184079,1784181569907166192,0,342.95,100,75261,1
5566839552184079,1784181569907166192,1,81.26,0,74059,1
5566839836248138,1784181570191229921,0,374.42,100,75261,1
5566839836248138,1784181570191229921,1,81.01,0,74059,1
5566840112540033,1784181570467521966,0,346.83,97,75261,1
5566840112540033,1784181570467521966,1,81.26,0,74059,1
5566840392381989,1784181570747363962,0,363.86,100,75261,1
5566840392381989,1784181570747363962,1,81.26,0,74059,1
5566840673307662,1784181571028289405,0,360.49,100,75261,1
5566840673307662,1784181571028289405,1,81.26,0,74059,1
5566840955485882,1784181571310467705,0,133.57,100,75261,1
5566840955485882,1784181571310467705,1,81.34,0,74059,1
5566841234394098,1784181571589375901,0,142.02,64,75261,1
5566841234394098,1784181571589375901,1,81.01,0,74059,1
5566841512994818,1784181571867976951,0,141.15,34,75261,1
5566841512994818,1784181571867976951,1,81.34,0,74059,1
5566841829677116,1784181572184658529,0,90.44,20,75261,1
5566841829677116,1784181572184658529,1,81.34,0,74059,1
5566842148456191,1784181572503438064,0,88.92,0,75261,1
5566842148456191,1784181572503438064,1,81.34,0,74059,1
5566842459695190,1784181572814676603,0,88.59,0,75261,1
5566842459695190,1784181572814676603,1,81.01,0,74059,1
5566842776840813,1784181573131822236,0,88.32,0,75261,1
5566842776840813,1784181573131822236,1,81.01,0,74059,1
5566843070060810,1784181573425042853,0,360.54,69,75261,1
5566843070060810,1784181573425042853,1,81.01,0,74059,1
5566843347856889,1784181573702838652,0,346.60,100,75261,1
5566843347856889,1784181573702838652,1,81.34,0,74059,1
5566843624190123,1784181573979171966,0,371.48,100,75261,1
5566843624190123,1784181573979171966,1,80.93,0,74059,1
5566843904321156,1784181574259302929,0,282.60,100,75261,1
5566843904321156,1784181574259302929,1,80.93,0,74059,1
5566844182715177,1784181574537697140,0,373.82,100,75261,1
5566844182715177,1784181574537697140,1,80.93,0,74059,1
5566844459247620,1784181574814229393,0,368.98,100,75261,1
5566844459247620,1784181574814229393,1,81.34,0,74059,1
5566844738785239,1784181575093767062,0,354.99,100,75261,1
5566844738785239,1784181575093767062,1,81.01,0,74059,1
5566845014161344,1784181575369143197,0,357.49,100,75261,1
5566845014161344,1784181575369143197,1,81.01,0,74059,1
5566845299467279,1784181575654449342,0,130.52,32,75261,1
5566845299467279,1784181575654449342,1,81.01,0,74059,1
5566845579863689,1784181575934845782,0,112.58,36,75261,1
5566845579863689,1784181575934845782,1,81.01,0,74059,1
5566845877232800,1784181576232214243,0,132.04,40,75261,1
5566845877232800,1784181576232214243,1,81.01,0,74059,1
5566846190963111,1784181576545944594,0,90.12,0,75261,1
5566846190963111,1784181576545944594,1,81.01,0,74059,1
5566846533517234,1784181576888498737,0,89.85,0,75261,1
5566846533517234,1784181576888498737,1,81.09,0,74059,1
5566846857057386,1784181577212038859,0,89.85,0,75261,1
5566846857057386,1784181577212038859,1,81.01,0,74059,1
5566847145023752,1784181577500005525,0,89.52,0,75261,1
5566847145023752,1784181577500005525,1,81.01,0,74059,1
5566847424209995,1784181577779191918,0,400.75,88,75261,1
5566847424209995,1784181577779191918,1,80.93,0,74059,1
5566847706370615,1784181578061352348,0,359.61,100,75261,1
5566847706370615,1784181578061352348,1,81.01,0,74059,1
5566847983177304,1784181578338159247,0,369.58,100,75261,1
5566847983177304,1784181578338159247,1,81.53,0,74059,1
5566848263530704,1784181578618512567,0,361.46,97,75261,1
5566848263530704,1784181578618512567,1,81.01,0,74059,1
5566848545059211,1784181578900040984,0,350.84,100,75261,1
5566848545059211,1784181578900040984,1,81.01,0,74059,1
5566848824345033,1784181579179327086,0,358.41,100,75261,1
5566848824345033,1784181579179327086,1,81.01,0,74059,1
5566849106500463,1784181579461482336,0,142.95,33,75261,1
5566849106500463,1784181579461482336,1,81.01,0,74059,1
5566849385659536,1784181579740641629,0,140.55,36,75261,1
5566849385659536,1784181579740641629,1,81.01,0,74059,1
5566849667046845,1784181580022028968,0,143.88,36,75261,1
5566849667046845,1784181580022028968,1,81.01,0,74059,1
5566849969185014,1784181580324166507,0,90.12,5,75261,1
5566849969185014,1784181580324166507,1,81.01,0,74059,1
5566850274392229,1784181580629373652,0,89.52,0,75261,1
5566850274392229,1784181580629373652,1,81.01,0,74059,1
5566850579086720,1784181580934068143,0,89.52,0,75261,1
5566850579086720,1784181580934068143,1,81.01,0,74059,1
5566850864897698,1784181581219879861,0,89.25,0,75261,1
5566850864897698,1784181581219879861,1,81.01,0,74059,1
5566851144321417,1784181581499303480,0,89.52,11,75261,1
5566851144321417,1784181581499303480,1,81.01,0,74059,1
5566851436461108,1784181581791443551,0,160.56,72,75261,1
5566851436461108,1784181581791443551,1,81.01,0,74059,1
5566851714816700,1784181582069798813,0,154.18,38,75261,1
5566851714816700,1784181582069798813,1,81.01,0,74059,1
5566851994054361,1784181582349036114,0,174.24,40,75261,1
5566851994054361,1784181582349036114,1,81.01,0,74059,1
5566852276376886,1784181582631358979,0,177.84,47,75261,1
5566852276376886,1784181582631358979,1,81.01,0,74059,1
5566852785174379,1784181583140156212,0,89.25,7,75261,1
5566852785174379,1784181583140156212,1,81.01,0,74059,1
5566853117852236,1784181583472833679,0,89.85,0,75261,1
5566853117852236,1784181583472833679,1,81.01,0,74059,1
5566853520741695,1784181583875723258,0,88.32,0,75261,1
5566853520741695,1784181583875723258,1,81.01,0,74059,1
5566853909971033,1784181584264952806,0,88.32,0,75261,1
5566853909971033,1784181584264952806,1,81.01,0,74059,1
5566854263439408,1784181584618421091,0,88.00,0,75261,1
5566854263439408,1784181584618421091,1,81.01,0,74059,1
5566854738663942,1784181585093645485,0,88.32,0,75261,1
5566854738663942,1784181585093645485,1,81.01,0,74059,1
5566855179271410,1784181585534252893,0,88.00,0,75261,1
5566855179271410,1784181585534252893,1,81.01,0,74059,1
5566855526718616,1784181585881700229,0,87.72,0,75261,1
5566855526718616,1784181585881700229,1,81.01,0,74059,1
5566856067243108,1784181586422224601,0,87.72,0,75261,1
5566856067243108,1784181586422224601,1,81.01,0,74059,1
5566856511182287,1784181586866164000,0,87.72,0,75261,1
5566856511182287,1784181586866164000,1,81.01,0,74059,1
5566856975831065,1784181587330812468,0,87.72,0,75261,1
5566856975831065,1784181587330812468,1,81.01,0,74059,1
5566857389379729,1784181587744361252,0,87.72,0,75261,1
5566857389379729,1784181587744361252,1,81.01,0,74059,1
5566857772209991,1784181588127192274,0,87.72,0,75261,1
5566857772209991,1784181588127192274,1,81.01,0,74059,1
5566858139418216,1784181588494399629,0,87.72,0,75261,1
5566858139418216,1784181588494399629,1,81.01,0,74059,1
5566858474471346,1784181588829452819,0,87.72,0,75261,1
5566858474471346,1784181588829452819,1,81.01,0,74059,1
5566858786911950,1784181589141894063,0,87.39,27,75261,1
5566858786911950,1784181589141894063,1,81.01,0,74059,1
5566859062852080,1784181589417834173,0,134.44,31,75261,1
5566859062852080,1784181589417834173,1,81.01,0,74059,1
5566859343953139,1784181589698935472,0,134.77,35,75261,1
5566859343953139,1784181589698935472,1,81.01,0,74059,1
5566859627821947,1784181589982804030,0,135.37,35,75261,1
5566859627821947,1784181589982804030,1,81.01,0,74059,1
5566859903132754,1784181590258114517,0,136.90,35,75261,1
5566859903132754,1784181590258114517,1,81.34,0,74059,1
5566860186153661,1784181590541135744,0,137.49,28,75261,1
5566860186153661,1784181590541135744,1,81.01,0,74059,1
5566860466543169,1784181590821525402,0,125.66,49,75261,1
5566860466543169,1784181590821525402,1,81.01,0,74059,1
5566860741969395,1784181591096951128,0,132.92,35,75261,1
5566860741969395,1784181591096951128,1,81.01,0,74059,1
5566861025248559,1784181591380230792,0,141.15,36,75261,1
5566861025248559,1784181591380230792,1,81.01,0,74059,1
5566861304744387,1784181591659726570,0,134.77,36,75261,1
5566861304744387,1784181591659726570,1,81.01,0,74059,1
5566861583434455,1784181591938416548,0,143.54,36,75261,1
5566861583434455,1784181591938416548,1,81.01,0,74059,1
5566861862591887,1784181592217574130,0,134.44,36,75261,1
5566861862591887,1784181592217574130,1,81.01,0,74059,1
5566862146741901,1784181592501723814,0,135.04,36,75261,1
5566862146741901,1784181592501723814,1,81.01,0,74059,1
5566862423271074,1784181592778253457,0,124.14,50,75261,1
5566862423271074,1784181592778253457,1,80.74,0,74059,1
5566862701541797,1784181593056523870,0,136.90,35,75261,1
5566862701541797,1784181593056523870,1,81.01,0,74059,1
5566862983023762,1784181593338005865,0,135.04,37,75261,1
5566862983023762,1784181593338005865,1,81.01,0,74059,1
5566863262497011,1784181593617478874,0,134.44,37,75261,1
5566863262497011,1784181593617478874,1,81.01,0,74059,1
5566863542928498,1784181593897910661,0,128.06,32,75261,1
5566863542928498,1784181593897910661,1,81.01,0,74059,1
5566863821814574,1784181594176796897,0,133.24,35,75261,1
5566863821814574,1784181594176796897,1,81.01,0,74059,1
5566864100503492,1784181594455485695,0,141.42,36,75261,1
5566864100503492,1784181594455485695,1,81.01,0,74059,1
