monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5565502874718872,1784180233229702095,0,86.79,0,75261,1
5565502874718872,1784180233229702095,1,81.01,0,74059,1
5565503179726104,1784180233534708697,0,86.79,0,75261,1
5565503179726104,1784180233534708697,1,81.01,0,74059,1
5565503465501796,1784180233820483659,0,358.64,0,75261,1
5565503465501796,1784180233820483659,1,80.93,0,74059,1
5565503744393339,1784180234099375212,0,353.20,100,75261,1
5565503744393339,1784180234099375212,1,80.93,0,74059,1
5565504026373996,1784180234381356029,0,362.88,100,75261,1
5565504026373996,1784180234381356029,1,80.93,0,74059,1
5565504309052014,1784180234664033897,0,366.26,96,75261,1
5565504309052014,1784180234664033897,1,80.93,0,74059,1
5565504588830837,1784180234943812720,0,375.02,100,75261,1
5565504588830837,1784180234943812720,1,80.93,0,74059,1
5565504900155925,1784180235255137788,0,394.99,100,75261,1
5565504900155925,1784180235255137788,1,80.93,0,74059,1
5565505177800373,1784180235532782226,0,401.35,100,75261,1
5565505177800373,1784180235532782226,1,80.84,0,74059,1
5565505455150055,1784180235810132218,0,352.27,100,75261,1
5565505455150055,1784180235810132218,1,80.93,0,74059,1
5565505733484055,1784180236088467068,0,363.21,100,75261,1
5565505733484055,1784180236088467068,1,80.93,0,74059,1
5565506017192651,1784180236372174404,0,137.17,91,75261,1
5565506017192651,1784180236372174404,1,81.01,0,74059,1
5565506298619504,1784180236653601607,0,137.17,37,75261,1
5565506298619504,1784180236653601607,1,81.01,0,74059,1
5565506647473755,1784180237002455168,0,89.52,37,75261,1
5565506647473755,1784180237002455168,1,81.01,0,74059,1
5565506955543642,1784180237310525075,0,88.92,0,75261,1
5565506955543642,1784180237310525075,1,81.01,0,74059,1
5565507274787215,1784180237629768628,0,88.32,0,75261,1
5565507274787215,1784180237629768628,1,81.01,0,74059,1
5565507560806914,1784180237915788897,0,88.00,0,75261,1
5565507560806914,1784180237915788897,1,81.01,0,74059,1
5565507903104443,1784180238258086286,0,402.00,59,75261,1
5565507903104443,1784180238258086286,1,80.93,0,74059,1
5565508184662325,1784180238539644068,0,394.71,100,75261,1
5565508184662325,1784180238539644068,1,81.26,0,74059,1
5565508462862897,1784180238817844690,0,161.76,100,75261,1
5565508462862897,1784180238817844690,1,81.26,0,74059,1
5565508743139753,1784180239098121516,0,346.83,100,75261,1
5565508743139753,1784180239098121516,1,80.93,0,74059,1
5565509020824481,1784180239375806244,0,354.99,100,75261,1
5565509020824481,1784180239375806244,1,80.93,0,74059,1
5565509303506909,1784180239658488672,0,368.65,100,75261,1
5565509303506909,1784180239658488672,1,80.93,0,74059,1
5565509583942524,1784180239938924357,0,376.21,100,75261,1
5565509583942524,1784180239938924357,1,80.93,0,74059,1
5565509936159846,1784180240291141859,0,140.40,98,75261,1
5565509936159846,1784180240291141859,1,81.01,0,74059,1
5565510215192218,1784180240570174331,0,130.52,31,75261,1
5565510215192218,1784180240570174331,1,81.01,0,74059,1
5565510495347256,1784180240850329369,0,127.47,29,75261,1
5565510495347256,1784180240850329369,1,81.01,0,74059,1
5565510776919857,1784180241131901950,0,141.15,36,75261,1
5565510776919857,1784180241131901950,1,81.01,0,74059,1
5565511057292186,1784180241412274559,0,141.42,37,75261,1
5565511057292186,1784180241412274559,1,81.01,0,74059,1
5565511337896672,1784180241692878745,0,138.09,37,75261,1
5565511337896672,1784180241692878745,1,80.74,0,74059,1
5565511634275327,1784180241989257030,0,89.25,27,75261,1
5565511634275327,1784180241989257030,1,81.01,0,74059,1
5565511939363451,1784180242294344854,0,88.92,0,75261,1
5565511939363451,1784180242294344854,1,81.01,0,74059,1
5565512252344015,1784180242607325418,0,88.59,0,75261,1
5565512252344015,1784180242607325418,1,81.01,0,74059,1
5565512537763656,1784180242892745349,0,88.59,0,75261,1
5565512537763656,1784180242892745349,1,81.01,0,74059,1
5565512817954727,1784180243172936590,0,389.55,72,75261,1
