monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5555973386964527,1784170703741948420,0,89.52,0,75261,1
5555973386964527,1784170703741948420,1,83.38,0,74059,1
5555973677283850,1784170704032266123,0,89.16,0,75261,1
5555973677283850,1784170704032266123,1,83.38,0,74059,1
5555973958109189,1784170704313092112,0,399.05,33,75261,1
5555973958109189,1784170704313092112,1,83.29,0,74059,1
5555974235098868,1784170704590080731,0,348.33,100,75261,1
5555974235098868,1784170704590080731,1,83.29,0,74059,1
5555974516689690,1784170704871671583,0,394.58,100,75261,1
5555974516689690,1784170704871671583,1,83.29,0,74059,1
5555974798320571,1784170705153302444,0,346.47,97,75261,1
5555974798320571,1784170705153302444,1,83.66,0,74059,1
5555975076238780,1784170705431220683,0,338.00,100,75261,1
5555975076238780,1784170705431220683,1,83.57,0,74059,1
5555975360387036,1784170705715368949,0,373.11,100,75261,1
5555975360387036,1784170705715368949,1,83.29,0,74059,1
5555975639770690,1784170705994752593,0,134.90,77,75261,1
5555975639770690,1784170705994752593,1,83.38,0,74059,1
5555975940587026,1784170706295569069,0,145.10,36,75261,1
5555975940587026,1784170706295569069,1,83.66,0,74059,1
5555976222527605,1784170706577509818,0,127.93,36,75261,1
5555976222527605,1784170706577509818,1,83.38,0,74059,1
5555976504553042,1784170706859535275,0,143.58,38,75261,1
5555976504553042,1784170706859535275,1,83.38,0,74059,1
5555976785048085,1784170707140031198,0,143.12,36,75261,1
5555976785048085,1784170707140031198,1,83.29,0,74059,1
5555977066143162,1784170707421125055,0,138.88,37,75261,1
5555977066143162,1784170707421125055,1,83.66,0,74059,1
5555977382730487,1784170707737712280,0,90.63,0,75261,1
5555977382730487,1784170707737712280,1,83.38,0,74059,1
5555977666756964,1784170708021738907,0,90.35,0,75261,1
5555977666756964,1784170708021738907,1,83.38,0,74059,1
5555977943819852,1784170708298801785,0,382.78,71,75261,1
5555977943819852,1784170708298801785,1,83.29,0,74059,1
5555978224850790,1784170708579832653,0,348.92,100,75261,1
5555978224850790,1784170708579832653,1,83.29,0,74059,1
5555978509969386,1784170708864951299,0,416.10,100,75261,1
5555978509969386,1784170708864951299,1,83.29,0,74059,1
5555978786563448,1784170709141545671,0,373.43,100,75261,1
5555978786563448,1784170709141545671,1,83.29,0,74059,1
5555979061937553,1784170709416919876,0,363.11,100,75261,1
5555979061937553,1784170709416919876,1,83.29,0,74059,1
5555979341603935,1784170709696586358,0,369.68,100,75261,1
5555979341603935,1784170709696586358,1,83.29,0,74059,1
5555979621772461,1784170709976754944,0,376.42,100,75261,1
5555979621772461,1784170709976754944,1,83.29,0,74059,1
5555979902702030,1784170710257684053,0,143.73,91,75261,1
5555979902702030,1784170710257684053,1,83.38,0,74059,1
5555980182602259,1784170710537584302,0,141.45,32,75261,1
5555980182602259,1784170710537584302,1,83.38,0,74059,1
5555980461467748,1784170710816450001,0,127.33,39,75261,1
5555980461467748,1784170710816450001,1,83.38,0,74059,1
5555980742555505,1784170711097537548,0,148.42,37,75261,1
5555980742555505,1784170711097537548,1,83.38,0,74059,1
5555981021492364,1784170711376474487,0,141.00,38,75261,1
5555981021492364,1784170711376474487,1,83.38,0,74059,1
5555981300581381,1784170711655563264,0,143.39,37,75261,1
5555981300581381,1784170711655563264,1,83.38,0,74059,1
5555981611540714,1784170711966522177,0,91.45,3,75261,1
5555981611540714,1784170711966522177,1,83.46,0,74059,1
5555981895709480,1784170712250691343,0,90.95,0,75261,1
5555981895709480,1784170712250691343,1,83.29,0,74059,1
5555982210316245,1784170712565298118,0,397.02,33,75261,1
5555982210316245,1784170712565298118,1,83.29,0,74059,1
5555982491411522,1784170712846394355,0,395.23,100,75261,1
5555982491411522,1784170712846394355,1,83.29,0,74059,1
5555982771370970,1784170713126353163,0,352.57,97,75261,1
5555982771370970,1784170713126353163,1,83.29,0,74059,1
5555983051236480,1784170713406218733,0,352.57,100,75261,1
5555983051236480,1784170713406218733,1,83.29,0,74059,1
5555983335196887,1784170713690180070,0,332.24,100,75261,1
5555983335196887,1784170713690180070,1,83.29,0,74059,1
5555983615589031,1784170713970570874,0,387.54,100,75261,1
5555983615589031,1784170713970570874,1,83.29,0,74059,1
5555983894132224,1784170714249114107,0,358.00,100,75261,1
5555983894132224,1784170714249114107,1,83.29,0,74059,1
5555984173698417,1784170714528680290,0,336.21,100,75261,1
5555984173698417,1784170714528680290,1,83.29,0,74059,1
5555984455135380,1784170714810117593,0,137.21,77,75261,1
5555984455135380,1784170714810117593,1,83.38,0,74059,1
5555984733976950,1784170715088958543,0,144.50,33,75261,1
5555984733976950,1784170715088958543,1,83.38,0,74059,1
5555985028160114,1784170715383142217,0,145.85,38,75261,1
5555985028160114,1784170715383142217,1,83.38,0,74059,1
5555985307368390,1784170715662351223,0,146.77,38,75261,1
5555985307368390,1784170715662351223,1,83.38,0,74059,1
5555985613473182,1784170715968455225,0,92.15,0,75261,1
5555985613473182,1784170715968455225,1,83.46,0,74059,1
5555985895678497,1784170716250660120,0,92.06,0,75261,1
5555985895678497,1784170716250660120,1,83.38,0,74059,1
5555986174853764,1784170716529835357,0,388.54,81,75261,1
5555986174853764,1784170716529835357,1,83.29,0,74059,1
5555986457082989,1784170716812064492,0,367.94,100,75261,1
5555986457082989,1784170716812064492,1,83.38,0,74059,1
5555986734965219,1784170717089947042,0,358.00,100,75261,1
5555986734965219,1784170717089947042,1,83.38,0,74059,1
5555987012541011,1784170717367522664,0,360.72,100,75261,1
5555987012541011,1784170717367522664,1,83.29,0,74059,1
5555987295230322,1784170717650212175,0,145.97,98,75261,1
5555987295230322,1784170717650212175,1,83.29,0,74059,1
5555987575022812,1784170717930004505,0,141.00,32,75261,1
5555987575022812,1784170717930004505,1,83.46,0,74059,1
5555987860250107,1784170718215231910,0,142.20,35,75261,1
5555987860250107,1784170718215231910,1,83.38,0,74059,1
5555988135805210,1784170718490788063,0,143.12,35,75261,1
5555988135805210,1784170718490788063,1,83.38,0,74059,1
5555988413706170,1784170718768687683,0,145.37,35,75261,1
5555988413706170,1784170718768687683,1,83.66,0,74059,1
5555988695038754,1784170719050020247,0,141.60,35,75261,1
5555988695038754,1784170719050020247,1,83.05,0,74059,1
5555988973970523,1784170719328952826,0,139.61,35,75261,1
5555988973970523,1784170719328952826,1,83.38,0,74059,1
5555989268384784,1784170719623366537,0,91.88,0,75261,1
5555989268384784,1784170719623366537,1,83.46,0,74059,1
5555989551108774,1784170719906090507,0,91.88,0,75261,1
5555989551108774,1784170719906090507,1,83.38,0,74059,1
5555989831311790,1784170720186294933,0,137.48,41,75261,1
5555989831311790,1784170720186294933,1,83.29,0,74059,1
5555990118698693,1784170720473681536,0,106.09,43,75261,1
5555990118698693,1784170720473681536,1,83.38,0,74059,1
5555990399930529,1784170720754913611,0,146.12,43,75261,1
5555990399930529,1784170720754913611,1,83.38,20,74059,1
5555990681865177,1784170721036847070,0,151.29,40,75261,1
5555990681865177,1784170721036847070,1,83.46,0,74059,1
5555990992869059,1784170721347851822,0,92.15,17,75261,1
5555990992869059,1784170721347851822,1,144.65,29,74059,1
5555991328936706,1784170721683918829,0,91.55,0,75261,1
5555991328936706,1784170721683918829,1,151.62,41,74059,1
5555991744034788,1784170722099017191,0,91.28,0,75261,1
5555991744034788,1784170722099017191,1,150.54,40,74059,1
5555992024559291,1784170722379541494,0,91.18,0,75261,1
5555992024559291,1784170722379541494,1,134.03,41,74059,1
5555992303913755,1784170722658896008,0,91.28,0,75261,1
5555992303913755,1784170722658896008,1,152.49,40,74059,1
5555992674350432,1784170723029333795,0,90.95,0,75261,1
5555992674350432,1784170723029333795,1,83.98,31,74059,1
5555993006875115,1784170723361857138,0,90.95,0,75261,1
5555993006875115,1784170723361857138,1,83.66,0,74059,1
5555993330372630,1784170723685354693,0,90.86,0,75261,1
5555993330372630,1784170723685354693,1,83.74,0,74059,1
5555993699620769,1784170724054602592,0,90.95,0,75261,1
5555993699620769,1784170724054602592,1,83.38,0,74059,1
5555994125093135,1784170724480074888,0,90.95,0,75261,1
5555994125093135,1784170724480074888,1,83.57,0,74059,1
5555994513966674,1784170724868949087,0,90.63,0,75261,1
5555994513966674,1784170724868949087,1,83.57,0,74059,1
5555995023651993,1784170725378633786,0,91.05,0,75261,1
5555995023651993,1784170725378633786,1,83.74,0,74059,1
5555995363136255,1784170725718118828,0,91.05,0,75261,1
5555995363136255,1784170725718118828,1,83.74,0,74059,1
5555995645171042,1784170726000153595,0,90.53,0,75261,1
5555995645171042,1784170726000153595,1,144.32,35,74059,1
5555995923419998,1784170726278402211,0,90.63,0,75261,1
5555995923419998,1784170726278402211,1,150.37,41,74059,1
5555996201663864,1784170726556646107,0,90.35,0,75261,1
5555996201663864,1784170726556646107,1,144.32,41,74059,1
5555996482572193,1784170726837554406,0,90.35,0,75261,1
