monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5567389500000000,1784182120209731983,250000000,api,client_to_target,22344,1
5567389500000000,1784182120209759023,250000000,api,target_to_client,149,0
5567389500000000,1784182120209768093,250000000,kv,client_to_target,3348,0
5567389500000000,1784182120209774983,250000000,kv,target_to_client,648,1
5567389750000000,1784182120459923577,250000000,kv,client_to_target,13206,0
5567389750000000,1784182120459948537,250000000,kv,target_to_client,7180796,1
5567390000000000,1784182120710019772,250000000,kv,client_to_target,186,0
5567390000000000,1784182120710041482,250000000,kv,target_to_client,7829540,1
5567390250000000,1784182120960157707,250000000,kv,target_to_client,7798784,1
5567390500000000,1784182121210422330,250000000,kv,client_to_target,186,0
5567390500000000,1784182121210444520,250000000,kv,target_to_client,7864356,1
5567390750000000,1784182121460877092,250000000,kv,client_to_target,186,0
5567390750000000,1784182121460899201,250000000,kv,target_to_client,7798820,1
5567391000000000,1784182121711991986,250000000,kv,target_to_client,7798784,1
5567391250000000,1784182121962681075,250000000,kv,client_to_target,186,0
5567391250000000,1784182121962709595,250000000,kv,target_to_client,7798820,1
5567391500000000,1784182122212777650,250000000,kv,target_to_client,7798784,1
5567391750000000,1784182122463201572,250000000,kv,client_to_target,186,0
5567391750000000,1784182122463224012,250000000,kv,target_to_client,7864356,1
5567392000000000,1784182122713371566,250000000,kv,client_to_target,186,0
5567392000000000,1784182122713396726,250000000,kv,target_to_client,7798714,1
5567392250000000,1784182122963549530,250000000,kv,target_to_client,7798784,1
5567392500000000,1784182123214069631,250000000,kv,client_to_target,186,0
5567392500000000,1784182123214079801,250000000,kv,target_to_client,7798926,1
5567392750000000,1784182123464224455,250000000,kv,client_to_target,186,0
5567392750000000,1784182123464236475,250000000,kv,target_to_client,7864356,1
5567393000000000,1784182123714578518,250000000,kv,target_to_client,7733248,1
5567393250000000,1784182123964706873,250000000,kv,client_to_target,186,0
5567393250000000,1784182123964718542,250000000,kv,target_to_client,7864303,1
5567393500000000,1784182124214771028,250000000,kv,target_to_client,7798784,1
5567393750000000,1784182124465427297,250000000,kv,client_to_target,186,0
5567393750000000,1784182124465445987,250000000,kv,target_to_client,7798873,1
5567394000000000,1784182124715905138,250000000,kv,client_to_target,186,0
5567394000000000,1784182124715916678,250000000,kv,target_to_client,7798820,1
5567394250000000,1784182124966122972,250000000,kv,target_to_client,7864320,1
5567394500000000,1784182125217189427,250000000,kv,client_to_target,186,0
5567394500000000,1784182125217202077,250000000,kv,target_to_client,7798767,1
5567394750000000,1784182125467660308,250000000,kv,target_to_client,7798784,1
5567395000000000,1784182125718095940,250000000,kv,client_to_target,186,0
5567395000000000,1784182125718107210,250000000,kv,target_to_client,7798873,1
5567395250000000,1784182125968239914,250000000,kv,client_to_target,186,0
5567395250000000,1784182125968250654,250000000,kv,target_to_client,7798820,1
5567395500000000,1784182126218936833,250000000,kv,target_to_client,7864320,1
5567395750000000,1784182126469948699,250000000,kv,client_to_target,186,0
5567395750000000,1784182126469961209,250000000,kv,target_to_client,7798820,1
5567396000000000,1784182126720093093,250000000,kv,client_to_target,186,0
5567396000000000,1784182126720103413,250000000,kv,target_to_client,7798820,1
5567396250000000,1784182126970234508,250000000,kv,target_to_client,7864320,1
5567396500000000,1784182127220906407,250000000,kv,client_to_target,186,0
5567396500000000,1784182127220918317,250000000,kv,target_to_client,7733284,1
5567396750000000,1784182127471996762,250000000,kv,target_to_client,7864320,1
5567397000000000,1784182127722491493,250000000,kv,client_to_target,186,0
5567397000000000,1784182127722505293,250000000,kv,target_to_client,7798820,1
5567397250000000,1784182127972732226,250000000,kv,client_to_target,186,0
5567397250000000,1784182127972745276,250000000,kv,target_to_client,7798820,1
5567397500000000,1784182128223041399,250000000,kv,target_to_client,7798784,1
5567397750000000,1784182128473730788,250000000,kv,client_to_target,186,0
5567397750000000,1784182128473742218,250000000,kv,target_to_client,7864356,1
5567398000000000,1784182128723860063,250000000,kv,client_to_target,186,0
5567398000000000,1784182128723873163,250000000,kv,target_to_client,7798820,1
5567398250000000,1784182128974091126,250000000,kv,target_to_client,7798784,1
5567398500000000,1784182129224179922,250000000,kv,client_to_target,186,0
5567398500000000,1784182129224192702,250000000,kv,target_to_client,7798820,1
5567398750000000,1784182129475112488,250000000,kv,target_to_client,7864320,1
5567399000000000,1784182129725313452,250000000,kv,client_to_target,186,0
5567399000000000,1784182129725324252,250000000,kv,target_to_client,7798820,1
5567399250000000,1784182129976231479,250000000,kv,client_to_target,186,0
5567399250000000,1784182129976242649,250000000,kv,target_to_client,7798820,1
5567399500000000,1784182130226833629,250000000,kv,target_to_client,7798784,1
5567399750000000,1784182130477359559,250000000,kv,client_to_target,186,0
5567399750000000,1784182130477381549,250000000,kv,target_to_client,7798820,1
5567400000000000,1784182130727532923,250000000,kv,client_to_target,186,0
5567400000000000,1784182130727544213,250000000,kv,target_to_client,7798820,1
5567400250000000,1784182130978012284,250000000,kv,target_to_client,7864320,1
5567400500000000,1784182131228429386,250000000,kv,client_to_target,186,0
5567400500000000,1784182131228442916,250000000,kv,target_to_client,7798820,1
5567400750000000,1784182131478682140,250000000,kv,target_to_client,7798784,1
5567401000000000,1784182131729025482,250000000,kv,client_to_target,186,0
5567401000000000,1784182131729039662,250000000,kv,target_to_client,7798820,1
5567401250000000,1784182131979432594,250000000,kv,client_to_target,186,0
5567401250000000,1784182131979448684,250000000,kv,target_to_client,7798820,1
5567401500000000,1784182132229571668,250000000,kv,target_to_client,7864320,1
5567401750000000,1784182132480306307,250000000,kv,client_to_target,186,0
5567401750000000,1784182132480321517,250000000,kv,target_to_client,7798820,1
5567402000000000,1784182132730738939,250000000,kv,target_to_client,7798784,1
5567402250000000,1784182132980995542,250000000,kv,client_to_target,186,0
5567402250000000,1784182132981008922,250000000,kv,target_to_client,7798820,1
5567402500000000,1784182133232004688,250000000,kv,client_to_target,186,0
5567402500000000,1784182133232026397,250000000,kv,target_to_client,7864356,1
5567402750000000,1784182133483069463,250000000,kv,target_to_client,7798784,1
5567403000000000,1784182133733380196,250000000,kv,client_to_target,186,0
5567403000000000,1784182133733393195,250000000,kv,target_to_client,7798820,1
5567403250000000,1784182133983615689,250000000,kv,client_to_target,186,0
5567403250000000,1784182133983628059,250000000,kv,target_to_client,7798820,1
5567403500000000,1784182134234413597,250000000,kv,target_to_client,7798784,1
5567403750000000,1784182134484606771,250000000,kv,client_to_target,186,0
5567403750000000,1784182134484620961,250000000,kv,target_to_client,7864356,1
5567404000000000,1784182134734668826,250000000,kv,target_to_client,7798784,1
5567404250000000,1784182134985302166,250000000,kv,client_to_target,186,0
5567404250000000,1784182134985314946,250000000,kv,target_to_client,7798767,1
5567404500000000,1784182135235799427,250000000,kv,client_to_target,186,0
5567404500000000,1784182135235811717,250000000,kv,target_to_client,7798820,1
5567404750000000,1784182135486639614,250000000,kv,target_to_client,7798784,1
5567405000000000,1784182135737663320,250000000,kv,client_to_target,186,0
5567405000000000,1784182135737673390,250000000,kv,target_to_client,7864356,1
5567405250000000,1784182135988090481,250000000,kv,client_to_target,186,0
5567405250000000,1784182135988106001,250000000,kv,target_to_client,7798820,1
5567405500000000,1784182136239001928,250000000,kv,target_to_client,7798784,1
5567405750000000,1784182136489202032,250000000,kv,client_to_target,186,0
5567405750000000,1784182136489211642,250000000,kv,target_to_client,7798820,1
