monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5551988000000000,1784166718615284500,250000000,api,client_to_target,32007,1
5551988000000000,1784166718615305290,250000000,api,target_to_client,149,0
5551988000000000,1784166718615309260,250000000,kv,client_to_target,23808,0
5551988000000000,1784166718615312550,250000000,kv,target_to_client,18682156,1
5551988250000000,1784166718865995055,250000000,kv,client_to_target,372,0
5551988250000000,1784166718866016225,250000000,kv,target_to_client,31326439,1
5551988500000000,1784166719116394623,250000000,kv,client_to_target,558,0
5551988500000000,1784166719116409263,250000000,kv,target_to_client,31129443,1
5551988750000000,1784166719366669622,250000000,kv,client_to_target,372,0
5551988750000000,1784166719366685322,250000000,kv,target_to_client,31326280,1
5551989000000000,1784166719617696264,250000000,kv,client_to_target,558,0
5551989000000000,1784166719617718543,250000000,kv,target_to_client,31260939,1
5551989250000000,1784166719868811355,250000000,kv,client_to_target,372,0
5551989250000000,1784166719868837934,250000000,kv,target_to_client,31195155,1
5551989500000000,1784166720119037164,250000000,kv,client_to_target,558,0
5551989500000000,1784166720119062294,250000000,kv,target_to_client,31195244,1
5551989750000000,1784166720369114115,250000000,kv,client_to_target,372,0
5551989750000000,1784166720369138475,250000000,kv,target_to_client,31326333,1
5551990000000000,1784166720619755631,250000000,kv,client_to_target,558,0
5551990000000000,1784166720619780280,250000000,kv,target_to_client,31326369,1
5551990250000000,1784166720870538765,250000000,kv,client_to_target,372,0
5551990250000000,1784166720870552885,250000000,kv,target_to_client,31195155,1
5551990500000000,1784166721120841533,250000000,kv,client_to_target,558,0
5551990500000000,1784166721120865163,250000000,kv,target_to_client,31260780,1
5551990750000000,1784166721371059543,250000000,kv,client_to_target,372,0
5551990750000000,1784166721371081733,250000000,kv,target_to_client,31260744,1
5551991000000000,1784166721621940956,250000000,kv,client_to_target,558,0
5551991000000000,1784166721621970326,250000000,kv,target_to_client,31195244,1
5551991250000000,1784166721873103897,250000000,kv,client_to_target,372,0
5551991250000000,1784166721873130736,250000000,kv,target_to_client,31260850,1
5551991500000000,1784166722123633213,250000000,kv,client_to_target,558,0
5551991500000000,1784166722123659453,250000000,kv,target_to_client,31326157,1
5551991750000000,1784166722374622736,250000000,kv,client_to_target,372,0
5551991750000000,1784166722374648275,250000000,kv,target_to_client,31195261,1
5551992000000000,1784166722624967174,250000000,kv,client_to_target,558,0
5551992000000000,1784166722625002864,250000000,kv,target_to_client,31326475,1
5551992250000000,1784166722875315904,250000000,kv,client_to_target,372,0
5551992250000000,1784166722875341114,250000000,kv,target_to_client,31129672,1
5551992500000000,1784166723125787073,250000000,kv,client_to_target,558,0
5551992500000000,1784166723125813543,250000000,kv,target_to_client,31326316,1
5551992750000000,1784166723376568469,250000000,kv,client_to_target,372,0
5551992750000000,1784166723376593919,250000000,kv,target_to_client,31195049,1
5551993000000000,1784166723627335205,250000000,kv,client_to_target,558,0
5551993000000000,1784166723627361645,250000000,kv,target_to_client,31326475,1
5551993250000000,1784166723878424869,250000000,kv,client_to_target,372,0
5551993250000000,1784166723878452288,250000000,kv,target_to_client,31195208,1
5551993500000000,1784166724129632620,250000000,kv,client_to_target,558,0
5551993500000000,1784166724129658830,250000000,kv,target_to_client,31260727,1
5551993750000000,1784166724380350267,250000000,kv,client_to_target,372,0
5551993750000000,1784166724380376027,250000000,kv,target_to_client,31195261,1
5551994000000000,1784166724631307551,250000000,kv,client_to_target,558,0
5551994000000000,1784166724631334081,250000000,kv,target_to_client,31326316,1
5551994250000000,1784166724882307675,250000000,api,target_to_client,1706,0
5551994250000000,1784166724882326765,250000000,kv,client_to_target,186,0
5551994250000000,1784166724882331705,250000000,kv,target_to_client,11649060,1
5551994500000000,1784166725132528477,250000000,api,target_to_client,3174,0
5551994750000000,1784166725382823787,250000000,api,target_to_client,3316,0
5551995000000000,1784166725633226247,250000000,api,target_to_client,988,0
5551995500000000,1784166726135640071,250000000,api,client_to_target,32155,1
5551995500000000,1784166726135654521,250000000,api,target_to_client,1365,0
5551995500000000,1784166726135658911,250000000,kv,client_to_target,12090,0
5551995500000000,1784166726135662101,250000000,kv,target_to_client,12585252,1
5551995750000000,1784166726386422227,250000000,api,target_to_client,3193,0
5551996000000000,1784166726637158033,250000000,api,target_to_client,3416,0
5551996250000000,1784166726887827540,250000000,api,target_to_client,3150,0
5551996500000000,1784166727138403018,250000000,api,target_to_client,2383,0
