connection_id,route,start_ns,end_ns,client_to_target_bytes,target_to_client_bytes
16f2173ddcd44add,kv,5563972145689504,5563972146980030,0,0
f1bfc7b15254246c,api,5563972146089930,5563972147065829,0,0
a07112b18bad98cd,api,5563993170272166,5563997305634800,25868,7670
d32e4a632ccec190,api,5563993174876906,5563997348723353,40179,9333
32bdfcadb6885d41,api,5563993174958855,5563998662298831,43361,26022
50b73a3d671977de,api,5563993175678727,5563999045786053,29397,29130
9b8fa7a44ca64483,api,5564010016445949,5564011109153983,43509,10618
af051ee3a1c4139d,api,5564010310414592,5564011128260303,40327,9333
868bbd801646dbf6,api,5564010057617143,5564011383356199,26016,12809
317deac304516301,api,5564010088398789,5564011481532909,29545,13753
5962bdc6961c9600,api,5564019082675046,5564020205683394,26035,14538
ea3187831f8bd7d3,api,5564020209542533,5564021163124497,43528,11828
ab4e6d597f8cad47,api,5564021164320744,5564021783988488,40346,7642
dec995a8df49d490,api,5564021784832129,5564023892784222,29564,27193
