monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5557954572490635,1784172684927474328,0,90.25,0,75261,1
5557954572490635,1784172684927474328,1,83.57,0,74059,1
5557954853834140,1784172685208816033,0,90.25,0,75261,1
5557954853834140,1784172685208816033,1,83.29,0,74059,1
5557955137795639,1784172685492777141,0,90.63,0,75261,1
5557955137795639,1784172685492777141,1,83.66,0,74059,1
5557955416862616,1784172685771844109,0,395.50,100,75261,1
5557955416862616,1784172685771844109,1,83.57,0,74059,1
5557955695584926,1784172686050566439,0,416.10,100,75261,1
5557955695584926,1784172686050566439,1,83.57,0,74059,1
5557955978251918,1784172686333233451,0,403.56,100,75261,1
5557955978251918,1784172686333233451,1,83.57,0,74059,1
5557956257476634,1784172686612458487,0,393.70,100,75261,1
5557956257476634,1784172686612458487,1,83.57,0,74059,1
5557956535924017,1784172686890905790,0,355.88,100,75261,1
5557956535924017,1784172686890905790,1,83.57,0,74059,1
5557956815763196,1784172687170745089,0,332.56,100,75261,1
5557956815763196,1784172687170745089,1,83.57,0,74059,1
5557957094921613,1784172687449903466,0,333.49,100,75261,1
5557957094921613,1784172687449903466,1,83.29,0,74059,1
5557957372191488,1784172687727173631,0,364.95,100,75261,1
5557957372191488,1784172687727173631,1,83.57,0,74059,1
5557957653626911,1784172688008609984,0,142.06,97,75261,1
5557957653626911,1784172688008609984,1,83.38,0,74059,1
5557957932105734,1784172688287088577,0,148.57,38,75261,1
5557957932105734,1784172688287088577,1,83.66,0,74059,1
5557958215493759,1784172688570476042,0,140.53,38,75261,1
5557958215493759,1784172688570476042,1,83.05,0,74059,1
5557958530705940,1784172688885688043,0,91.79,15,75261,1
5557958530705940,1784172688885688043,1,82.97,0,74059,1
5557958835723421,1784172689190707594,0,91.45,0,75261,1
5557958835723421,1784172689190707594,1,82.97,0,74059,1
5557959117745549,1784172689472727442,0,349.79,47,75261,1
5557959117745549,1784172689472727442,1,82.97,0,74059,1
5557959390124572,1784172689745106485,0,373.11,100,75261,1
5557959390124572,1784172689745106485,1,82.97,0,74059,1
5557959673111201,1784172690028093064,0,391.26,100,75261,1
5557959673111201,1784172690028093064,1,82.97,0,74059,1
5557959954749222,1784172690309731465,0,381.91,96,75261,1
5557959954749222,1784172690309731465,1,82.97,0,74059,1
5557960232472763,1784172690587454656,0,341.64,100,75261,1
5557960232472763,1784172690587454656,1,82.97,0,74059,1
5557960508239653,1784172690863221846,0,335.86,100,75261,1
5557960508239653,1784172690863221846,1,82.97,0,74059,1
5557960787554457,1784172691142536670,0,334.08,100,75261,1
5557960787554457,1784172691142536670,1,82.97,0,74059,1
5557961066048430,1784172691421030343,0,360.01,100,75261,1
5557961066048430,1784172691421030343,1,82.88,0,74059,1
5557961342233696,1784172691697215569,0,357.03,100,75261,1
5557961342233696,1784172691697215569,1,82.97,0,74059,1
5557961621655530,1784172691976637423,0,355.18,94,75261,1
5557961621655530,1784172691976637423,1,82.97,0,74059,1
5557961898567498,1784172692253549391,0,334.35,100,75261,1
5557961898567498,1784172692253549391,1,82.97,0,74059,1
5557962173121270,1784172692528103203,0,363.06,100,75261,1
5557962173121270,1784172692528103203,1,83.29,0,74059,1
5557962457711642,1784172692812693575,0,340.36,100,75261,1
5557962457711642,1784172692812693575,1,83.21,0,74059,1
5557962734739870,1784172693089721763,0,374.83,100,75261,1
5557962734739870,1784172693089721763,1,83.57,0,74059,1
5557963016710218,1784172693371692171,0,361.26,100,75261,1
5557963016710218,1784172693371692171,1,83.21,0,74059,1
5557963293652626,1784172693648635119,0,129.92,55,75261,1
5557963293652626,1784172693648635119,1,82.97,0,74059,1
5557963588264820,1784172693943246883,0,148.59,31,75261,1
5557963588264820,1784172693943246883,1,82.97,0,74059,1
5557963908930617,1784172694263912070,0,101.24,33,75261,1
5557963908930617,1784172694263912070,1,83.05,0,74059,1
5557964225104548,1784172694580086041,0,92.38,0,75261,1
5557964225104548,1784172694580086041,1,82.97,0,74059,1
5557964511736221,1784172694866717924,0,390.39,5,75261,1
5557964511736221,1784172694866717924,1,82.97,0,74059,1
5557964792497991,1784172695147479864,0,421.86,100,75261,1
5557964792497991,1784172695147479864,1,82.97,0,74059,1
5557965070948604,1784172695425930437,0,406.00,100,75261,1
5557965070948604,1784172695425930437,1,82.97,0,74059,1
5557965350764754,1784172695705746667,0,360.72,100,75261,1
5557965350764754,1784172695705746667,1,83.29,0,74059,1
5557965632925671,1784172695987907534,0,375.22,100,75261,1
5557965632925671,1784172695987907534,1,83.29,0,74059,1
5557965915124787,1784172696270107200,0,349.52,100,75261,1
5557965915124787,1784172696270107200,1,82.97,0,74059,1
5557966262218163,1784172696617200246,0,210.01,100,75261,1
5557966262218163,1784172696617200246,1,82.97,0,74059,1
5557966542668717,1784172696897651070,0,141.45,32,75261,1
5557966542668717,1784172696897651070,1,82.97,0,74059,1
5557966843495540,1784172697198477533,0,135.23,35,75261,1
5557966843495540,1784172697198477533,1,83.05,0,74059,1
5557967186696474,1784172697541678267,0,147.97,33,75261,1
5557967186696474,1784172697541678267,1,83.05,0,74059,1
5557967510105564,1784172697865087067,0,92.48,0,75261,1
5557967510105564,1784172697865087067,1,83.05,0,74059,1
5557967794668777,1784172698149650620,0,290.82,0,75261,1
5557967794668777,1784172698149650620,1,83.38,0,74059,1
5557968091279421,1784172698446261654,0,370.71,63,75261,1
5557968091279421,1784172698446261654,1,83.29,0,74059,1
5557968372665715,1784172698727647588,0,375.44,100,75261,1
5557968372665715,1784172698727647588,1,83.29,0,74059,1
5557968653530175,1784172699008512078,0,268.39,96,75261,1
5557968653530175,1784172699008512078,1,83.29,0,74059,1
5557968933647812,1784172699288629705,0,346.20,100,75261,1
5557968933647812,1784172699288629705,1,82.97,0,74059,1
