monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5556963250000000,1784171694063629266,250000000,api,client_to_target,43412,1
5556963500000000,1784171694314061531,250000000,api,target_to_client,149,0
5556967500000000,1784171698323549871,250000000,api,target_to_client,1953,0
5556967750000000,1784171698574578681,250000000,api,target_to_client,3175,0
5556968000000000,1784171698825467082,250000000,api,target_to_client,3428,0
5556968250000000,1784171699076708140,250000000,api,target_to_client,3186,0
5556968500000000,1784171699327275894,250000000,api,target_to_client,3166,0
5556968750000000,1784171699578017866,250000000,api,target_to_client,3193,0
5556969000000000,1784171699829874469,250000000,api,target_to_client,3177,0
5556969250000000,1784171700081299005,250000000,api,target_to_client,3320,0
5556969500000000,1784171700331770930,250000000,api,target_to_client,524,0
5556970500000000,1784171701333691089,250000000,api,client_to_target,29448,1
5556970500000000,1784171701333735489,250000000,api,target_to_client,149,0
5556972750000000,1784171703588569047,250000000,api,target_to_client,3183,0
5556973000000000,1784171703839482188,250000000,api,target_to_client,3414,0
5556973250000000,1784171704089791814,250000000,api,target_to_client,3168,0
5556973500000000,1784171704340819373,250000000,api,target_to_client,3160,0
5556973750000000,1784171704591886823,250000000,api,target_to_client,3193,0
5556974000000000,1784171704842178139,250000000,api,target_to_client,3111,0
5556974250000000,1784171705092625914,250000000,api,target_to_client,1687,0
5556975500000000,1784171706345367415,250000000,api,client_to_target,25919,1
5556975500000000,1784171706345404825,250000000,api,target_to_client,149,0
5556977250000000,1784171708100783049,250000000,api,target_to_client,2451,0
5556977500000000,1784171708351464821,250000000,api,target_to_client,3185,0
5556977750000000,1784171708601668289,250000000,api,target_to_client,3176,0
5556978000000000,1784171708852073465,250000000,api,target_to_client,3116,0
5556979250000000,1784171710105330890,250000000,api,client_to_target,27620,1
5556979250000000,1784171710105359410,250000000,api,target_to_client,149,0
5556981000000000,1784171711607956432,250000000,api,target_to_client,732,0
5556981250000000,1784171711858221439,250000000,api,target_to_client,3179,0
5556981500000000,1784171712108735993,250000000,api,target_to_client,3106,0
5556981750000000,1784171712359672143,250000000,api,target_to_client,1223,0
5556983000000000,1784171713612466174,250000000,api,client_to_target,43380,1
5556983000000000,1784171713612507093,250000000,api,target_to_client,2597,0
5556983000000000,1784171713612516443,250000000,kv,client_to_target,186,0
5556983000000000,1784171713612523563,250000000,kv,target_to_client,36,1
5556983250000000,1784171713863605662,250000000,api,target_to_client,3181,0
5556983500000000,1784171714114618162,250000000,api,target_to_client,3175,0
5556983750000000,1784171714366048507,250000000,api,client_to_target,29416,1
5556983750000000,1784171714366071767,250000000,api,target_to_client,3024,0
5556983750000000,1784171714366081617,250000000,kv,client_to_target,186,0
5556983750000000,1784171714366088287,250000000,kv,target_to_client,36,1
5556984000000000,1784171714617494802,250000000,api,target_to_client,3429,0
5556984250000000,1784171714868664950,250000000,api,target_to_client,3168,0
5556984500000000,1784171715119243914,250000000,api,target_to_client,3412,0
5556984750000000,1784171715370265614,250000000,api,client_to_target,25887,1
5556984750000000,1784171715370286424,250000000,api,target_to_client,3254,0
5556984750000000,1784171715370294783,250000000,kv,client_to_target,186,0
5556984750000000,1784171715370300633,250000000,kv,target_to_client,36,1
5556985000000000,1784171715620812128,250000000,api,target_to_client,3187,0
5556985250000000,1784171715871233473,250000000,api,target_to_client,3171,0
5556985500000000,1784171716122115784,250000000,api,target_to_client,3143,0
5556985750000000,1784171716373452840,250000000,api,client_to_target,27588,1
5556985750000000,1784171716373476680,250000000,api,target_to_client,3545,0
5556985750000000,1784171716373494070,250000000,kv,client_to_target,186,0
5556985750000000,1784171716373501440,250000000,kv,target_to_client,36,1
5556986000000000,1784171716624180463,250000000,api,target_to_client,3190,0
5556986250000000,1784171716874885666,250000000,api,target_to_client,3181,0
5556986500000000,1784171717125434440,250000000,api,target_to_client,3185,0
5556986750000000,1784171717376567528,250000000,api,target_to_client,3407,0
5556987000000000,1784171717628270581,250000000,api,target_to_client,3193,0
5556987250000000,1784171717880433799,250000000,api,target_to_client,3176,0
5556987500000000,1784171718130604277,250000000,api,target_to_client,3088,0
5556987750000000,1784171718381191401,250000000,api,target_to_client,757,0
