monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5571030000000000,1784185760633581415,250000000,api,client_to_target,146201,1
5571030000000000,1784185760633617175,250000000,api,target_to_client,596,0
5571030000000000,1784185760633624135,250000000,kv,client_to_target,22320,0
5571030000000000,1784185760633629545,250000000,kv,target_to_client,4320,1
5571030250000000,1784185760884331772,250000000,kv,client_to_target,43710,0
5571030250000000,1784185760884358002,250000000,kv,target_to_client,5089548,1
5571030500000000,1784185761134776523,250000000,kv,client_to_target,186,0
5571030500000000,1784185761134788473,250000000,kv,target_to_client,7895076,1
5571030750000000,1784185761385586729,250000000,kv,target_to_client,7733248,1
5571031000000000,1784185761636667562,250000000,kv,client_to_target,186,0
5571031000000000,1784185761636689772,250000000,kv,target_to_client,7864356,1
5571031250000000,1784185761887532248,250000000,kv,target_to_client,7798784,1
5571031500000000,1784185762138260245,250000000,kv,client_to_target,186,0
5571031500000000,1784185762138282595,250000000,kv,target_to_client,7798820,1
5571031750000000,1784185762388737875,250000000,kv,client_to_target,186,0
5571031750000000,1784185762388759265,250000000,kv,target_to_client,7798820,1
5571032000000000,1784185762639472102,250000000,kv,target_to_client,7864320,1
5571032250000000,1784185762890215849,250000000,kv,client_to_target,186,0
5571032250000000,1784185762890238789,250000000,kv,target_to_client,7798820,1
5571032500000000,1784185763140430903,250000000,kv,target_to_client,7798784,1
5571032750000000,1784185763390938292,250000000,kv,client_to_target,186,0
5571032750000000,1784185763390959662,250000000,kv,target_to_client,7798820,1
5571033000000000,1784185763641526911,250000000,kv,client_to_target,186,0
5571033000000000,1784185763641551081,250000000,kv,target_to_client,7798714,1
5571033250000000,1784185763891711805,250000000,kv,target_to_client,7864320,1
5571033500000000,1784185764142468582,250000000,kv,client_to_target,186,0
5571033500000000,1784185764142490322,250000000,kv,target_to_client,7798926,1
5571033750000000,1784185764393289328,250000000,kv,client_to_target,186,0
5571033750000000,1784185764393312508,250000000,kv,target_to_client,7798767,1
5571034000000000,1784185764644020465,250000000,kv,target_to_client,7798784,1
5571034250000000,1784185764894370787,250000000,kv,client_to_target,186,0
5571034250000000,1784185764894393467,250000000,kv,target_to_client,7798820,1
5571034500000000,1784185765145363461,250000000,kv,target_to_client,7864320,1
5571034750000000,1784185765396169217,250000000,kv,client_to_target,186,0
5571034750000000,1784185765396192107,250000000,kv,target_to_client,7798873,1
5571035000000000,1784185765646680457,250000000,kv,client_to_target,186,0
5571035000000000,1784185765646701747,250000000,kv,target_to_client,7798820,1
5571035250000000,1784185765897320585,250000000,kv,target_to_client,7798784,1
5571035500000000,1784185766148104332,250000000,kv,client_to_target,186,0
5571035500000000,1784185766148136841,250000000,kv,target_to_client,7864356,1
5571035750000000,1784185766398268156,250000000,kv,client_to_target,186,0
5571035750000000,1784185766398288365,250000000,kv,target_to_client,7798820,1
5571036000000000,1784185766649222840,250000000,kv,target_to_client,7798784,1
5571036250000000,1784185766900072996,250000000,kv,client_to_target,186,0
5571036250000000,1784185766900095556,250000000,kv,target_to_client,7798820,1
5571036500000000,1784185767151143639,250000000,kv,target_to_client,7798784,1
5571036750000000,1784185767402158183,250000000,kv,client_to_target,186,0
5571036750000000,1784185767402180373,250000000,kv,target_to_client,7864356,1
5571037000000000,1784185767652602703,250000000,kv,client_to_target,186,0
5571037000000000,1784185767652625693,250000000,kv,target_to_client,7798820,1
5571037250000000,1784185767903020954,250000000,kv,target_to_client,7798784,1
5571037500000000,1784185768153527364,250000000,kv,client_to_target,186,0
5571037500000000,1784185768153550174,250000000,kv,target_to_client,7798820,1
5571037750000000,1784185768403845136,250000000,kv,client_to_target,186,0
5571037750000000,1784185768403866416,250000000,kv,target_to_client,7798820,1
5571038000000000,1784185768654708432,250000000,kv,target_to_client,7864320,1
5571038250000000,1784185768905215892,250000000,kv,client_to_target,186,0
5571038250000000,1784185768905239101,250000000,kv,target_to_client,7798820,1
5571038500000000,1784185769155696452,250000000,kv,target_to_client,7798784,1
5571038750000000,1784185769406612497,250000000,kv,client_to_target,186,0
5571038750000000,1784185769406640176,250000000,kv,target_to_client,7798820,1
