connection_id,route,start_ns,end_ns,client_to_target_bytes,target_to_client_bytes
e59fec5a2cc597a0,kv,5571729236761868,5571729238028934,0,0
f4566a6d2a1e4dad,api,5571729237142594,5571729238092303,0,0
aa7ad255468b4f97,api,5571748113905762,5571830837738672,32007,9333
8f0d30d818d538ad,api,5571748112163732,5571831048551859,25868,12077
59bfcff282e8fd3e,api,5571748113310519,5571831784330866,24850,21065
883f0c9bed843d95,api,5571748113160020,5571832112865537,22344,24744
3327ce9e6ab144d1,api,5571847310869886,5571848232252417,25887,11828
e787ffc67ff87d52,api,5571848234128435,5571850354585576,24869,27425
9c5884c1f11b9f84,api,5571850357038180,5571852475149429,22363,27425
14f416492611034a,api,5571852477368935,5571854609378034,32026,27425
