monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5556312639440139,1784171042994424162,0,90.35,0,75261,1
5556312639440139,1784171042994424162,1,84.25,0,74059,1
5556312927968472,1784171043282950355,0,90.35,0,75261,1
5556312927968472,1784171043282950355,1,84.25,0,74059,1
5556313208218171,1784171043563200044,0,213.27,29,75261,1
5556313208218171,1784171043563200044,1,84.17,0,74059,1
5556313482410594,1784171043837392477,0,383.90,100,75261,1
5556313482410594,1784171043837392477,1,84.17,0,74059,1
5556313757687045,1784171044112668928,0,408.54,100,75261,1
5556313757687045,1784171044112668928,1,84.17,0,74059,1
5556314033395731,1784171044388377624,0,416.37,95,75261,1
5556314033395731,1784171044388377624,1,83.89,0,74059,1
5556314307557544,1784171044662539437,0,350.44,100,75261,1
5556314307557544,1784171044662539437,1,84.17,0,74059,1
5556314583515278,1784171044938497221,0,407.62,100,75261,1
5556314583515278,1784171044938497221,1,83.89,0,74059,1
5556314860630989,1784171045215613012,0,362.24,100,75261,1
5556314860630989,1784171045215613012,1,83.89,0,74059,1
5556315133881312,1784171045488863205,0,398.82,100,75261,1
5556315133881312,1784171045488863205,1,84.17,0,74059,1
5556315408301141,1784171045763283024,0,376.03,100,75261,1
5556315408301141,1784171045763283024,1,83.89,0,74059,1
5556315682533103,1784171046037514966,0,365.55,100,75261,1
5556315682533103,1784171046037514966,1,83.89,0,74059,1
5556315958563486,1784171046313545379,0,358.49,93,75261,1
5556315958563486,1784171046313545379,1,83.89,0,74059,1
5556316233355573,1784171046588337446,0,364.58,100,75261,1
5556316233355573,1784171046588337446,1,83.89,0,74059,1
5556316507968020,1784171046862950223,0,343.40,100,75261,1
5556316507968020,1784171046862950223,1,83.89,0,74059,1
5556316783745416,1784171047138727649,0,142.98,75,75261,1
5556316783745416,1784171047138727649,1,83.89,0,74059,1
5556317058613221,1784171047413595434,0,149.02,32,75261,1
5556317058613221,1784171047413595434,1,83.98,0,74059,1
5556317330365969,1784171047685348372,0,143.58,39,75261,1
5556317330365969,1784171047685348372,1,83.98,0,74059,1
5556317658597598,1784171048013579141,0,104.78,39,75261,1
5556317658597598,1784171048013579141,1,83.98,0,74059,1
5556317972818743,1784171048327800186,0,92.06,0,75261,1
5556317972818743,1784171048327800186,1,83.98,0,74059,1
5556318253521098,1784171048608502961,0,393.11,56,75261,1
5556318253521098,1784171048608502961,1,83.89,0,74059,1
5556318530096625,1784171048885078508,0,377.67,100,75261,1
5556318530096625,1784171048885078508,1,83.89,0,74059,1
5556318805471055,1784171049160452898,0,377.35,100,75261,1
5556318805471055,1784171049160452898,1,83.89,0,74059,1
5556319080511469,1784171049435493342,0,362.24,100,75261,1
5556319080511469,1784171049435493342,1,83.57,0,74059,1
5556319352491644,1784171049707473537,0,393.98,100,75261,1
5556319352491644,1784171049707473537,1,83.89,0,74059,1
5556319636260637,1784171049991242810,0,370.33,100,75261,1
5556319636260637,1784171049991242810,1,83.89,0,74059,1
5556319927513601,1784171050282495544,0,367.89,100,75261,1
5556319927513601,1784171050282495544,1,83.89,0,74059,1
5556320266000143,1784171050621015116,0,370.33,100,75261,1
