monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5551641820734774,1784166372175716977,0,90.95,0,75261,1
5551641820734774,1784166372175716977,1,85.09,0,74057,1
5551642107150092,1784166372462132535,0,266.58,32,75261,1
5551642107150092,1784166372462132535,1,85.09,0,74057,1
5551642384412502,1784166372739394015,0,368.87,100,75261,1
5551642384412502,1784166372739394015,1,85.09,0,74057,1
5551642664556913,1784166373019538796,0,376.75,100,75261,1
5551642664556913,1784166373019538796,1,85.09,0,74057,1
5551642945973032,1784166373300955885,0,284.43,95,75261,1
5551642945973032,1784166373300955885,1,85.09,0,74057,1
5551643222432210,1784166373577414063,0,355.88,100,75261,1
5551643222432210,1784166373577414063,1,85.09,0,74057,1
5551643504869678,1784166373859851521,0,332.56,100,75261,1
5551643504869678,1784166373859851521,1,85.09,0,74057,1
5551643783877650,1784166374138859503,0,366.97,100,75261,1
5551643783877650,1784166374138859503,1,85.00,0,74057,1
5551644066412027,1784166374421393850,0,390.85,100,75261,1
5551644066412027,1784166374421393850,1,85.00,0,74057,1
5551644344143293,1784166374699125126,0,341.88,100,75261,1
5551644344143293,1784166374699125126,1,85.00,0,74057,1
5551644626865458,1784166374981847651,0,137.03,94,75261,1
5551644626865458,1784166374981847651,1,85.18,0,74057,1
5551644911277146,1784166375266259329,0,144.00,38,75261,1
5551644911277146,1784166375266259329,1,85.18,0,74057,1
5551645207526994,1784166375562509057,0,142.53,37,75261,1
5551645207526994,1784166375562509057,1,84.90,0,74057,1
5551645494429206,1784166375849411609,0,93.31,17,75261,1
5551645494429206,1784166375849411609,1,84.82,0,74057,1
5551645772641567,1784166376127623060,0,353.39,100,75261,1
5551645772641567,1784166376127623060,1,84.82,0,74057,1
5551646052131285,1784166376407113068,0,392.37,100,75261,1
5551646052131285,1784166376407113068,1,84.82,0,74057,1
5551646333790881,1784166376688772964,0,327.40,100,75261,1
5551646333790881,1784166376688772964,1,84.82,0,74057,1
5551646612412717,1784166376967394560,0,362.13,97,75261,1
5551646612412717,1784166376967394560,1,85.00,0,74057,1
5551646908206920,1784166377263188793,0,364.58,100,75261,1
5551646908206920,1784166377263188793,1,85.00,0,74057,1
5551647184107504,1784166377539089377,0,394.90,100,75261,1
5551647184107504,1784166377539089377,1,85.09,0,74057,1
5551647462574592,1784166377817556745,0,395.69,100,75261,1
5551647462574592,1784166377817556745,1,84.82,0,74057,1
5551647743621364,1784166378098603227,0,387.87,100,75261,1
5551647743621364,1784166378098603227,1,84.73,0,74057,1
5551648027786864,1784166378382769027,0,397.80,100,75261,1
5551648027786864,1784166378382769027,1,84.73,0,74057,1
5551648336767913,1784166378691750176,0,382.98,94,75261,1
5551648336767913,1784166378691750176,1,84.73,0,74057,1
5551648611791216,1784166378966774009,0,364.85,100,75261,1
5551648611791216,1784166378966774009,1,84.73,0,74057,1
5551648891810429,1784166379246792341,0,346.68,100,75261,1
5551648891810429,1784166379246792341,1,84.73,0,74057,1
5551649175190377,1784166379530172310,0,378.47,100,75261,1
5551649175190377,1784166379530172310,1,84.73,0,74057,1
5551649456989231,1784166379811971094,0,356.11,100,75261,1
5551649456989231,1784166379811971094,1,84.73,0,74057,1
5551649742924554,1784166380097906787,0,125.27,76,75261,1
5551649742924554,1784166380097906787,1,84.40,0,74057,1
5551650023180744,1784166380378162957,0,149.94,33,75261,1
