monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5558891201668470,1784173621556652253,0,88.50,0,75261,1
5558891201668470,1784173621556652253,1,83.38,0,74059,1
5558891485094556,1784173621840076929,0,88.82,0,75261,1
5558891485094556,1784173621840076929,1,83.66,0,74059,1
5558891765527843,1784173622120509726,0,88.59,0,75261,1
5558891765527843,1784173622120509726,1,83.14,0,74059,1
5558892104660897,1784173622459642820,0,384.03,37,75261,1
5558892104660897,1784173622459642820,1,83.38,0,74059,1
5558892385584770,1784173622740566653,0,406.10,100,75261,1
5558892385584770,1784173622740566653,1,83.38,0,74059,1
5558892669854647,1784173623024836450,0,408.54,100,75261,1
5558892669854647,1784173623024836450,1,82.97,0,74059,1
5558892946917230,1784173623301899123,0,347.40,100,75261,1
5558892946917230,1784173623301899123,1,83.05,0,74059,1
5558893225206620,1784173623580188823,0,328.06,100,75261,1
5558893225206620,1784173623580188823,1,83.29,0,74059,1
5558893528530858,1784173623883512811,0,349.19,100,75261,1
5558893528530858,1784173623883512811,1,82.97,0,74059,1
5558893804689360,1784173624159672163,0,384.30,100,75261,1
5558893804689360,1784173624159672163,1,82.97,0,74059,1
5558894084791551,1784173624439773784,0,359.79,100,75261,1
5558894084791551,1784173624439773784,1,82.97,0,74059,1
5558894364898222,1784173624719880115,0,355.28,100,75261,1
5558894364898222,1784173624719880115,1,82.88,0,74059,1
5558894644988453,1784173624999970236,0,349.19,95,75261,1
5558894644988453,1784173624999970236,1,82.97,0,74059,1
5558894925165594,1784173625280147517,0,331.04,100,75261,1
5558894925165594,1784173625280147517,1,82.97,0,74059,1
5558895203654871,1784173625558636814,0,366.37,100,75261,1
5558895203654871,1784173625558636814,1,82.88,0,74059,1
5558895482903592,1784173625837885515,0,345.88,100,75261,1
5558895482903592,1784173625837885515,1,82.70,0,74059,1
5558895762363889,1784173626117346072,0,351.31,100,75261,1
5558895762363889,1784173626117346072,1,82.97,0,74059,1
5558896045330410,1784173626400312693,0,354.36,100,75261,1
5558896045330410,1784173626400312693,1,82.97,0,74059,1
5558896345892447,1784173626700875030,0,147.82,40,75261,1
5558896345892447,1784173626700875030,1,82.78,0,74059,1
5558896624039309,1784173626979021572,0,145.25,41,75261,1
5558896624039309,1784173626979021572,1,82.78,0,74059,1
5558896901463348,1784173627256446801,0,150.09,41,75261,1
5558896901463348,1784173627256446801,1,82.87,0,74059,1
5558897183047163,1784173627538029706,0,152.82,41,75261,1
5558897183047163,1784173627538029706,1,82.54,0,74059,1
5558897464451951,1784173627819434214,0,147.05,41,75261,1
5558897464451951,1784173627819434214,1,82.46,0,74059,1
5558897743919059,1784173628098901332,0,144.93,41,75261,1
5558897743919059,1784173628098901332,1,82.46,0,74059,1
5558898046987549,1784173628401969112,0,91.55,34,75261,1
5558898046987549,1784173628401969112,1,82.46,0,74059,1
5558898361248143,1784173628716229606,0,90.44,0,75261,1
5558898361248143,1784173628716229606,1,82.54,0,74059,1
5558898671556748,1784173629026538211,0,90.35,0,75261,1
5558898671556748,1784173629026538211,1,82.21,0,74059,1
5558898965246817,1784173629320229090,0,263.81,0,75261,1
5558898965246817,1784173629320229090,1,82.46,0,74059,1
5558899244965702,1784173629599947915,0,363.76,100,75261,1
5558899244965702,1784173629599947915,1,82.37,0,74059,1
5558899525897505,1784173629880879468,0,393.98,100,75261,1
5558899525897505,1784173629880879468,1,82.37,0,74059,1
5558899804999836,1784173630160009409,0,328.32,97,75261,1
5558899804999836,1784173630160009409,1,82.37,0,74059,1
5558900084518573,1784173630439500536,0,351.31,100,75261,1
5558900084518573,1784173630439500536,1,82.37,0,74059,1
5558900362960622,1784173630717942505,0,342.84,100,75261,1
5558900362960622,1784173630717942505,1,82.37,0,74059,1
5558900642862475,1784173630997844478,0,389.74,100,75261,1
5558900642862475,1784173630997844478,1,82.37,0,74059,1
5558900924335861,1784173631279317794,0,417.02,100,75261,1
