monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5578363645991873,1784193094000974376,0,86.79,0,75261,1
5578363645991873,1784193094000974376,1,81.34,0,74057,1
5578363931287166,1784193094286271119,0,86.79,0,75261,1
5578363931287166,1784193094286271119,1,81.34,0,74057,1
5578364215523970,1784193094570505773,0,360.49,87,75261,1
5578364215523970,1784193094570505773,1,80.93,0,74057,1
5578364533814618,1784193094888796111,0,388.35,100,75261,1
5578364533814618,1784193094888796111,1,81.26,0,74057,1
5578364814244315,1784193095169226118,0,336.22,100,75261,1
5578364814244315,1784193095169226118,1,80.93,0,74057,1
5578365094948439,1784193095449930232,0,363.49,96,75261,1
5578365094948439,1784193095449930232,1,80.93,0,74057,1
5578365375304597,1784193095730286490,0,379.26,100,75261,1
5578365375304597,1784193095730286490,1,80.93,0,74057,1
5578365655347618,1784193096010329101,0,365.01,100,75261,1
5578365655347618,1784193096010329101,1,81.26,0,74057,1
5578365936704244,1784193096291686047,0,385.90,100,75261,1
5578365936704244,1784193096291686047,1,80.93,0,74057,1
5578366215593758,1784193096570575241,0,359.57,100,75261,1
5578366215593758,1784193096570575241,1,81.26,0,74057,1
5578366494977216,1784193096849959239,0,352.60,100,75261,1
5578366494977216,1784193096849959239,1,80.84,0,74057,1
5578366773316696,1784193097128298329,0,340.80,97,75261,1
5578366773316696,1784193097128298329,1,80.93,0,74057,1
5578367052498547,1784193097407481430,0,137.62,97,75261,1
5578367052498547,1784193097407481430,1,81.01,0,74057,1
5578367379525728,1784193097734508351,0,146.00,38,75261,1
5578367379525728,1784193097734508351,1,81.01,0,74057,1
5578367658669839,1784193098013651322,0,91.05,35,75261,1
5578367658669839,1784193098013651322,1,81.34,0,74057,1
5578367940062946,1784193098295044769,0,388.35,100,75261,1
5578367940062946,1784193098295044769,1,81.26,0,74057,1
5578368218702722,1784193098573684195,0,342.32,100,75261,1
5578368218702722,1784193098573684195,1,81.26,0,74057,1
5578368495726157,1784193098850709170,0,369.25,100,75261,1
5578368495726157,1784193098850709170,1,80.93,0,74057,1
5578368773969918,1784193099128952331,0,350.16,100,75261,1
5578368773969918,1784193099128952331,1,80.93,0,74057,1
5578369055847549,1784193099410829542,0,329.86,100,75261,1
5578369055847549,1784193099410829542,1,80.93,0,74057,1
5578369333758393,1784193099688739876,0,362.01,100,75261,1
5578369333758393,1784193099688739876,1,80.93,0,74057,1
5578369612022894,1784193099967004677,0,138.88,52,75261,1
5578369612022894,1784193099967004677,1,81.34,0,74057,1
5578369892618709,1784193100247600432,0,142.35,35,75261,1
5578369892618709,1784193100247600432,1,81.01,0,74057,1
5578370172995797,1784193100527977400,0,140.82,36,75261,1
5578370172995797,1784193100527977400,1,81.34,0,74057,1
5578370456336651,1784193100811318134,0,90.44,25,75261,1
5578370456336651,1784193100811318134,1,81.01,0,74057,1
5578370777967272,1784193101132948795,0,411.69,51,75261,1
5578370777967272,1784193101132948795,1,80.93,0,74057,1
5578371062416314,1784193101417398427,0,407.71,100,75261,1
5578371062416314,1784193101417398427,1,80.93,0,74057,1
5578371343226407,1784193101698208060,0,167.69,100,75261,1
5578371343226407,1784193101698208060,1,80.93,0,74057,1
5578371619452960,1784193101974434663,0,361.36,100,75261,1
5578371619452960,1784193101974434663,1,80.93,0,74057,1
5578371899017267,1784193102253999110,0,372.89,100,75261,1
5578371899017267,1784193102253999110,1,80.93,0,74057,1
5578372179687271,1784193102534668764,0,379.86,100,75261,1
5578372179687271,1784193102534668764,1,80.93,0,74057,1
5578372456113982,1784193102811095475,0,362.88,100,75261,1
5578372456113982,1784193102811095475,1,80.93,0,74057,1
5578372734453322,1784193103089434815,0,355.32,100,75261,1
5578372734453322,1784193103089434815,1,80.93,0,74057,1
5578373014540223,1784193103369523316,0,341.66,100,75261,1
5578373014540223,1784193103369523316,1,80.93,0,74057,1
5578373295074888,1784193103650056761,0,361.69,92,75261,1
5578373295074888,1784193103650056761,1,80.93,0,74057,1
5578373572673877,1784193103927656420,0,360.49,100,75261,1
5578373572673877,1784193103927656420,1,80.93,0,74057,1
5578373854093152,1784193104209074915,0,360.49,100,75261,1
5578373854093152,1784193104209074915,1,80.93,0,74057,1
5578374136134911,1784193104491117184,0,373.82,100,75261,1
5578374136134911,1784193104491117184,1,81.01,0,74057,1
5578374415694628,1784193104770676891,0,142.68,86,75261,1
5578374415694628,1784193104770676891,1,81.01,0,74057,1
5578374693897419,1784193105048879812,0,145.67,39,75261,1
5578374693897419,1784193105048879812,1,81.01,0,74057,1
5578374975038598,1784193105330020621,0,91.37,12,75261,1
5578374975038598,1784193105330020621,1,81.01,0,74057,1
5578375255128839,1784193105610111002,0,355.92,87,75261,1
5578375255128839,1784193105610111002,1,80.93,0,74057,1
5578375533538178,1784193105888520091,0,392.59,100,75261,1
5578375533538178,1784193105888520091,1,80.93,0,74057,1
5578375810721381,1784193106165703264,0,408.97,100,75261,1
5578375810721381,1784193106165703264,1,80.93,0,74057,1
5578376094647849,1784193106449629592,0,335.63,96,75261,1
5578376094647849,1784193106449629592,1,80.93,0,74057,1
5578376408400987,1784193106763382730,0,368.65,100,75261,1
5578376408400987,1784193106763382730,1,80.93,0,74057,1
5578376687572368,1784193107042554211,0,337.15,100,75261,1
5578376687572368,1784193107042554211,1,80.93,0,74057,1
5578376964995968,1784193107319977791,0,401.08,100,75261,1
5578376964995968,1784193107319977791,1,80.93,0,74057,1
5578377243592115,1784193107598574208,0,368.05,100,75261,1
5578377243592115,1784193107598574208,1,81.26,0,74057,1
5578377523228521,1784193107878210434,0,388.27,100,75261,1
5578377523228521,1784193107878210434,1,80.93,0,74057,1
5578377803418920,1784193108158400753,0,356.24,96,75261,1
5578377803418920,1784193108158400753,1,80.93,0,74057,1
5578378082186055,1784193108437167978,0,337.15,100,75261,1
5578378082186055,1784193108437167978,1,80.93,0,74057,1
5578378354935677,1784193108709917520,0,358.04,100,75261,1
5578378354935677,1784193108709917520,1,80.93,0,74057,1
5578378635883118,1784193108990865131,0,345.91,100,75261,1
5578378635883118,1784193108990865131,1,80.93,0,74057,1
5578378915051679,1784193109270033702,0,386.55,100,75261,1
5578378915051679,1784193109270033702,1,80.93,0,74057,1
5578379203201750,1784193109558184043,0,360.49,100,75261,1
5578379203201750,1784193109558184043,1,80.93,0,74057,1
5578379481626860,1784193109836609023,0,144.15,35,75261,1
5578379481626860,1784193109836609023,1,81.01,0,74057,1
5578379759377896,1784193110114360139,0,148.13,39,75261,1
5578379759377896,1784193110114360139,1,81.01,0,74057,1
5578380033290755,1784193110388273028,0,147.80,42,75261,1
5578380033290755,1784193110388273028,1,81.01,0,74057,1
5578380315090297,1784193110670072380,0,150.25,42,75261,1
5578380315090297,1784193110670072380,1,81.01,0,74057,1
5578380594348136,1784193110949330229,0,145.08,41,75261,1
5578380594348136,1784193110949330229,1,81.01,0,74057,1
5578380875795322,1784193111230777415,0,150.53,41,75261,1
5578380875795322,1784193111230777415,1,81.01,0,74057,1
5578381178925478,1784193111533907231,0,144.15,41,75261,1
5578381178925478,1784193111533907231,1,81.01,0,74057,1
5578381468314933,1784193111823297046,0,91.05,0,75261,1
5578381468314933,1784193111823297046,1,81.01,0,74057,1
5578381745646000,1784193112100627893,0,91.28,34,75261,1
5578381745646000,1784193112100627893,1,323.22,100,74057,1
5578382040515891,1784193112395498464,0,97.92,70,75261,1
5578382040515891,1784193112395498464,1,399.55,100,74057,1
5578382322656961,1784193112677639154,0,182.64,48,75261,1
5578382322656961,1784193112677639154,1,396.10,100,74057,1
5578382631242415,1784193112986224588,0,194.97,49,75261,1
5578382631242415,1784193112986224588,1,311.42,99,74057,1
5578382995262149,1784193113350244012,0,145.85,46,75261,1
5578382995262149,1784193113350244012,1,336.55,100,74057,1
5578383321724345,1784193113676706118,0,90.63,0,75261,1
5578383321724345,1784193113676706118,1,394.90,100,74057,1
5578383679406198,1784193114034388751,0,90.63,0,75261,1
5578383679406198,1784193114034388751,1,341.66,100,74057,1
5578383953380891,1784193114308362734,0,90.25,0,75261,1
5578383953380891,1784193114308362734,1,320.44,100,74057,1
5578384232379266,1784193114587361129,0,90.25,0,75261,1
5578384232379266,1784193114587361129,1,325.94,99,74057,1
5578384512139624,1784193114867121577,0,90.02,0,75261,1
5578384512139624,1784193114867121577,1,345.88,100,74057,1
5578384792557447,1784193115147539330,0,90.25,0,75261,1
5578384792557447,1784193115147539330,1,382.51,100,74057,1
5578385071180324,1784193115426162507,0,89.66,0,75261,1
5578385071180324,1784193115426162507,1,333.49,97,74057,1
5578385350818013,1784193115705799876,0,89.93,0,75261,1
5578385350818013,1784193115705799876,1,327.13,100,74057,1
5578385628552957,1784193115983534910,0,89.75,0,75261,1
5578385628552957,1784193115983534910,1,322.90,100,74057,1
5578385904499245,1784193116259481098,0,89.93,0,75261,1
5578385904499245,1784193116259481098,1,365.60,100,74057,1
5578386182646645,1784193116537628828,0,89.75,0,75261,1
5578386182646645,1784193116537628828,1,376.42,100,74057,1
5578386463600394,1784193116818582567,0,89.43,0,75261,1
5578386463600394,1784193116818582567,1,347.08,99,74057,1
5578386743138384,1784193117098120307,0,89.75,0,75261,1
5578386743138384,1784193117098120307,1,378.54,100,74057,1
5578387022643804,1784193117377625967,0,89.75,0,75261,1
5578387022643804,1784193117377625967,1,338.59,100,74057,1
5578387307417044,1784193117662398907,0,89.43,0,75261,1
5578387307417044,1784193117662398907,1,312.29,100,74057,1
5578387585711633,1784193117940693526,0,89.43,0,75261,1
5578387585711633,1784193117940693526,1,353.52,100,74057,1
5578387863960523,1784193118218942266,0,89.43,0,75261,1
5578387863960523,1784193118218942266,1,315.01,100,74057,1
5578388143915820,1784193118498897723,0,89.43,0,75261,1
5578388143915820,1784193118498897723,1,322.03,100,74057,1
5578388425503664,1784193118780485497,0,89.43,0,75261,1
5578388425503664,1784193118780485497,1,390.46,100,74057,1
5578388703639004,1784193119058620737,0,89.43,0,75261,1
5578388703639004,1784193119058620737,1,321.38,100,74057,1
5578388982907877,1784193119337889740,0,89.43,0,75261,1
5578388982907877,1784193119337889740,1,372.89,100,74057,1
5578389262572605,1784193119617554818,0,89.43,0,75261,1
5578389262572605,1784193119617554818,1,340.71,100,74057,1
5578389541815228,1784193119896797161,0,89.16,0,75261,1
5578389541815228,1784193119896797161,1,356.85,100,74057,1
5578389821871134,1784193120176853017,0,88.82,0,75261,1
5578389821871134,1784193120176853017,1,351.08,100,74057,1
5578390100133683,1784193120455115886,0,88.82,0,75261,1
5578390100133683,1784193120455115886,1,391.58,100,74057,1
5578390377409201,1784193120732391174,0,88.82,0,75261,1
5578390377409201,1784193120732391174,1,345.91,98,74057,1
5578390654058683,1784193121009040676,0,88.50,0,75261,1
5578390654058683,1784193121009040676,1,353.52,100,74057,1
5578390933716872,1784193121288698715,0,88.82,0,75261,1
5578390933716872,1784193121288698715,1,328.06,100,74057,1
5578391210603893,1784193121565585746,0,88.50,0,75261,1
5578391210603893,1784193121565585746,1,335.03,100,74057,1
5578391491387123,1784193121846368996,0,88.50,0,75261,1
5578391491387123,1784193121846368996,1,363.21,100,74057,1
5578391769092787,1784193122124074720,0,88.50,0,75261,1
5578391769092787,1784193122124074720,1,332.58,100,74057,1
5578392045516941,1784193122400499124,0,88.50,0,75261,1
5578392045516941,1784193122400499124,1,319.90,99,74057,1
5578392323041657,1784193122678023490,0,88.50,0,75261,1
5578392323041657,1784193122678023490,1,318.38,100,74057,1
5578392601039549,1784193122956021462,0,88.50,0,75261,1
5578392601039549,1784193122956021462,1,352.60,100,74057,1
5578392879369398,1784193123234351571,0,88.50,0,75261,1
5578392879369398,1784193123234351571,1,352.23,100,74057,1
5578393154226864,1784193123509208707,0,88.50,0,75261,1
5578393154226864,1784193123509208707,1,358.37,100,74057,1
5578393433570095,1784193123788552078,0,88.50,0,75261,1
5578393433570095,1784193123788552078,1,352.93,100,74057,1
5578393714771122,1784193124069753305,0,88.23,0,75261,1
5578393714771122,1784193124069753305,1,387.15,79,74057,1
5578393991402325,1784193124346384538,0,88.59,0,75261,1
5578393991402325,1784193124346384538,1,197.69,55,74057,1
5578394354710724,1784193124709693117,0,88.59,0,75261,1
5578394354710724,1784193124709693117,1,131.58,53,74057,1
5578394714618940,1784193125069602303,0,88.92,0,75261,1
5578394714618940,1784193125069602303,1,139.90,49,74057,1
5578395087417226,1784193125442399359,0,88.32,0,75261,1
5578395087417226,1784193125442399359,1,135.70,38,74057,1
5578395396280509,1784193125751262492,0,88.50,0,75261,1
5578395396280509,1784193125751262492,1,220.73,52,74057,1
5578395673965603,1784193126028947886,0,88.59,0,75261,1
5578395673965603,1784193126028947886,1,174.24,49,74057,1
5578395951724267,1784193126306706290,0,88.32,0,75261,1
5578395951724267,1784193126306706290,1,180.89,49,74057,1
5578396233982675,1784193126588964968,0,88.32,0,75261,1
5578396233982675,1784193126588964968,1,159.63,47,74057,1
5578396514389029,1784193126869371002,0,88.32,0,75261,1
5578396514389029,1784193126869371002,1,142.68,44,74057,1
5578396793658151,1784193127148640424,0,88.32,0,75261,1
5578396793658151,1784193127148640424,1,140.55,40,74057,1
5578397105274582,1784193127460256405,0,88.32,0,75261,1
5578397105274582,1784193127460256405,1,86.47,40,74057,1
5578397398971871,1784193127753953854,0,91.97,0,75261,1
5578397398971871,1784193127753953854,1,140.22,22,74057,1
5578397676805675,1784193128031787738,0,88.59,0,75261,1
5578397676805675,1784193128031787738,1,132.64,38,74057,1
5578397952373795,1784193128307355768,0,88.32,0,75261,1
5578397952373795,1784193128307355768,1,133.24,38,74057,1
5578398233642192,1784193128588624165,0,88.32,0,75261,1
5578398233642192,1784193128588624165,1,133.24,38,74057,1
5578398512482787,1784193128867465080,0,88.32,0,75261,1
5578398512482787,1784193128867465080,1,130.52,36,74057,1
5578398791302043,1784193129146284046,0,88.32,0,75261,1
5578398791302043,1784193129146284046,1,129.59,36,74057,1
5578399071389838,1784193129426372021,0,88.32,0,75261,1
5578399071389838,1784193129426372021,1,130.19,36,74057,1
5578399351237416,1784193129706219399,0,88.32,0,75261,1
5578399351237416,1784193129706219399,1,138.09,47,74057,1
5578399631654189,1784193129986636502,0,88.32,0,75261,1
5578399631654189,1784193129986636502,1,136.90,39,74057,1
5578399912452039,1784193130267434002,0,88.32,0,75261,1
5578399912452039,1784193130267434002,1,172.11,30,74057,1
5578400191697731,1784193130546679784,0,88.32,0,75261,1
5578400191697731,1784193130546679784,1,134.90,40,74057,1
5578400474099019,1784193130829081052,0,88.32,0,75261,1
5578400474099019,1784193130829081052,1,138.09,41,74057,1
5578400753840367,1784193131108822640,0,88.32,0,75261,1
5578400753840367,1784193131108822640,1,136.15,40,74057,1
