monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5556602045518353,1784171332400500526,0,90.35,0,75261,1
5556602045518353,1784171332400500526,1,83.98,0,74059,1
5556602350382565,1784171332705364128,0,90.35,0,75261,1
5556602350382565,1784171332705364128,1,83.98,0,74059,1
5556602638424861,1784171332993406624,0,90.35,0,75261,1
5556602638424861,1784171332993406624,1,83.57,0,74059,1
5556602953472528,1784171333308454131,0,360.39,0,75261,1
5556602953472528,1784171333308454131,1,83.89,0,74059,1
5556603228409759,1784171333583391512,0,350.95,100,75261,1
5556603228409759,1784171333583391512,1,83.89,0,74059,1
5556603502774314,1784171333857756087,0,354.36,100,75261,1
5556603502774314,1784171333857756087,1,83.89,0,74059,1
5556603783810610,1784171334138792363,0,364.95,93,75261,1
5556603783810610,1784171334138792363,1,83.89,0,74059,1
5556604064999635,1784171334419992668,0,339.17,100,75261,1
5556604064999635,1784171334419992668,1,83.81,0,74059,1
5556604343844067,1784171334698825510,0,380.60,100,75261,1
5556604343844067,1784171334698825510,1,83.57,0,74059,1
5556604626684620,1784171334981666363,0,368.22,100,75261,1
5556604626684620,1784171334981666363,1,83.81,0,74059,1
5556604904669309,1784171335259650912,0,364.35,100,75261,1
5556604904669309,1784171335259650912,1,83.48,0,74059,1
5556605185797974,1784171335540779717,0,346.11,100,75261,1
5556605185797974,1784171335540779717,1,83.89,0,74059,1
5556605463708093,1784171335818689646,0,124.35,91,75261,1
5556605463708093,1784171335818689646,1,83.48,0,74059,1
5556605742633795,1784171336097615628,0,356.11,100,75261,1
5556605742633795,1784171336097615628,1,83.48,0,74059,1
5556606024441445,1784171336379423278,0,134.17,80,75261,1
5556606024441445,1784171336379423278,1,83.57,0,74059,1
5556606303651975,1784171336658634068,0,140.53,27,75261,1
5556606303651975,1784171336658634068,1,83.57,0,74059,1
5556606584964889,1784171336939947012,0,143.58,36,75261,1
5556606584964889,1784171336939947012,1,83.57,0,74059,1
5556606896256954,1784171337251238357,0,93.21,23,75261,1
5556606896256954,1784171337251238357,1,83.57,0,74059,1
5556607212132916,1784171337567114369,0,92.15,0,75261,1
5556607212132916,1784171337567114369,1,83.57,0,74059,1
5556607498168786,1784171337853150528,0,362.51,15,75261,1
5556607498168786,1784171337853150528,1,83.57,0,74059,1
5556607777620923,1784171338132602686,0,368.60,100,75261,1
5556607777620923,1784171338132602686,1,83.89,0,74059,1
5556608053158120,1784171338408139853,0,389.74,100,75261,1
5556608053158120,1784171338408139853,1,83.48,0,74059,1
5556608335977873,1784171338690959706,0,332.22,99,75261,1
5556608335977873,1784171338690959706,1,83.57,0,74059,1
5556608613213457,1784171338968195190,0,357.07,100,75261,1
5556608613213457,1784171338968195190,1,83.57,0,74059,1
5556608892039729,1784171339247021472,0,350.35,100,75261,1
5556608892039729,1784171339247021472,1,83.57,0,74059,1
5556609172617169,1784171339527599002,0,365.50,100,75261,1
5556609172617169,1784171339527599002,1,83.57,0,74059,1
5556609450672157,1784171339805653590,0,414.47,100,75261,1
5556609450672157,1784171339805653590,1,83.81,0,74059,1
5556609734711831,1784171340089693664,0,338.90,100,75261,1
5556609734711831,1784171340089693664,1,83.81,0,74059,1
5556610014693045,1784171340369675178,0,139.00,98,75261,1
5556610014693045,1784171340369675178,1,83.89,0,74059,1
5556610297105556,1784171340652087649,0,139.34,33,75261,1
5556610297105556,1784171340652087649,1,83.57,0,74059,1
5556610575625587,1784171340930607290,0,125.08,33,75261,1
5556610575625587,1784171340930607290,1,83.66,0,74059,1
5556610885887527,1784171341240869040,0,92.98,0,75261,1
5556610885887527,1784171341240869040,1,83.57,0,74059,1
5556611165860554,1784171341520842297,0,93.07,0,75261,1
