monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5558134000000000,1784172864764734642,250000000,api,client_to_target,119952,1
5558134000000000,1784172864764766152,250000000,api,target_to_client,596,0
5558134000000000,1784172864764775811,250000000,kv,client_to_target,31806,0
5558134000000000,1784172864764782611,250000000,kv,target_to_client,1810444,1
5558134250000000,1784172865015617317,250000000,kv,target_to_client,7798784,1
5558134500000000,1784172865265927589,250000000,kv,client_to_target,186,0
5558134500000000,1784172865265947868,250000000,kv,target_to_client,7829434,1
5558134750000000,1784172865516082101,250000000,kv,client_to_target,186,0
5558134750000000,1784172865516101651,250000000,kv,target_to_client,7733390,1
5558135000000000,1784172865766812488,250000000,kv,target_to_client,7864320,1
5558135250000000,1784172866017377277,250000000,kv,client_to_target,186,0
5558135250000000,1784172866017386657,250000000,kv,target_to_client,7798767,1
5558135500000000,1784172866267631159,250000000,kv,target_to_client,7798784,1
5558135750000000,1784172866517899190,250000000,kv,client_to_target,186,0
5558135750000000,1784172866517909740,250000000,kv,target_to_client,7864356,1
5558136000000000,1784172866768847925,250000000,kv,client_to_target,186,0
5558136000000000,1784172866768876105,250000000,kv,target_to_client,7798767,1
5558136250000000,1784172867019195506,250000000,kv,target_to_client,7798784,1
5558136500000000,1784172867270125981,250000000,kv,client_to_target,186,0
5558136500000000,1784172867270140061,250000000,kv,target_to_client,7798873,1
5558136750000000,1784172867521003287,250000000,kv,target_to_client,7864320,1
5558137000000000,1784172867771718804,250000000,kv,client_to_target,186,0
5558137000000000,1784172867771733204,250000000,kv,target_to_client,7798820,1
5558137250000000,1784172868022161554,250000000,kv,client_to_target,186,0
5558137250000000,1784172868022175974,250000000,kv,target_to_client,7798820,1
5558137500000000,1784172868272708713,250000000,kv,target_to_client,7798784,1
5558137750000000,1784172868522976398,250000000,kv,client_to_target,186,0
5558137750000000,1784172868522999197,250000000,kv,target_to_client,7798820,1
5558138000000000,1784172868773039664,250000000,kv,client_to_target,186,0
5558138000000000,1784172868773052724,250000000,kv,target_to_client,7798820,1
5558138250000000,1784172869023165770,250000000,kv,target_to_client,7864320,1
5558138500000000,1784172869273950669,250000000,kv,client_to_target,186,0
5558138500000000,1784172869273971369,250000000,kv,target_to_client,7798820,1
5558138750000000,1784172869524769988,250000000,kv,target_to_client,7798784,1
5558139000000000,1784172869775293549,250000000,kv,client_to_target,186,0
5558139000000000,1784172869775302379,250000000,kv,target_to_client,7864356,1
5558139250000000,1784172870026096158,250000000,kv,client_to_target,186,0
5558139250000000,1784172870026105908,250000000,kv,target_to_client,7798820,1
5558139500000000,1784172870276270634,250000000,kv,target_to_client,7798784,1
5558139750000000,1784172870526717816,250000000,kv,client_to_target,186,0
5558139750000000,1784172870526729006,250000000,kv,target_to_client,7798820,1
5558140000000000,1784172870776895671,250000000,kv,client_to_target,186,0
5558140000000000,1784172870776904771,250000000,kv,target_to_client,7798873,1
5558140250000000,1784172871027661071,250000000,kv,target_to_client,7864320,1
5558140500000000,1784172871278066294,250000000,kv,client_to_target,186,0
5558140500000000,1784172871278075183,250000000,kv,target_to_client,7798820,1
5558140750000000,1784172871528211289,250000000,kv,target_to_client,7798784,1
5558141000000000,1784172871778413804,250000000,kv,client_to_target,186,0
5558141000000000,1784172871778423294,250000000,kv,target_to_client,7798820,1
5558141250000000,1784172872029368741,250000000,kv,client_to_target,186,0
5558141250000000,1784172872029376711,250000000,kv,target_to_client,7864356,1
5558141500000000,1784172872280180530,250000000,kv,target_to_client,7733248,1
5558141750000000,1784172872530337996,250000000,kv,client_to_target,186,0
5558141750000000,1784172872530359005,250000000,kv,target_to_client,7864356,1
5558142000000000,1784172872781406112,250000000,kv,client_to_target,186,0
5558142000000000,1784172872781416042,250000000,kv,target_to_client,7798820,1
5558142250000000,1784172873032111942,250000000,kv,target_to_client,7798784,1
5558142500000000,1784172873282317647,250000000,kv,client_to_target,186,0
5558142500000000,1784172873282328247,250000000,kv,target_to_client,7798820,1
5558142750000000,1784172873533094056,250000000,kv,target_to_client,7864320,1
5558143000000000,1784172873783274711,250000000,kv,client_to_target,186,0
5558143000000000,1784172873783288681,250000000,kv,target_to_client,7798820,1
