monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5578003750000000,1784192734446451919,250000000,api,client_to_target,140062,1
5578004000000000,1784192734696570761,250000000,api,target_to_client,596,0
5578004000000000,1784192734696609341,250000000,kv,client_to_target,31992,0
5578004000000000,1784192734696616121,250000000,kv,target_to_client,197728039,1
5578004250000000,1784192734946928410,250000000,kv,client_to_target,4650,0
5578004250000000,1784192734946960800,250000000,kv,target_to_client,311821294,1
5578004500000000,1784192735197114691,250000000,kv,client_to_target,4650,0
5578004500000000,1784192735197146691,250000000,kv,target_to_client,312476548,1
5578004750000000,1784192735447338432,250000000,api,target_to_client,491,0
5578004750000000,1784192735447358751,250000000,kv,client_to_target,38502,0
5578004750000000,1784192735447362331,250000000,kv,target_to_client,156507579,1
5578005000000000,1784192735697815999,250000000,kv,client_to_target,13764,0
5578005000000000,1784192735697833359,250000000,kv,target_to_client,288229833,1
5578005250000000,1784192735947954361,250000000,kv,client_to_target,4650,0
5578005250000000,1784192735947971581,250000000,kv,target_to_client,313328569,1
5578005500000000,1784192736198671245,250000000,kv,client_to_target,17112,0
5578005500000000,1784192736198709215,250000000,kv,target_to_client,275107003,1
5578005750000000,1784192736448899086,250000000,kv,client_to_target,4650,0
5578005750000000,1784192736448933446,250000000,kv,target_to_client,312542031,1
5578006000000000,1784192736699116137,250000000,kv,client_to_target,4464,0
5578006000000000,1784192736699141726,250000000,kv,target_to_client,303694900,1
5578006250000000,1784192736949336837,250000000,kv,client_to_target,17856,0
5578006250000000,1784192736949358467,250000000,kv,target_to_client,255331659,1
5578006500000000,1784192737199504109,250000000,kv,client_to_target,4650,0
5578006500000000,1784192737199518798,250000000,kv,target_to_client,311820923,1
5578006750000000,1784192737451040333,250000000,kv,client_to_target,4464,0
5578006750000000,1784192737451071983,250000000,kv,target_to_client,313328480,1
5578007000000000,1784192737702377841,250000000,api,target_to_client,8559,0
5578007000000000,1784192737702393130,250000000,kv,client_to_target,930,0
5578007000000000,1784192737702397720,250000000,kv,target_to_client,53510642,1
5578007250000000,1784192737953078915,250000000,api,target_to_client,12711,0
5578007500000000,1784192738203707991,250000000,api,target_to_client,12276,0
5578007750000000,1784192738455664121,250000000,api,target_to_client,7211,0
5578008000000000,1784192738706198008,250000000,api,target_to_client,1222,0
5578008250000000,1784192738957080280,250000000,api,client_to_target,25887,1
5578008250000000,1784192738957118740,250000000,api,target_to_client,640,0
5578008250000000,1784192738957127480,250000000,kv,client_to_target,9300,0
5578008250000000,1784192738957133230,250000000,kv,target_to_client,1800,1
5578008500000000,1784192739207813015,250000000,api,target_to_client,3187,0
5578008750000000,1784192739458503140,250000000,api,target_to_client,3418,0
5578009000000000,1784192739709277454,250000000,api,target_to_client,3129,0
5578009250000000,1784192739960201706,250000000,api,client_to_target,40198,1
5578009250000000,1784192739960225766,250000000,api,target_to_client,3066,0
5578009250000000,1784192739960234625,250000000,kv,client_to_target,14508,0
5578009250000000,1784192739960241085,250000000,kv,target_to_client,2808,1
5578009500000000,1784192740211054849,250000000,api,target_to_client,3194,0
5578009750000000,1784192740462028280,250000000,api,target_to_client,3413,0
5578010000000000,1784192740712395829,250000000,api,target_to_client,3101,0
5578010250000000,1784192740962748248,250000000,api,client_to_target,35730,1
5578010250000000,1784192740962772978,250000000,api,target_to_client,3063,0
5578010250000000,1784192740962782148,250000000,kv,client_to_target,12834,0
5578010250000000,1784192740962788398,250000000,kv,target_to_client,2484,1
5578010500000000,1784192741213531442,250000000,api,target_to_client,3429,0
5578010750000000,1784192741464577633,250000000,api,target_to_client,3086,0
5578011000000000,1784192741715203748,250000000,api,client_to_target,38323,1
5578011000000000,1784192741715230558,250000000,api,target_to_client,3100,0
5578011000000000,1784192741715239538,250000000,kv,client_to_target,13950,0
5578011000000000,1784192741715246308,250000000,kv,target_to_client,2700,1
5578011250000000,1784192741966733063,250000000,api,target_to_client,3188,0
5578011500000000,1784192742217471798,250000000,api,target_to_client,3421,0
5578011750000000,1784192742467944475,250000000,api,target_to_client,3055,0
5578012000000000,1784192742718364984,250000000,api,target_to_client,523,0
