monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5549050000000000,1784163780807800327,250000000,api,client_to_target,125177,1
5549050000000000,1784163780807827397,250000000,api,target_to_client,596,0
5549050000000000,1784163780807836477,250000000,kv,client_to_target,15810,0
5549050000000000,1784163780807843216,250000000,kv,target_to_client,3060,1
5549050250000000,1784163781058677860,250000000,kv,client_to_target,16368,0
5549050250000000,1784163781058703060,250000000,kv,target_to_client,30214999,1
5549050500000000,1784163781309759202,250000000,kv,client_to_target,372,0
5549050500000000,1784163781309783122,250000000,kv,target_to_client,31261009,1
5549050750000000,1784163781560367868,250000000,kv,client_to_target,558,0
5549050750000000,1784163781560392358,250000000,kv,target_to_client,31260621,1
5549051000000000,1784163781810783666,250000000,kv,client_to_target,372,0
5549051000000000,1784163781810810326,250000000,kv,target_to_client,31195314,1
5549051250000000,1784163782061084835,250000000,kv,client_to_target,558,0
5549051250000000,1784163782061108895,250000000,kv,target_to_client,31195297,1
5549051500000000,1784163782312140367,250000000,kv,client_to_target,372,0
5549051500000000,1784163782312166127,250000000,kv,target_to_client,31326280,1
5549051750000000,1784163782563239208,250000000,kv,client_to_target,558,0
5549051750000000,1784163782563264078,250000000,kv,target_to_client,31195032,1
5549052000000000,1784163782814344039,250000000,kv,client_to_target,372,0
5549052000000000,1784163782814368039,250000000,kv,target_to_client,31326280,1
5549052250000000,1784163783064899396,250000000,kv,client_to_target,558,0
5549052250000000,1784163783064922666,250000000,kv,target_to_client,31129708,1
5549052500000000,1784163783315761900,250000000,kv,client_to_target,372,0
5549052500000000,1784163783315777679,250000000,kv,target_to_client,31260744,1
5549052750000000,1784163783566149978,250000000,kv,client_to_target,558,0
5549052750000000,1784163783566175808,250000000,kv,target_to_client,31260780,1
5549053000000000,1784163783816416887,250000000,kv,client_to_target,372,0
5549053000000000,1784163783816441987,250000000,kv,target_to_client,31260850,1
5549053250000000,1784163784066572238,250000000,kv,client_to_target,558,0
5549053250000000,1784163784066600798,250000000,kv,target_to_client,31260568,1
5549053500000000,1784163784317374372,250000000,kv,client_to_target,372,0
5549053500000000,1784163784317399432,250000000,kv,target_to_client,31326280,1
5549053750000000,1784163784568469853,250000000,kv,client_to_target,558,0
5549053750000000,1784163784568494053,250000000,kv,target_to_client,31261098,1
5549054000000000,1784163784819444266,250000000,kv,client_to_target,372,0
5549054000000000,1784163784819468716,250000000,kv,target_to_client,31129354,1
5549054250000000,1784163785070108641,250000000,kv,client_to_target,558,0
5549054250000000,1784163785070134731,250000000,kv,target_to_client,31261098,1
5549054500000000,1784163785321174133,250000000,kv,client_to_target,372,0
5549054500000000,1784163785321194563,250000000,kv,target_to_client,31260744,1
5549054750000000,1784163785572262444,250000000,kv,client_to_target,558,0
5549054750000000,1784163785572286804,250000000,kv,target_to_client,31260780,1
5549055000000000,1784163785822391735,250000000,kv,client_to_target,372,0
5549055000000000,1784163785822415895,250000000,kv,target_to_client,31194996,1
5549055250000000,1784163786073112580,250000000,kv,client_to_target,558,0
5549055250000000,1784163786073136660,250000000,kv,target_to_client,31326369,1
5549055500000000,1784163786323310620,250000000,kv,client_to_target,372,0
5549055500000000,1784163786323334920,250000000,kv,target_to_client,31260903,1
5549055750000000,1784163786573493621,250000000,kv,client_to_target,558,0
5549055750000000,1784163786573516410,250000000,kv,target_to_client,31195244,1
5549056000000000,1784163786823889469,250000000,kv,client_to_target,372,0
5549056000000000,1784163786823912789,250000000,kv,target_to_client,31326068,1
5549056250000000,1784163787074301047,250000000,kv,client_to_target,372,0
5549056250000000,1784163787074335107,250000000,kv,target_to_client,31129884,1
5549056500000000,1784163787324775444,250000000,kv,client_to_target,558,0
5549056500000000,1784163787324798524,250000000,kv,target_to_client,31326316,1
5549056750000000,1784163787575786707,250000000,kv,client_to_target,372,0
5549056750000000,1784163787575808926,250000000,kv,target_to_client,31326068,1
5549057000000000,1784163787825905728,250000000,kv,client_to_target,558,0
5549057000000000,1784163787825927917,250000000,kv,target_to_client,31195456,1
5549057250000000,1784163788075977729,250000000,kv,client_to_target,372,0
5549057250000000,1784163788076011329,250000000,kv,target_to_client,31260744,1
5549057500000000,1784163788326348017,250000000,kv,client_to_target,558,0
5549057500000000,1784163788326375267,250000000,kv,target_to_client,31195244,1
5549057750000000,1784163788576531888,250000000,kv,client_to_target,372,0
5549057750000000,1784163788576556647,250000000,kv,target_to_client,31260744,1
5549058000000000,1784163788826865186,250000000,kv,client_to_target,558,0
5549058000000000,1784163788826890076,250000000,kv,target_to_client,31326316,1
5549058250000000,1784163789076938028,250000000,kv,client_to_target,372,0
5549058250000000,1784163789076963018,250000000,kv,target_to_client,31260691,1
5549058500000000,1784163789327163258,250000000,kv,client_to_target,558,0
5549058500000000,1784163789327185928,250000000,kv,target_to_client,28803233,1
5549058750000000,1784163789578084751,250000000,api,target_to_client,491,0
5549058750000000,1784163789578108991,250000000,kv,client_to_target,39990,0
5549058750000000,1784163789578117191,250000000,kv,target_to_client,16522600,1
5549059000000000,1784163789828403200,250000000,kv,client_to_target,372,0
5549059000000000,1784163789828418140,250000000,kv,target_to_client,31260744,1
5549059250000000,1784163790078912907,250000000,kv,client_to_target,558,0
5549059250000000,1784163790078936267,250000000,kv,target_to_client,31195456,1
5549059500000000,1784163790329716131,250000000,kv,client_to_target,372,0
5549059500000000,1784163790329740311,250000000,kv,target_to_client,31260691,1
5549059750000000,1784163790579955071,250000000,kv,client_to_target,558,0
5549059750000000,1784163790579991730,250000000,kv,target_to_client,31326369,1
5549060000000000,1784163790831152921,250000000,kv,client_to_target,372,0
5549060000000000,1784163790831179741,250000000,kv,target_to_client,31195155,1
5549060250000000,1784163791082080524,250000000,kv,client_to_target,558,0
5549060250000000,1784163791082106234,250000000,kv,target_to_client,31260833,1
5549060500000000,1784163791332549932,250000000,kv,client_to_target,372,0
5549060500000000,1784163791332576801,250000000,kv,target_to_client,31326227,1
5549060750000000,1784163791583064339,250000000,kv,client_to_target,558,0
5549060750000000,1784163791583090478,250000000,kv,target_to_client,31195297,1
5549061000000000,1784163791833743864,250000000,kv,client_to_target,372,0
5549061000000000,1784163791833769794,250000000,kv,target_to_client,31260691,1
5549061250000000,1784163792084477339,250000000,kv,client_to_target,558,0
5549061250000000,1784163792084501919,250000000,kv,target_to_client,31260833,1
5549061500000000,1784163792335372582,250000000,kv,client_to_target,372,0
5549061500000000,1784163792335408002,250000000,kv,target_to_client,31260532,1
5549061750000000,1784163792585994528,250000000,kv,client_to_target,558,0
5549061750000000,1784163792586008738,250000000,kv,target_to_client,31195456,1
5549062000000000,1784163792837024340,250000000,kv,client_to_target,372,0
5549062000000000,1784163792837050510,250000000,kv,target_to_client,31260744,1
5549062250000000,1784163793088161601,250000000,kv,client_to_target,558,0
5549062250000000,1784163793088187011,250000000,kv,target_to_client,31195191,1
5549062500000000,1784163793338423651,250000000,kv,client_to_target,372,0
5549062500000000,1784163793338456900,250000000,kv,target_to_client,31326333,1
5549062750000000,1784163793589435263,250000000,kv,client_to_target,558,0
5549062750000000,1784163793589461182,250000000,kv,target_to_client,31195244,1
5549063000000000,1784163793839640883,250000000,kv,client_to_target,372,0
5549063000000000,1784163793839667802,250000000,kv,target_to_client,31326280,1
5549063250000000,1784163794089907742,250000000,kv,client_to_target,558,0
5549063250000000,1784163794089933242,250000000,kv,target_to_client,31195244,1
5549063500000000,1784163794340082003,250000000,kv,client_to_target,372,0
5549063500000000,1784163794340108082,250000000,kv,target_to_client,31195155,1
5549063750000000,1784163794590445061,250000000,kv,client_to_target,372,0
5549063750000000,1784163794590469791,250000000,kv,target_to_client,31260744,1
5549064000000000,1784163794841448853,250000000,kv,client_to_target,558,0
5549064000000000,1784163794841471303,250000000,kv,target_to_client,29753505,1
5549064250000000,1784163795092279157,250000000,kv,client_to_target,11160,0
5549064250000000,1784163795092302107,250000000,kv,target_to_client,28969072,1
5549064500000000,1784163795342730175,250000000,kv,client_to_target,372,0
5549064500000000,1784163795342753055,250000000,kv,target_to_client,31326280,1
5549064750000000,1784163795593713867,250000000,kv,client_to_target,558,0
5549064750000000,1784163795593740237,250000000,kv,target_to_client,31195032,1
5549065000000000,1784163795844586881,250000000,kv,client_to_target,372,0
5549065000000000,1784163795844612451,250000000,kv,target_to_client,31326492,1
5549065250000000,1784163796094680052,250000000,kv,client_to_target,558,0
5549065250000000,1784163796094706822,250000000,kv,target_to_client,31195191,1
5549065500000000,1784163796345180139,250000000,kv,client_to_target,372,0
5549065500000000,1784163796345208719,250000000,kv,target_to_client,31260797,1
5549065750000000,1784163796596303940,250000000,kv,client_to_target,558,0
5549065750000000,1784163796596333670,250000000,kv,target_to_client,31195191,1
5549066000000000,1784163796847344722,250000000,kv,client_to_target,372,0
5549066000000000,1784163796847373342,250000000,kv,target_to_client,31260797,1
5549066250000000,1784163797098216916,250000000,kv,client_to_target,558,0
5549066250000000,1784163797098239515,250000000,kv,target_to_client,31195032,1
5549066500000000,1784163797348743833,250000000,kv,client_to_target,372,0
5549066500000000,1784163797348772302,250000000,kv,target_to_client,31326492,1
5549066750000000,1784163797599170390,250000000,kv,client_to_target,558,0
5549066750000000,1784163797599197290,250000000,kv,target_to_client,31195032,1
5549067000000000,1784163797849456440,250000000,kv,client_to_target,372,0
