monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5561897261216231,1784176627616198664,0,90.35,0,75261,1
5561897261216231,1784176627616198664,1,81.53,0,74059,1
5561898658551299,1784176629013533242,0,371.32,100,75261,1
5561898658551299,1784176629013533242,1,81.44,0,74059,1
5561898954826801,1784176629309808514,0,322.89,99,75261,1
5561898954826801,1784176629309808514,1,81.44,0,74059,1
5561899234802383,1784176629589784366,0,376.15,100,75261,1
5561899234802383,1784176629589784366,1,81.77,0,74059,1
5561899513219291,1784176629868200904,0,386.75,100,75261,1
5561899513219291,1784176629868200904,1,81.77,0,74059,1
5561899793080235,1784176630148061768,0,339.25,100,75261,1
5561899793080235,1784176630148061768,1,82.04,0,74059,1
5561900067866649,1784176630422848142,0,134.90,53,75261,1
5561900067866649,1784176630422848142,1,81.86,0,74059,1
5561900355987251,1784176630710968934,0,149.34,37,75261,1
5561900355987251,1784176630710968934,1,81.53,0,74059,1
5561900689450435,1784176631044432418,0,91.88,19,75261,1
5561900689450435,1784176631044432418,1,81.53,0,74059,1
5561901010105976,1784176631365087529,0,90.95,0,75261,1
5561901010105976,1784176631365087529,1,81.86,0,74059,1
5561901299795063,1784176631654776776,0,90.95,0,75261,1
5561901299795063,1784176631654776776,1,81.86,0,74059,1
5561901574802005,1784176631929783628,0,380.06,99,75261,1
5561901574802005,1784176631929783628,1,83.57,0,74059,1
5561901854435841,1784176632209417764,0,391.86,100,75261,1
5561901854435841,1784176632209417764,1,81.77,0,74059,1
5561902137477523,1784176632492459266,0,408.22,100,75261,1
5561902137477523,1784176632492459266,1,81.77,0,74059,1
5561902415948642,1784176632770930655,0,351.64,94,75261,1
5561902415948642,1784176632770930655,1,81.77,0,74059,1
5561902693263322,1784176633048245085,0,356.48,100,75261,1
5561902693263322,1784176633048245085,1,81.86,0,74059,1
5561902973932809,1784176633328914642,0,136.42,88,75261,1
5561902973932809,1784176633328914642,1,81.86,0,74059,1
5561903253020521,1784176633608002284,0,137.03,35,75261,1
5561903253020521,1784176633608002284,1,81.86,0,74059,1
5561903528537500,1784176633883519253,0,135.83,35,75261,1
5561903528537500,1784176633883519253,1,81.86,0,74059,1
5561903802448895,1784176634157430658,0,136.76,35,75261,1
5561903802448895,1784176634157430658,1,81.86,0,74059,1
5561904077431230,1784176634432412983,0,137.95,35,75261,1
5561904077431230,1784176634432412983,1,81.53,0,74059,1
5561904350985309,1784176634705967052,0,136.89,35,75261,1
5561904350985309,1784176634705967052,1,81.86,0,74059,1
5561904664585828,1784176635019568201,0,96.13,35,75261,1
5561904664585828,1784176635019568201,1,82.12,0,74059,1
5561904978549593,1784176635333531206,0,91.28,0,75261,1
5561904978549593,1784176635333531206,1,81.94,0,74059,1
5561905291771476,1784176635646752889,0,91.28,0,75261,1
5561905291771476,1784176635646752889,1,81.53,0,74059,1
5561905575611430,1784176635930593123,0,387.34,39,75261,1
5561905575611430,1784176635930593123,1,81.86,0,74059,1
5561905848807983,1784176636203789736,0,351.04,100,75261,1
5561905848807983,1784176636203789736,1,81.77,0,74059,1
5561906126240592,1784176636481222335,0,377.94,100,75261,1
5561906126240592,1784176636481222335,1,82.04,0,74059,1
5561906402904299,1784176636757886042,0,361.91,97,75261,1
5561906402904299,1784176636757886042,1,81.77,0,74059,1
5561906679207590,1784176637034189373,0,375.22,100,75261,1
5561906679207590,1784176637034189373,1,81.77,0,74059,1
5561906953140446,1784176637308122249,0,363.11,100,75261,1
5561906953140446,1784176637308122249,1,81.77,0,74059,1
5561907235143278,1784176637590125031,0,366.75,100,75261,1
5561907235143278,1784176637590125031,1,81.77,0,74059,1
5561907513140142,1784176637868122465,0,137.03,42,75261,1
5561907513140142,1784176637868122465,1,81.86,0,74059,1
5561907794166864,1784176638149148697,0,140.08,33,75261,1
5561907794166864,1784176638149148697,1,81.86,0,74059,1
5561908075400615,1784176638430382798,0,136.62,34,75261,1
5561908075400615,1784176638430382798,1,81.86,0,74059,1
5561908404569364,1784176638759550837,0,92.48,32,75261,1
5561908404569364,1784176638759550837,1,81.94,0,74059,1
5561908718779747,1784176639073761160,0,91.55,0,75261,1
5561908718779747,1784176639073761160,1,81.86,0,74059,1
5561909030108460,1784176639385089863,0,91.28,0,75261,1
5561909030108460,1784176639385089863,1,81.86,0,74059,1
5561909316100541,1784176639671082504,0,365.50,17,75261,1
5561909316100541,1784176639671082504,1,81.44,0,74059,1
5561909596938526,1784176639951920289,0,371.32,100,75261,1
5561909596938526,1784176639951920289,1,81.77,0,74059,1
5561909874038969,1784176640229020562,0,403.98,100,75261,1
5561909874038969,1784176640229020562,1,81.77,0,74059,1
5561910152829814,1784176640507811557,0,345.88,98,75261,1
5561910152829814,1784176640507811557,1,81.77,0,74059,1
5561910433226263,1784176640788208066,0,369.46,100,75261,1
5561910433226263,1784176640788208066,1,81.77,0,74059,1
5561910711545453,1784176641066527246,0,341.96,100,75261,1
5561910711545453,1784176641066527246,1,81.77,0,74059,1
5561910988889194,1784176641343871097,0,127.20,28,75261,1
5561910988889194,1784176641343871097,1,81.86,0,74059,1
5561911266849718,1784176641621831731,0,140.53,34,75261,1
5561911266849718,1784176641621831731,1,81.86,0,74059,1
5561911545708452,1784176641900690185,0,141.13,35,75261,1
5561911545708452,1784176641900690185,1,81.86,0,74059,1
5561911824935653,1784176642179917576,0,144.93,35,75261,1
5561911824935653,1784176642179917576,1,81.61,0,74059,1
5561912100083096,1784176642455065059,0,140.40,34,75261,1
5561912100083096,1784176642455065059,1,81.94,0,74059,1
5561912377072970,1784176642732054873,0,142.80,35,75261,1
5561912377072970,1784176642732054873,1,81.53,0,74059,1
5561912686023617,1784176643041005220,0,91.88,10,75261,1
5561912686023617,1784176643041005220,1,81.86,0,74059,1
5561913050029480,1784176643405010883,0,91.28,0,75261,1
5561913050029480,1784176643405010883,1,81.86,0,74059,1
5561913351755910,1784176643706737663,0,91.28,0,75261,1
5561913351755910,1784176643706737663,1,81.86,0,74059,1
5561913636575274,1784176643991557697,0,90.95,0,75261,1
5561913636575274,1784176643991557697,1,81.86,0,74059,1
5561913914563688,1784176644269545801,0,90.95,0,75261,1
5561913914563688,1784176644269545801,1,81.86,0,74059,1
5561914192771589,1784176644547753522,0,90.86,0,75261,1
5561914192771589,1784176644547753522,1,81.53,0,74059,1
5561914475324206,1784176644830306649,0,90.63,0,75261,1
5561914475324206,1784176644830306649,1,81.86,0,74059,1
5561914748847075,1784176645103829568,0,90.63,0,75261,1
5561914748847075,1784176645103829568,1,81.26,0,74059,1
5561915028696710,1784176645383679473,0,90.44,0,75261,1
5561915028696710,1784176645383679473,1,81.34,0,74059,1
5561915311598784,1784176645666581577,0,90.63,0,75261,1
5561915311598784,1784176645666581577,1,81.53,0,74059,1
5561915587168012,1784176645942150545,0,90.63,0,75261,1
5561915587168012,1784176645942150545,1,81.26,0,74059,1
5561915866771449,1784176646221754172,0,90.35,0,75261,1
5561915866771449,1784176646221754172,1,81.26,0,74059,1
5561916151826920,1784176646506810063,0,90.35,0,75261,1
5561916151826920,1784176646506810063,1,81.61,0,74059,1
5561916433593325,1784176646788575638,0,90.35,0,75261,1
5561916433593325,1784176646788575638,1,81.53,0,74059,1
5561916708923886,1784176647063906429,0,90.35,0,75261,1
5561916708923886,1784176647063906429,1,81.53,0,74059,1
5561916987213057,1784176647342195290,0,90.35,0,75261,1
5561916987213057,1784176647342195290,1,81.53,0,74059,1
5561917264121622,1784176647619103885,0,90.12,0,75261,1
5561917264121622,1784176647619103885,1,81.34,0,74059,1
5561917539823509,1784176647894805422,0,90.02,0,75261,1
5561917539823509,1784176647894805422,1,81.53,0,74059,1
5561917819033800,1784176648174016523,0,90.02,0,75261,1
5561917819033800,1784176648174016523,1,81.53,0,74059,1
5561918095561229,1784176648450543402,0,90.02,0,75261,1
5561918095561229,1784176648450543402,1,81.26,0,74059,1
5561918371057328,1784176648726039361,0,90.02,0,75261,1
5561918371057328,1784176648726039361,1,81.26,0,74059,1
5561918653367207,1784176649008349870,0,90.02,0,75261,1
5561918653367207,1784176649008349870,1,81.61,0,74059,1
5561918929130884,1784176649284112407,0,90.02,0,75261,1
5561918929130884,1784176649284112407,1,81.26,0,74059,1
5561919211852709,1784176649566835472,0,89.75,0,75261,1
5561919211852709,1784176649566835472,1,81.53,0,74059,1
5561919493054990,1784176649848036953,0,89.75,0,75261,1
5561919493054990,1784176649848036953,1,81.26,0,74059,1
5561919773715066,1784176650128697439,0,89.75,0,75261,1
5561919773715066,1784176650128697439,1,81.26,0,74059,1
5561920055965726,1784176650410949839,0,89.75,0,75261,1
5561920055965726,1784176650410949839,1,81.26,0,74059,1
5561920337133967,1784176650692116490,0,89.85,0,75261,1
5561920337133967,1784176650692116490,1,81.53,0,74059,1
5561920617067321,1784176650972049634,0,89.75,0,75261,1
5561920617067321,1784176650972049634,1,81.26,0,74059,1
5561920899226282,1784176651254208665,0,89.43,0,75261,1
5561920899226282,1784176651254208665,1,81.26,0,74059,1
5561921184229914,1784176651539214307,0,89.75,0,75261,1
5561921184229914,1784176651539214307,1,81.26,0,74059,1
5561921460938100,1784176651815920373,0,89.85,0,75261,1
5561921460938100,1784176651815920373,1,81.61,0,74059,1
5561921742035572,1784176652097017975,0,89.43,0,75261,1
5561921742035572,1784176652097017975,1,81.53,0,74059,1
5561922026282062,1784176652381264575,0,89.43,0,75261,1
5561922026282062,1784176652381264575,1,81.26,0,74059,1
5561922303677852,1784176652658659755,0,89.75,0,75261,1
5561922303677852,1784176652658659755,1,81.26,0,74059,1
5561922582078431,1784176652937060204,0,89.43,0,75261,1
5561922582078431,1784176652937060204,1,81.53,0,74059,1
5561922856401482,1784176653211384125,0,89.66,0,75261,1
5561922856401482,1784176653211384125,1,81.44,0,74059,1
5561923131251468,1784176653486233341,0,89.75,0,75261,1
5561923131251468,1784176653486233341,1,81.34,0,74059,1
5561923411056653,1784176653766039976,0,89.43,0,75261,1
5561923411056653,1784176653766039976,1,81.53,0,74059,1
5561923692316054,1784176654047298236,0,89.43,0,75261,1
5561923692316054,1784176654047298236,1,81.34,0,74059,1
5561923968244238,1784176654323226361,0,89.43,0,75261,1
5561923968244238,1784176654323226361,1,81.53,0,74059,1
5561924244014665,1784176654598996888,0,89.52,0,75261,1
5561924244014665,1784176654598996888,1,81.26,0,74059,1
5561924520923149,1784176654875904882,0,89.16,0,75261,1
5561924520923149,1784176654875904882,1,81.26,0,74059,1
5561924801175640,1784176655156157873,0,89.43,0,75261,1
5561924801175640,1784176655156157873,1,81.53,0,74059,1
5561925075981206,1784176655430962789,0,89.25,0,75261,1
5561925075981206,1784176655430962789,1,81.26,0,74059,1
5561925354244007,1784176655709226220,0,89.16,0,75261,1
5561925354244007,1784176655709226220,1,81.26,0,74059,1
5561925629472109,1784176655984454012,0,89.43,0,75261,1
5561925629472109,1784176655984454012,1,81.53,0,74059,1
5561925904057528,1784176656259039621,0,89.16,0,75261,1
5561925904057528,1784176656259039621,1,81.18,0,74059,1
5561926182319528,1784176656537303141,0,89.16,0,75261,1
5561926182319528,1784176656537303141,1,81.53,0,74059,1
5561926461493150,1784176656816475393,0,89.16,0,75261,1
5561926461493150,1784176656816475393,1,81.53,0,74059,1
5561926741175396,1784176657096157589,0,89.16,0,75261,1
5561926741175396,1784176657096157589,1,81.53,0,74059,1
5561927019684205,1784176657374666298,0,89.16,0,75261,1
5561927019684205,1784176657374666298,1,81.53,0,74059,1
5561927295437291,1784176657650419244,0,89.25,0,75261,1
5561927295437291,1784176657650419244,1,81.34,0,74059,1
5561927571103879,1784176657926086072,0,89.16,0,75261,1
5561927571103879,1784176657926086072,1,81.34,0,74059,1
5561927846828176,1784176658201810598,0,89.16,0,75261,1
5561927846828176,1784176658201810598,1,81.53,0,74059,1
5561928121785930,1784176658476767553,0,89.16,0,75261,1
5561928121785930,1784176658476767553,1,81.53,0,74059,1
5561928398282799,1784176658753264622,0,89.16,0,75261,1
5561928398282799,1784176658753264622,1,81.26,0,74059,1
5561928672792988,1784176659027774841,0,89.16,0,75261,1
5561928672792988,1784176659027774841,1,81.26,0,74059,1
5561928948057880,1784176659303039593,0,89.16,0,75261,1
5561928948057880,1784176659303039593,1,81.26,0,74059,1
5561929229723496,1784176659584706129,0,88.82,0,75261,1
5561929229723496,1784176659584706129,1,81.26,0,74059,1
5561929507878108,1784176659862861651,0,89.43,0,75261,1
5561929507878108,1784176659862861651,1,81.53,0,74059,1
5561929782935332,1784176660137917155,0,88.82,0,75261,1
5561929782935332,1784176660137917155,1,81.61,0,74059,1
5561930059838146,1784176660414820039,0,88.82,0,75261,1
5561930059838146,1784176660414820039,1,81.26,0,74059,1
5561930336563453,1784176660691545276,0,89.16,0,75261,1
5561930336563453,1784176660691545276,1,81.53,0,74059,1
5561930611172341,1784176660966154134,0,89.16,0,75261,1
5561930611172341,1784176660966154134,1,81.26,0,74059,1
5561930888398373,1784176661243379896,0,88.82,0,75261,1
5561930888398373,1784176661243379896,1,81.44,0,74059,1
5561931162603525,1784176661517585928,0,88.82,0,75261,1
5561931162603525,1784176661517585928,1,81.26,13,74059,1
5561931488804405,1784176661843788768,0,92.48,0,75261,1
5561931488804405,1784176661843788768,1,81.34,0,74059,1
5561931763116437,1784176662118098690,0,88.82,0,75261,1
5561931763116437,1784176662118098690,1,81.26,0,74059,1
5561932039757324,1784176662394739677,0,88.82,0,75261,1
5561932039757324,1784176662394739677,1,81.26,0,74059,1
5561932314364182,1784176662669345975,0,88.73,0,75261,1
5561932314364182,1784176662669345975,1,81.53,0,74059,1
5561932594438595,1784176662949421358,0,88.82,0,75261,1
5561932594438595,1784176662949421358,1,81.53,0,74059,1
5561932873515007,1784176663228496810,0,88.82,0,75261,1
5561932873515007,1784176663228496810,1,81.26,0,74059,1
5561933147846009,1784176663502827791,0,88.82,0,75261,1
5561933147846009,1784176663502827791,1,81.53,0,74059,1
5561933432246357,1784176663787229000,0,88.82,0,75261,1
5561933432246357,1784176663787229000,1,81.53,0,74059,1
5561933715753414,1784176664070736097,0,88.82,0,75261,1
5561933715753414,1784176664070736097,1,81.53,0,74059,1
5561933991035035,1784176664346017568,0,88.82,0,75261,1
5561933991035035,1784176664346017568,1,81.34,0,74059,1
5561934266237937,1784176664621220010,0,88.82,0,75261,1
5561934266237937,1784176664621220010,1,81.53,0,74059,1
5561934541266411,1784176664896247984,0,88.82,0,75261,1
5561934541266411,1784176664896247984,1,81.26,0,74059,1
5561934825246934,1784176665180229597,0,88.82,0,75261,1
5561934825246934,1784176665180229597,1,81.53,0,74059,1
5561935101045630,1784176665456027503,0,88.50,0,75261,1
5561935101045630,1784176665456027503,1,81.53,0,74059,1
5561935374909766,1784176665729891729,0,88.82,0,75261,1
5561935374909766,1784176665729891729,1,81.53,0,74059,1
5561935652758531,1784176666007740164,0,88.73,0,75261,1
5561935652758531,1784176666007740164,1,81.53,0,74059,1
5561935940357566,1784176666295339919,0,89.16,0,75261,1
5561935940357566,1784176666295339919,1,81.53,0,74059,1
5561936215507989,1784176666570490522,0,88.92,0,75261,1
5561936215507989,1784176666570490522,1,81.53,0,74059,1
5561936495191035,1784176666850173108,0,88.50,0,75261,1
5561936495191035,1784176666850173108,1,81.86,0,74059,1
5561936769655415,1784176667124637748,0,88.82,0,75261,1
5561936769655415,1784176667124637748,1,81.53,0,74059,1
5561937046164704,1784176667401146837,0,88.82,0,75261,1
5561937046164704,1784176667401146837,1,81.53,0,74059,1
5561937321266007,1784176667676247870,0,88.50,0,75261,1
5561937321266007,1784176667676247870,1,81.26,0,74059,1
5561937601830674,1784176667956812797,0,88.50,0,75261,1
5561937601830674,1784176667956812797,1,81.53,0,74059,1
5561937877657690,1784176668232639313,0,88.50,0,75261,1
5561937877657690,1784176668232639313,1,81.86,0,74059,1
5561938157467545,1784176668512450238,0,88.50,0,75261,1
5561938157467545,1784176668512450238,1,81.44,0,74059,1
5561938434309441,1784176668789291594,0,88.50,0,75261,1
5561938434309441,1784176668789291594,1,81.53,0,74059,1
5561938713478892,1784176669068461215,0,88.50,0,75261,1
5561938713478892,1784176669068461215,1,81.53,0,74059,1
5561939000498393,1784176669355479966,0,88.50,0,75261,1
5561939000498393,1784176669355479966,1,81.53,0,74059,1
5561939283328407,1784176669638311050,0,88.50,0,75261,1
5561939283328407,1784176669638311050,1,81.61,0,74059,1
5561939560278062,1784176669915260045,0,88.50,0,75261,1
5561939560278062,1784176669915260045,1,81.53,0,74059,1
5561939842879228,1784176670197861661,0,88.50,0,75261,1
5561939842879228,1784176670197861661,1,81.53,0,74059,1
5561940116739494,1784176670471721987,0,88.50,0,75261,1
5561940116739494,1784176670471721987,1,81.53,0,74059,1
5561940391617790,1784176670746600093,0,88.50,0,75261,1
5561940391617790,1784176670746600093,1,81.26,0,74059,1
5561940666647524,1784176671021629187,0,88.50,0,75261,1
5561940666647524,1784176671021629187,1,81.53,0,74059,1
5561940942067854,1784176671297049897,0,88.82,0,75261,1
5561940942067854,1784176671297049897,1,81.53,0,74059,1
5561941224241334,1784176671579223597,0,88.50,0,75261,1
5561941224241334,1784176671579223597,1,81.53,0,74059,1
5561941501019431,1784176671856001414,0,88.50,0,75261,1
5561941501019431,1784176671856001414,1,81.53,0,74059,1
5561941782656727,1784176672137638880,0,88.59,0,75261,1
5561941782656727,1784176672137638880,1,81.53,0,74059,1
5561942067755128,1784176672422737741,0,88.82,0,75261,1
5561942067755128,1784176672422737741,1,81.26,0,74059,1
5561942346282766,1784176672701265079,0,88.50,0,75261,1
5561942346282766,1784176672701265079,1,81.53,0,74059,1
5561942622884144,1784176672977866317,0,88.82,0,75261,1
5561942622884144,1784176672977866317,1,81.61,0,74059,1
5561942905626779,1784176673260609102,0,88.59,0,75261,1
5561942905626779,1784176673260609102,1,81.94,0,74059,1
5561943179937290,1784176673534918943,0,88.50,0,75261,1
5561943179937290,1784176673534918943,1,81.53,0,74059,1
5561943455548828,1784176673810531161,0,88.59,0,75261,1
5561943455548828,1784176673810531161,1,81.53,0,74059,1
5561943729715171,1784176674084696894,0,88.50,0,75261,1
5561943729715171,1784176674084696894,1,81.26,0,74059,1
5561944008099751,1784176674363081644,0,88.50,0,75261,1
5561944008099751,1784176674363081644,1,81.53,0,74059,1
5561944283033676,1784176674638015329,0,88.50,0,75261,1
5561944283033676,1784176674638015329,1,81.53,0,74059,1
5561944559830541,1784176674914812274,0,88.50,0,75261,1
5561944559830541,1784176674914812274,1,81.53,0,74059,1
5561944834087833,1784176675189069686,0,88.50,0,75261,1
5561944834087833,1784176675189069686,1,81.26,0,74059,1
5561945109968679,1784176675464950552,0,88.59,0,75261,1
5561945109968679,1784176675464950552,1,81.26,0,74059,1
5561945385371419,1784176675740353192,0,88.23,0,75261,1
5561945385371419,1784176675740353192,1,81.53,0,74059,1
5561945662689789,1784176676017671292,0,88.50,0,75261,1
5561945662689789,1784176676017671292,1,81.53,0,74059,1
5561945936387347,1784176676291368920,0,88.50,0,75261,1
5561945936387347,1784176676291368920,1,81.53,0,74059,1
5561946217770026,1784176676572752659,0,88.41,0,75261,1
5561946217770026,1784176676572752659,1,81.53,0,74059,1
5561946497843578,1784176676852825881,0,88.23,0,75261,1
