monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5566568750000000,1784181299464817363,250000000,api,client_to_target,88999,1
5566568750000000,1784181299464838713,250000000,api,target_to_client,596,0
5566570750000000,1784181301467329967,250000000,api,target_to_client,491,0
5566572000000000,1784181302719409214,250000000,api,target_to_client,241,0
5566573250000000,1784181303972607319,250000000,api,target_to_client,1223,0
5566574000000000,1784181304724285300,250000000,api,target_to_client,725,0
5566574500000000,1784181305225633055,250000000,api,target_to_client,5137,0
5566574750000000,1784181305475930702,250000000,api,target_to_client,12678,0
5566575000000000,1784181305726471506,250000000,api,target_to_client,12063,0
5566575250000000,1784181305977286086,250000000,api,target_to_client,6602,0
5566575500000000,1784181306227537384,250000000,api,target_to_client,6250,0
5566575750000000,1784181306479114126,250000000,api,target_to_client,4409,0
5566576000000000,1784181306729646620,250000000,api,target_to_client,3424,0
5566576250000000,1784181306980791747,250000000,api,target_to_client,3161,0
5566576500000000,1784181307231914864,250000000,api,target_to_client,2856,0
5566587000000000,1784181317750619400,250000000,api,client_to_target,27588,1
5566587000000000,1784181317750651130,250000000,api,target_to_client,640,0
5566587000000000,1784181317750659379,250000000,kv,client_to_target,186,0
5566587000000000,1784181317750665729,250000000,kv,target_to_client,36,1
5566587250000000,1784181318001365012,250000000,api,target_to_client,3187,0
5566587500000000,1784181318251898146,250000000,api,target_to_client,3171,0
5566587750000000,1784181318502359851,250000000,api,target_to_client,3143,0
5566588000000000,1784181318752690387,250000000,api,client_to_target,31710,1
5566588000000000,1784181318752711267,250000000,api,target_to_client,3299,0
5566588000000000,1784181318752719557,250000000,kv,client_to_target,186,0
5566588000000000,1784181318752725017,250000000,kv,target_to_client,36,1
5566588250000000,1784181319003015794,250000000,api,target_to_client,3435,0
5566588500000000,1784181319253248851,250000000,api,target_to_client,3177,0
5566588750000000,1784181319504212820,250000000,api,target_to_client,3085,0
5566589000000000,1784181319755156470,250000000,api,client_to_target,7210,1
5566589000000000,1784181319755180049,250000000,api,target_to_client,3819,0
5566589000000000,1784181319755187789,250000000,kv,client_to_target,186,0
5566589000000000,1784181319755193389,250000000,kv,target_to_client,36,1
5566589250000000,1784181320005746453,250000000,api,target_to_client,3177,0
5566589500000000,1784181320256486305,250000000,api,target_to_client,3179,0
5566589750000000,1784181320507158627,250000000,api,target_to_client,3185,0
5566590000000000,1784181320757375185,250000000,api,target_to_client,3157,0
5566590250000000,1784181321007709132,250000000,api,target_to_client,3427,0
5566590500000000,1784181321258430483,250000000,api,target_to_client,3185,0
5566590750000000,1784181321508858639,250000000,api,target_to_client,3134,0
5566591000000000,1784181321759485912,250000000,api,client_to_target,22363,1
5566591000000000,1784181321759498562,250000000,api,target_to_client,3504,0
5566591000000000,1784181321759503462,250000000,kv,client_to_target,186,0
5566591000000000,1784181321759506982,250000000,kv,target_to_client,36,1
5566591250000000,1784181322010577949,250000000,api,target_to_client,3198,0
5566591500000000,1784181322261710386,250000000,api,target_to_client,3160,0
5566591750000000,1784181322513192639,250000000,api,target_to_client,3375,0
5566592000000000,1784181322763551125,250000000,api,target_to_client,1917,0
