monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5791284843872337,1784406015198854290,0,87.12,0,74277,1
5791284843872337,1784406015198854290,1,84.49,0,74055,1
5791285132271491,1784406015487253464,0,363.21,45,74277,1
5791285132271491,1784406015487253464,1,84.17,0,74055,1
5791285447327918,1784406015802309880,0,386.83,100,74277,1
5791285447327918,1784406015802309880,1,84.08,0,74055,1
5791285731943135,1784406016086925048,0,408.31,100,74277,1
5791285731943135,1784406016086925048,1,84.17,0,74055,1
5791286012556975,1784406016367538978,0,366.26,97,74277,1
5791286012556975,1784406016367538978,1,84.17,0,74055,1
5791286295415861,1784406016650398074,0,341.96,100,74277,1
5791286295415861,1784406016650398074,1,83.89,0,74055,1
5791286583579772,1784406016938562325,0,137.62,53,74277,1
5791286583579772,1784406016938562325,1,83.89,0,74055,1
5791286865552697,1784406017220535070,0,133.43,35,74277,1
5791286865552697,1784406017220535070,1,83.89,0,74055,1
5791287147033558,1784406017502015761,0,134.30,35,74277,1
5791287147033558,1784406017502015761,1,84.17,0,74055,1
5791287427675968,1784406017782658161,0,139.75,35,74277,1
5791287427675968,1784406017782658161,1,84.17,0,74055,1
5791287713593122,1784406018068575025,0,132.64,35,74277,1
5791287713593122,1784406018068575025,1,83.66,0,74055,1
5791287994197332,1784406018349179215,0,134.30,34,74277,1
5791287994197332,1784406018349179215,1,83.66,0,74055,1
5791288299600502,1784406018654581945,0,134.31,35,74277,1
5791288299600502,1784406018654581945,1,83.66,0,74055,1
5791288583074912,1784406018938056875,0,88.32,16,74277,1
5791288583074912,1784406018938056875,1,83.66,0,74055,1
5791288874664976,1784406019229646989,0,88.00,0,74277,1
5791288874664976,1784406019229646989,1,83.38,0,74055,1
5791289168864993,1784406019523847606,0,87.72,0,74277,1
5791289168864993,1784406019523847606,1,83.66,0,74055,1
5791289457851846,1784406019812833769,0,87.72,0,74277,1
5791289457851846,1784406019812833769,1,83.57,0,74055,1
5791289745650610,1784406020100632563,0,87.72,0,74277,1
5791289745650610,1784406020100632563,1,83.38,0,74055,1
5791290033493704,1784406020388475637,0,87.72,0,74277,1
5791290033493704,1784406020388475637,1,83.57,0,74055,1
5791290325205067,1784406020680187410,0,87.72,0,74277,1
5791290325205067,1784406020680187410,1,83.38,0,74055,1
5791290611913253,1784406020966896286,0,87.39,0,74277,1
5791290611913253,1784406020966896286,1,83.57,0,74055,1
5791290902775135,1784406021257757498,0,87.39,0,74277,1
5791290902775135,1784406021257757498,1,83.38,0,74055,1
5791291192172783,1784406021547154616,0,87.39,0,74277,1
5791291192172783,1784406021547154616,1,83.38,0,74055,1
5791291485731137,1784406021840713050,0,87.39,0,74277,1
5791291485731137,1784406021840713050,1,83.38,0,74055,1
5791291776473401,1784406022131455674,0,87.12,0,74277,1
5791291776473401,1784406022131455674,1,83.29,0,74055,1
5791292068570380,1784406022423552333,0,87.39,0,74277,1
5791292068570380,1784406022423552333,1,82.97,0,74055,1
5791292357777500,1784406022712759423,0,87.12,0,74277,1
5791292357777500,1784406022712759423,1,83.29,0,74055,1
5791292648855200,1784406023003837033,0,87.12,0,74277,1
5791292648855200,1784406023003837033,1,83.29,0,74055,1
5791292934110721,1784406023289092934,0,87.39,0,74277,1
5791292934110721,1784406023289092934,1,128.12,26,74055,1
5791293221808196,1784406023576790409,0,87.12,0,74277,1
5791293221808196,1784406023576790409,1,133.90,34,74055,1
5791293507120607,1784406023862102850,0,87.12,0,74277,1
5791293507120607,1784406023862102850,1,128.26,34,74055,1
5791293794249918,1784406024149232331,0,87.12,0,74277,1
5791293794249918,1784406024149232331,1,126.93,34,74055,1
5791294084145061,1784406024439127284,0,87.12,0,74277,1
5791294084145061,1784406024439127284,1,131.18,34,74055,1
5791294369255744,1784406024724238137,0,87.03,0,74277,1
5791294369255744,1784406024724238137,1,126.28,34,74055,1
5791294655331816,1784406025010314089,0,87.12,0,74277,1
5791294655331816,1784406025010314089,1,132.97,34,74055,1
5791294942379009,1784406025297360932,0,87.03,0,74277,1
5791294942379009,1784406025297360932,1,108.11,34,74055,1
5791295232173862,1784406025587155745,0,87.12,0,74277,1
5791295232173862,1784406025587155745,1,127.53,30,74055,1
5791295517324454,1784406025872306357,0,87.12,0,74277,1
5791295517324454,1784406025872306357,1,127.53,34,74055,1
5791295806757082,1784406026161738975,0,86.71,0,74277,1
5791295806757082,1784406026161738975,1,127.39,33,74055,1
