monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5791335227883441,1784406065582866474,0,86.79,0,74277,1
5791335227883441,1784406065582866474,1,82.70,0,74055,1
5791335549087415,1784406065904069298,0,339.29,0,74277,1
5791335549087415,1784406065904069298,1,82.70,0,74055,1
5791335836168636,1784406066191150809,0,369.85,100,74277,1
5791335836168636,1784406066191150809,1,82.70,0,74055,1
5791336138075573,1784406066493057366,0,364.73,100,74277,1
5791336138075573,1784406066493057366,1,82.70,0,74055,1
5791336422224086,1784406066777206239,0,383.50,96,74277,1
5791336422224086,1784406066777206239,1,82.70,0,74055,1
5791336706725455,1784406067061707298,0,358.97,100,74277,1
5791336706725455,1784406067061707298,1,82.70,0,74055,1
5791336993859966,1784406067348841799,0,378.93,100,74277,1
5791336993859966,1784406067348841799,1,82.70,0,74055,1
5791337283927477,1784406067638909310,0,343.79,100,74277,1
5791337283927477,1784406067638909310,1,82.37,0,74055,1
5791337571516343,1784406067926497836,0,334.11,100,74277,1
5791337571516343,1784406067926497836,1,82.61,0,74055,1
5791337861945760,1784406068216927883,0,331.11,100,74277,1
5791337861945760,1784406068216927883,1,82.29,0,74055,1
5791338166397470,1784406068521379323,0,349.88,100,74277,1
5791338166397470,1784406068521379323,1,82.61,0,74055,1
5791338448284066,1784406068803265909,0,333.83,100,74277,1
5791338448284066,1784406068803265909,1,82.61,0,74055,1
5791338733330940,1784406069088313323,0,381.58,100,74277,1
5791338733330940,1784406069088313323,1,85.60,0,74055,1
5791339016883579,1784406069371865442,0,354.13,100,74277,1
5791339016883579,1784406069371865442,1,82.29,0,74055,1
5791339308980328,1784406069663962431,0,355.55,100,74277,1
5791339308980328,1784406069663962431,1,82.29,0,74055,1
5791339591411589,1784406069946393422,0,331.64,100,74277,1
5791339591411589,1784406069946393422,1,82.29,0,74055,1
5791339879014856,1784406070233997099,0,364.95,100,74277,1
5791339879014856,1784406070233997099,1,82.29,0,74055,1
5791340159812513,1784406070514794016,0,412.46,100,74277,1
5791340159812513,1784406070514794016,1,82.29,0,74055,1
5791340441875788,1784406070796857811,0,354.63,100,74277,1
5791340441875788,1784406070796857811,1,82.29,0,74055,1
5791340729374236,1784406071084356079,0,102.99,98,74277,1
5791340729374236,1784406071084356079,1,82.29,0,74055,1
5791341013389130,1784406071368370623,0,327.72,100,74277,1
5791341013389130,1784406071368370623,1,82.61,0,74055,1
5791341299656941,1784406071654638454,0,354.03,100,74277,1
5791341299656941,1784406071654638454,1,82.29,0,74055,1
5791341581475088,1784406071936456591,0,328.65,100,74277,1
5791341581475088,1784406071936456591,1,82.29,0,74055,1
5791341870515770,1784406072225497763,0,357.40,100,74277,1
5791341870515770,1784406072225497763,1,82.20,0,74055,1
5791342151481946,1784406072506463759,0,333.49,100,74277,1
5791342151481946,1784406072506463759,1,82.20,0,74055,1
5791342431805479,1784406072786787242,0,357.40,100,74277,1
5791342431805479,1784406072786787242,1,82.20,0,74055,1
5791342726587910,1784406073081570573,0,333.74,100,74277,1
5791342726587910,1784406073081570573,1,82.20,0,74055,1
5791343014696771,1784406073369678954,0,357.03,100,74277,1
5791343014696771,1784406073369678954,1,82.53,0,74055,1
5791343309022347,1784406073664004530,0,155.05,88,74277,1
5791343309022347,1784406073664004530,1,82.29,0,74055,1
5791343593310558,1784406073948293461,0,150.81,43,74277,1
5791343593310558,1784406073948293461,1,82.20,0,74055,1
5791343875912798,1784406074230894971,0,131.90,45,74277,1
5791343875912798,1784406074230894971,1,82.29,0,74055,1
5791344162666783,1784406074517648326,0,90.76,0,74277,1
5791344162666783,1784406074517648326,1,344.84,84,74055,1
5791344453764653,1784406074808746516,0,90.44,0,74277,1
5791344453764653,1784406074808746516,1,340.33,100,74055,1
5791344740215981,1784406075095198754,0,90.16,0,74277,1
5791344740215981,1784406075095198754,1,356.33,100,74055,1
5791345030979375,1784406075385960968,0,89.34,0,74277,1
5791345030979375,1784406075385960968,1,364.47,99,74055,1
5791345313960870,1784406075668943153,0,88.97,0,74277,1
5791345313960870,1784406075668943153,1,355.74,100,74055,1
