monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5791095500000000,1784405826296136116,250000000,api,client_to_target,61647,1
5791095500000000,1784405826296158806,250000000,api,target_to_client,149,0
5791095500000000,1784405826296165956,250000000,kv,client_to_target,44826,0
5791095500000000,1784405826296171506,250000000,kv,target_to_client,11114980,1
5791095750000000,1784405826546778020,250000000,kv,client_to_target,2232,0
5791095750000000,1784405826546810460,250000000,kv,target_to_client,152471984,1
5791096000000000,1784405826797101397,250000000,kv,client_to_target,2418,0
5791096000000000,1784405826797121897,250000000,kv,target_to_client,155451754,1
5791096250000000,1784405827047204157,250000000,kv,client_to_target,2046,0
5791096250000000,1784405827047225786,250000000,kv,target_to_client,146538998,1
5791096500000000,1784405827297963289,250000000,kv,client_to_target,2232,0
5791096500000000,1784405827298004539,250000000,kv,target_to_client,150995376,1
5791096750000000,1784405827548139738,250000000,kv,client_to_target,2418,0
5791096750000000,1784405827548158858,250000000,kv,target_to_client,163381610,1
5791097000000000,1784405827798308276,250000000,kv,client_to_target,2046,0
5791097000000000,1784405827798326976,250000000,kv,target_to_client,138609142,1
5791097250000000,1784405828048694733,250000000,kv,client_to_target,2604,0
5791097250000000,1784405828048712403,250000000,kv,target_to_client,176161272,1
5791097500000000,1784405828298833772,250000000,kv,client_to_target,2418,0
5791097500000000,1784405828298853432,250000000,kv,target_to_client,162464053,1
5791097750000000,1784405828549371727,250000000,kv,client_to_target,2418,0
5791097750000000,1784405828549396047,250000000,kv,target_to_client,154272318,1
5791098000000000,1784405828799778793,250000000,api,target_to_client,491,0
5791098000000000,1784405828799798313,250000000,kv,client_to_target,1302,0
5791098000000000,1784405828799806563,250000000,kv,target_to_client,86409521,1
5791098250000000,1784405829050210929,250000000,api,target_to_client,2936,0
5791098500000000,1784405829301731563,250000000,api,target_to_client,3143,0
5791098750000000,1784405829552144750,250000000,api,client_to_target,61666,1
5791098750000000,1784405829552171439,250000000,api,target_to_client,2763,0
5791099000000000,1784405829802793073,250000000,api,target_to_client,1951,0
5791099000000000,1784405829802820813,250000000,kv,client_to_target,22134,0
5791099000000000,1784405829802829633,250000000,kv,target_to_client,4284,1
5791099250000000,1784405830053775153,250000000,api,target_to_client,3190,0
5791099500000000,1784405830304949721,250000000,api,target_to_client,2929,0
5791099750000000,1784405830555694264,250000000,api,target_to_client,3101,0
