ts,route,direction,bytes,billed
1783985691.216276,api,client_to_target,143,1
1783985691.224901,api,client_to_target,15371,1
1783985691.234406,api,target_to_client,149,0
1783985691.238162,kv,client_to_target,186,0
1783985691.238387,kv,target_to_client,36,1
1783985691.877087,api,target_to_client,539,0
1783985691.883863,api,client_to_target,14775,1
1783985691.895366,api,target_to_client,149,0
1783985691.898224,kv,client_to_target,186,0
1783985691.898411,kv,target_to_client,36,1
1783985692.532261,api,target_to_client,539,0
1783985692.538314,api,client_to_target,14813,1
1783985692.551262,api,target_to_client,149,0
1783985692.555209,kv,client_to_target,186,0
1783985692.555372,kv,target_to_client,36,1
1783985692.577684,api,target_to_client,539,0
1783985692.583559,api,client_to_target,15619,1
1783985692.591248,api,target_to_client,149,0
1783985692.595330,kv,client_to_target,186,0
1783985692.595498,kv,target_to_client,36,1
1783985692.617457,api,target_to_client,539,0
1783985692.623046,api,client_to_target,10297,1
1783985692.630281,api,target_to_client,149,0
1783985692.632455,kv,client_to_target,186,0
1783985692.632622,kv,target_to_client,36,1
1783985692.632677,api,client_to_target,15970,1
1783985692.642392,api,target_to_client,149,0
1783985692.896996,api,client_to_target,14922,1
1783985692.910745,api,target_to_client,149,0
1783985693.028311,kv,client_to_target,186,0
1783985693.028506,kv,target_to_client,36,1
1783985693.028812,api,target_to_client,539,0
1783985693.030734,kv,client_to_target,186,0
1783985693.030922,kv,target_to_client,36,1
1783985693.034835,api,client_to_target,6065,1
1783985693.040912,api,target_to_client,149,0
1783985693.694643,kv,client_to_target,186,0
1783985693.694871,api,target_to_client,491,0
1783985693.694936,api,target_to_client,491,0
1783985693.695016,kv,target_to_client,36,1
1783985693.896613,api,target_to_client,241,0
1783985693.896673,api,target_to_client,241,0
1783985693.896713,api,target_to_client,539,0
1783985693.904231,api,client_to_target,6795,1
1783985693.909543,api,target_to_client,149,0
1783985693.916440,kv,client_to_target,186,0
1783985693.916621,kv,target_to_client,36,1
1783985693.916692,api,target_to_client,241,0
1783985693.916725,api,target_to_client,241,0
1783985694.143717,api,target_to_client,243,0
1783985694.143779,api,target_to_client,243,0
1783985694.143826,api,target_to_client,539,0
1783985694.150130,api,client_to_target,7704,1
1783985694.157920,api,target_to_client,149,0
1783985694.164024,kv,client_to_target,186,0
1783985694.164097,api,target_to_client,246,0
1783985694.164156,api,target_to_client,246,0
1783985694.164255,kv,target_to_client,36,1
1783985694.435331,api,target_to_client,243,0
1783985694.435393,api,target_to_client,243,0
1783985694.435434,api,target_to_client,539,0
1783985694.441785,api,client_to_target,6037,1
1783985694.448628,api,target_to_client,149,0
1783985694.455153,api,target_to_client,254,0
1783985694.455217,api,target_to_client,254,0
1783985694.455265,kv,client_to_target,186,0
1783985694.455457,kv,target_to_client,36,1
1783985694.652045,api,target_to_client,242,0
1783985694.652103,api,target_to_client,246,0
1783985694.652139,api,target_to_client,539,0
1783985694.659213,api,client_to_target,7269,1
1783985694.665938,api,target_to_client,149,0
1783985694.672229,api,target_to_client,245,0
1783985694.672291,api,target_to_client,246,0
1783985694.672347,kv,client_to_target,186,0
1783985694.672504,kv,target_to_client,36,1
1783985694.922120,api,target_to_client,246,0
1783985694.922184,api,target_to_client,246,0
1783985694.922251,api,target_to_client,539,0
1783985694.940951,api,target_to_client,244,0
1783985694.941010,api,target_to_client,248,0
1783985694.960535,api,target_to_client,248,0
1783985694.960626,api,target_to_client,245,0
1783985694.979651,api,target_to_client,244,0
1783985694.979704,api,target_to_client,242,0
1783985694.998692,api,target_to_client,245,0
1783985694.998752,api,target_to_client,245,0
1783985695.017767,api,target_to_client,248,0
1783985695.017826,api,target_to_client,246,0
1783985695.036885,api,target_to_client,244,0
1783985695.036945,api,target_to_client,244,0
1783985695.056074,api,target_to_client,242,0
1783985695.056146,api,target_to_client,248,0
1783985695.075374,api,target_to_client,243,0
1783985695.075434,api,target_to_client,243,0
1783985695.094693,api,target_to_client,242,0
1783985695.094754,api,target_to_client,244,0
1783985695.113735,api,target_to_client,246,0
1783985695.113796,api,target_to_client,245,0
1783985695.132754,api,target_to_client,245,0
1783985695.132813,api,target_to_client,245,0
1783985695.151763,api,target_to_client,243,0
1783985695.151825,api,target_to_client,243,0
1783985695.170953,api,target_to_client,243,0
1783985695.171064,api,target_to_client,243,0
1783985695.190134,api,target_to_client,244,0
1783985695.190195,api,target_to_client,248,0
1783985695.209120,api,target_to_client,244,0
1783985695.209203,api,target_to_client,246,0
1783985695.228129,api,target_to_client,242,0
1783985695.228190,api,target_to_client,243,0
1783985695.247114,api,target_to_client,242,0
1783985695.247218,api,target_to_client,246,0
1783985695.266220,api,target_to_client,244,0
1783985695.266281,api,target_to_client,250,0
1783985695.285239,api,target_to_client,242,0
1783985695.285299,api,target_to_client,244,0
1783985695.304099,api,target_to_client,242,0
1783985695.304155,api,target_to_client,244,0
1783985695.323509,api,target_to_client,242,0
1783985695.323567,api,target_to_client,242,0
1783985695.342740,api,target_to_client,242,0
1783985695.342801,api,target_to_client,243,0
1783985695.361851,api,target_to_client,243,0
1783985695.361933,api,target_to_client,250,0
1783985695.380939,api,target_to_client,243,0
1783985695.381029,api,target_to_client,242,0
1783985695.405607,api,target_to_client,244,0
1783985695.405666,api,target_to_client,245,0
1783985695.424858,api,target_to_client,242,0
1783985695.424917,api,target_to_client,246,0
1783985695.443913,api,target_to_client,242,0
1783985695.443972,api,target_to_client,247,0
1783985695.463030,api,target_to_client,242,0
1783985695.463091,api,target_to_client,243,0
1783985695.482160,api,target_to_client,243,0
1783985695.482241,api,target_to_client,249,0
1783985695.501316,api,target_to_client,242,0
1783985695.501374,api,target_to_client,250,0
1783985695.520407,api,target_to_client,243,0
1783985695.520474,api,target_to_client,250,0
1783985695.539483,api,target_to_client,244,0
1783985695.539542,api,target_to_client,242,0
1783985695.558534,api,target_to_client,243,0
1783985695.558593,api,target_to_client,245,0
1783985695.577677,api,target_to_client,242,0
1783985695.577735,api,target_to_client,248,0
1783985695.596737,api,target_to_client,243,0
1783985695.596795,api,target_to_client,246,0
1783985695.615825,api,target_to_client,243,0
1783985695.615885,api,target_to_client,242,0
1783985695.634881,api,target_to_client,243,0
1783985695.634939,api,target_to_client,244,0
1783985695.654094,api,target_to_client,243,0
1783985695.654154,api,target_to_client,246,0
1783985695.673221,api,target_to_client,245,0
1783985695.673279,api,target_to_client,246,0
1783985695.692303,api,target_to_client,244,0
1783985695.692362,api,target_to_client,245,0
1783985695.711365,api,target_to_client,245,0
1783985695.711424,api,target_to_client,249,0
1783985695.730462,api,target_to_client,251,0
1783985695.730520,api,target_to_client,250,0
1783985695.749487,api,target_to_client,245,0
1783985695.749545,api,target_to_client,250,0
1783985695.768557,api,target_to_client,246,0
1783985695.768621,api,target_to_client,244,0
1783985695.787596,api,target_to_client,252,0
1783985695.787656,api,target_to_client,244,0
1783985695.806583,api,target_to_client,246,0
1783985695.806641,api,target_to_client,244,0
1783985695.825749,api,target_to_client,244,0
1783985695.825806,api,target_to_client,246,0
1783985695.844894,api,target_to_client,244,0
1783985695.844956,api,target_to_client,244,0
1783985695.864136,api,target_to_client,247,0
1783985695.864195,api,target_to_client,249,0
1783985695.883255,api,target_to_client,245,0
1783985695.883315,api,target_to_client,246,0
1783985695.902445,api,target_to_client,246,0
1783985695.902506,api,target_to_client,243,0
1783985695.921536,api,target_to_client,246,0
1783985695.921595,api,target_to_client,248,0
1783985695.940630,api,target_to_client,246,0
1783985695.940691,api,target_to_client,249,0
1783985695.960189,api,target_to_client,246,0
1783985695.960251,api,target_to_client,298,0
1783985695.977680,api,client_to_target,15860,1
1783985695.991055,api,target_to_client,251,0
1783985695.991501,api,target_to_client,149,0
1783985695.999262,api,target_to_client,245,0
1783985695.999584,kv,client_to_target,186,0
1783985695.999709,kv,target_to_client,36,1
1783985696.708374,api,target_to_client,245,0
1783985696.708441,api,target_to_client,491,0
1783985696.727524,api,target_to_client,248,0
1783985696.727581,api,target_to_client,241,0
1783985696.746616,api,target_to_client,244,0
1783985696.746674,api,target_to_client,241,0
1783985696.765605,api,target_to_client,247,0
1783985696.765663,api,target_to_client,243,0
1783985696.784590,api,target_to_client,245,0
1783985696.784650,api,target_to_client,246,0
1783985696.803679,api,target_to_client,245,0
1783985696.803737,api,target_to_client,243,0
1783985696.822739,api,target_to_client,246,0
1783985696.822797,api,target_to_client,254,0
1783985696.841831,api,target_to_client,247,0
1783985696.841890,api,target_to_client,242,0
1783985696.860903,api,target_to_client,244,0
1783985696.860962,api,target_to_client,245,0
1783985696.879966,api,target_to_client,244,0
1783985696.880060,api,target_to_client,246,0
1783985696.899123,api,target_to_client,244,0
1783985696.899181,api,target_to_client,244,0
1783985696.918118,api,target_to_client,245,0
1783985696.918177,api,target_to_client,248,0
1783985696.937140,api,target_to_client,242,0
1783985696.937197,api,target_to_client,243,0
1783985696.956129,api,target_to_client,243,0
1783985696.956217,api,target_to_client,248,0
1783985696.975313,api,target_to_client,242,0
1783985696.975371,api,target_to_client,244,0
1783985696.994346,api,target_to_client,245,0
1783985696.994405,api,target_to_client,244,0
1783985697.013464,api,target_to_client,247,0
1783985697.013522,api,target_to_client,245,0
1783985697.032553,api,target_to_client,251,0
1783985697.032612,api,target_to_client,248,0
1783985697.051612,api,target_to_client,242,0
1783985697.051672,api,target_to_client,244,0
1783985697.070707,api,target_to_client,248,0
1783985697.070767,api,target_to_client,243,0
1783985697.089914,api,target_to_client,247,0
1783985697.089973,api,target_to_client,250,0
1783985697.109215,api,target_to_client,245,0
1783985697.109273,api,target_to_client,246,0
1783985697.128390,api,target_to_client,245,0
1783985697.128468,api,target_to_client,246,0
1783985697.147601,api,target_to_client,246,0
1783985697.147660,api,target_to_client,245,0
1783985697.166712,api,target_to_client,247,0
1783985697.166776,api,target_to_client,243,0
1783985697.186041,api,target_to_client,244,0
1783985697.186120,api,target_to_client,242,0
1783985697.205274,api,target_to_client,245,0
1783985697.205333,api,target_to_client,244,0
1783985697.224448,api,target_to_client,246,0
1783985697.224507,api,target_to_client,242,0
1783985697.243630,api,target_to_client,247,0
1783985697.243689,api,target_to_client,242,0
1783985697.262835,api,target_to_client,243,0
1783985697.262894,api,target_to_client,245,0
1783985697.282843,api,target_to_client,249,0
1783985697.282902,api,target_to_client,246,0
1783985697.302082,api,target_to_client,250,0
1783985697.302142,api,target_to_client,243,0
1783985697.321124,api,target_to_client,250,0
1783985697.321182,api,target_to_client,246,0
1783985697.340051,api,target_to_client,242,0
1783985697.340111,api,target_to_client,248,0
1783985697.359565,api,target_to_client,245,0
1783985697.359625,api,target_to_client,244,0
1783985697.378526,api,target_to_client,251,0
1783985697.378585,api,target_to_client,244,0
1783985697.397657,api,target_to_client,248,0
1783985697.397715,api,target_to_client,242,0
1783985697.416785,api,target_to_client,249,0
1783985697.416845,api,target_to_client,243,0
1783985697.435884,api,target_to_client,246,0
1783985697.435943,api,target_to_client,250,0
1783985697.454961,api,target_to_client,243,0
1783985697.455057,api,target_to_client,246,0
1783985697.474063,api,target_to_client,249,0
1783985697.474142,api,target_to_client,247,0
1783985697.493216,api,target_to_client,250,0
1783985697.493275,api,target_to_client,242,0
1783985697.512326,api,target_to_client,250,0
1783985697.512386,api,target_to_client,245,0
1783985697.531404,api,target_to_client,242,0
1783985697.531462,api,target_to_client,251,0
1783985697.550553,api,target_to_client,245,0
1783985697.550611,api,target_to_client,244,0
1783985697.569603,api,target_to_client,249,0
1783985697.569662,api,target_to_client,247,0
1783985697.588685,api,target_to_client,242,0
1783985697.588744,api,target_to_client,244,0
1783985697.607738,api,target_to_client,244,0
1783985697.607797,api,target_to_client,247,0
1783985697.626770,api,target_to_client,244,0
1783985697.626830,api,target_to_client,246,0
1783985697.645951,api,target_to_client,247,0
1783985697.646049,api,target_to_client,245,0
1783985697.665107,api,target_to_client,245,0
1783985697.665166,api,target_to_client,249,0
1783985697.684289,api,target_to_client,246,0
1783985697.684365,api,target_to_client,250,0
1783985697.703357,api,target_to_client,246,0
1783985697.703416,api,target_to_client,250,0
1783985697.722449,api,target_to_client,246,0
1783985697.722508,api,target_to_client,245,0
1783985697.741559,api,target_to_client,246,0
1783985697.741618,api,target_to_client,246,0
1783985697.760661,api,target_to_client,251,0
1783985697.760721,api,target_to_client,242,0
1783985697.779921,api,target_to_client,245,0
1783985697.779979,api,target_to_client,245,0
1783985697.799111,api,target_to_client,245,0
1783985697.799170,api,target_to_client,246,0
1783985697.818303,api,target_to_client,248,0
1783985697.818361,api,target_to_client,245,0
1783985697.837514,api,target_to_client,244,0
1783985697.837591,api,target_to_client,250,0
1783985697.856561,api,target_to_client,247,0
1783985697.856618,api,target_to_client,244,0
