timestamp,index,power_w,util_gpu,memory_mib
2026/07/08 19:14:49.904, 0, 86.10, 0, 74047
2026/07/08 19:14:49.908, 1, 81.26, 0, 74047
2026/07/08 19:14:50.159, 0, 86.10, 0, 74047
2026/07/08 19:14:50.159, 1, 80.93, 0, 74047
2026/07/08 19:14:50.409, 0, 86.10, 0, 74047
2026/07/08 19:14:50.409, 1, 80.93, 0, 74047
2026/07/08 19:14:50.659, 0, 86.38, 0, 74047
2026/07/08 19:14:50.660, 1, 80.93, 0, 74047
2026/07/08 19:14:50.910, 0, 366.15, 38, 74047
2026/07/08 19:14:50.910, 1, 81.18, 0, 74047
2026/07/08 19:14:51.160, 0, 364.03, 100, 74047
2026/07/08 19:14:51.160, 1, 80.84, 0, 74047
2026/07/08 19:14:51.410, 0, 348.60, 100, 74047
2026/07/08 19:14:51.410, 1, 80.84, 0, 74047
2026/07/08 19:14:51.660, 0, 309.57, 92, 74047
2026/07/08 19:14:51.661, 1, 80.93, 0, 74047
2026/07/08 19:14:51.911, 0, 376.75, 100, 74047
2026/07/08 19:14:51.911, 1, 81.18, 0, 74047
2026/07/08 19:14:52.161, 0, 351.04, 100, 74047
2026/07/08 19:14:52.161, 1, 80.84, 0, 74047
2026/07/08 19:14:52.411, 0, 384.70, 100, 74047
2026/07/08 19:14:52.411, 1, 80.84, 0, 74047
2026/07/08 19:14:52.661, 0, 328.66, 100, 74047
2026/07/08 19:14:52.662, 1, 81.18, 0, 74047
2026/07/08 19:14:52.912, 0, 336.83, 100, 74047
2026/07/08 19:14:52.912, 1, 81.18, 0, 74047
2026/07/08 19:14:53.162, 0, 113.18, 18, 74047
2026/07/08 19:14:53.162, 1, 81.34, 0, 74047
2026/07/08 19:14:53.412, 0, 111.71, 17, 74047
2026/07/08 19:14:53.412, 1, 81.01, 0, 74047
2026/07/08 19:14:53.662, 0, 114.11, 18, 74047
2026/07/08 19:14:53.662, 1, 81.01, 0, 74047
2026/07/08 19:14:53.913, 0, 109.74, 18, 74047
2026/07/08 19:14:53.913, 1, 80.93, 0, 74047
2026/07/08 19:14:54.163, 0, 119.29, 18, 74047
2026/07/08 19:14:54.163, 1, 81.34, 0, 74047
2026/07/08 19:14:54.413, 0, 108.66, 18, 74047
2026/07/08 19:14:54.413, 1, 81.34, 0, 74047
2026/07/08 19:14:54.663, 0, 111.06, 18, 74047
2026/07/08 19:14:54.664, 1, 81.01, 0, 74047
2026/07/08 19:14:54.914, 0, 133.57, 21, 74047
2026/07/08 19:14:54.914, 1, 81.01, 0, 74047
2026/07/08 19:14:55.164, 0, 124.61, 36, 74047
2026/07/08 19:14:55.164, 1, 81.01, 0, 74047
2026/07/08 19:14:55.414, 0, 135.56, 35, 74047
2026/07/08 19:14:55.414, 1, 81.01, 0, 74047
2026/07/08 19:14:55.664, 0, 132.31, 35, 74047
2026/07/08 19:14:55.665, 1, 81.01, 0, 74047
2026/07/08 19:14:55.915, 0, 133.84, 35, 74047
2026/07/08 19:14:55.915, 1, 81.01, 0, 74047
2026/07/08 19:14:56.165, 0, 134.44, 35, 74047
2026/07/08 19:14:56.165, 1, 81.01, 0, 74047
2026/07/08 19:14:56.415, 0, 140.08, 36, 74047
