bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,2.6498832346337475,315.957,20
0,0.0,5.0,1,sink,0,81.8855,20
1,5.0,10.0,0,source,2.6498832346337475,311.9295,20
1,5.0,10.0,1,sink,0,82.23100000000001,20
2,10.0,15.0,0,source,2.6498832346337475,360.27349999999996,20
2,10.0,15.0,1,sink,0,82.078,20
3,15.0,20.0,0,source,2.6498832346337475,327.02350000000007,20
3,15.0,20.0,1,sink,0,82.12499999999997,20
4,20.0,25.0,0,source,2.6498832346337475,323.6725,20
4,20.0,25.0,1,sink,0,82.16199999999999,20
5,25.0,30.0,0,source,2.6498832346337475,282.8285000000001,20
5,25.0,30.0,1,sink,0,82.189,20
6,30.0,35.0,0,source,2.6498832346337475,363.8125,20
6,30.0,35.0,1,sink,0,82.189,20
7,35.0,40.0,0,source,2.6498832346337475,347.02849999999995,20
7,35.0,40.0,1,sink,0,82.14699999999998,20
8,40.0,45.0,0,source,2.6498832346337475,351.7535000000001,20
8,40.0,45.0,1,sink,0,81.85849999999998,20
9,45.0,50.0,0,source,2.6498832346337475,360.56550000000004,20
9,45.0,50.0,1,sink,0,81.85949999999998,20
10,50.0,55.0,0,source,2.6498832346337475,367.813,20
10,50.0,55.0,1,sink,0,81.8325,20
11,55.0,60.0,0,source,2.6498832346337475,362.93449999999996,20
11,55.0,60.0,1,sink,0,81.898,20
12,60.0,65.0,0,source,2.6498832346337475,327.549,20
12,60.0,65.0,1,sink,0,81.9605,20
13,65.0,70.0,0,source,2.6498832346337475,367.942,20
13,65.0,70.0,1,sink,0,82.03899999999999,20
14,70.0,75.0,0,source,2.6498832346337475,373.809,20
14,70.0,75.0,1,sink,0,82.05149999999999,20
15,75.0,80.0,0,source,2.6498832346337475,363.494,20
15,75.0,80.0,1,sink,0,82.06400000000001,20
16,80.0,85.0,0,source,2.6498832346337475,358.90950000000004,20
16,80.0,85.0,1,sink,0,82.1275,20
17,85.0,90.0,0,source,2.6498832346337475,328.913,20
17,85.0,90.0,1,sink,0,82.128,20
18,90.0,95.0,0,source,2.6498832346337475,356.18049999999994,20
18,90.0,95.0,1,sink,0,82.1845,20
19,95.0,100.0,0,source,2.6498832346337475,366.6645,20
19,95.0,100.0,1,sink,0,82.40599999999999,20
20,100.0,105.0,0,source,2.6498832346337475,327.0565,20
20,100.0,105.0,1,sink,0,82.17949999999999,20
21,105.0,110.0,0,source,2.6498832346337475,316.5855,20
21,105.0,110.0,1,sink,0,81.8975,20
