ts,route,direction,bytes,billed
1783555060.068803,api,client_to_target,48798,1
1783555060.110317,api,target_to_client,149,0
1783555060.121269,kv,client_to_target,186,0
1783555060.121506,kv,target_to_client,36,1
1783555065.734853,api,target_to_client,491,0
1783555065.788304,api,target_to_client,241,0
1783555065.807772,api,target_to_client,241,0
1783555065.827141,api,target_to_client,244,0
1783555065.846451,api,target_to_client,246,0
1783555065.865713,api,target_to_client,244,0
1783555065.885154,api,target_to_client,248,0
1783555065.906292,api,target_to_client,291,0
1783555067.916203,api,client_to_target,48787,1
1783555067.935860,api,target_to_client,149,0
1783555067.945524,kv,client_to_target,186,0
1783555067.945737,kv,target_to_client,36,1
1783555067.946430,kv,client_to_target,186,0
1783555067.946504,kv,target_to_client,36,1
1783555067.947029,kv,client_to_target,186,0
1783555067.947102,kv,target_to_client,36,1
1783555067.947615,kv,client_to_target,186,0
1783555067.947681,kv,target_to_client,36,1
1783555067.948219,kv,client_to_target,186,0
1783555067.948287,kv,target_to_client,36,1
1783555067.948690,kv,client_to_target,186,0
1783555067.948749,kv,target_to_client,36,1
1783555067.949154,kv,client_to_target,186,0
1783555067.949213,kv,target_to_client,36,1
1783555067.949564,kv,client_to_target,186,0
1783555067.949619,kv,target_to_client,36,1
1783555067.949960,kv,client_to_target,186,0
1783555067.950031,kv,target_to_client,36,1
1783555067.950361,kv,client_to_target,186,0
1783555067.950420,kv,target_to_client,36,1
1783555067.958425,kv,client_to_target,186,0
1783555067.958492,kv,target_to_client,36,1
1783555067.958814,kv,client_to_target,186,0
1783555067.958870,kv,target_to_client,36,1
1783555067.959157,kv,client_to_target,186,0
1783555067.959215,kv,target_to_client,36,1
1783555067.959454,kv,client_to_target,186,0
1783555067.959511,kv,target_to_client,36,1
1783555067.959738,kv,client_to_target,186,0
1783555067.959794,kv,target_to_client,36,1
1783555067.960034,kv,client_to_target,186,0
1783555067.960094,kv,target_to_client,36,1
1783555067.960330,kv,client_to_target,186,0
1783555067.960384,kv,target_to_client,36,1
1783555067.960615,kv,client_to_target,186,0
1783555067.960669,kv,target_to_client,36,1
1783555067.960925,kv,client_to_target,186,0
1783555067.960979,kv,target_to_client,36,1
1783555067.961253,kv,client_to_target,186,0
1783555067.961407,kv,target_to_client,36,1
1783555067.961806,kv,target_to_client,22528,1
1783555067.962930,kv,target_to_client,65536,1
1783555067.964056,kv,target_to_client,65536,1
1783555067.965388,kv,target_to_client,65536,1
1783555067.966543,kv,target_to_client,65536,1
1783555067.967690,kv,target_to_client,65536,1
1783555067.968839,kv,target_to_client,65536,1
1783555067.970043,kv,target_to_client,65536,1
1783555067.971196,kv,target_to_client,65536,1
1783555067.972348,kv,target_to_client,65536,1
1783555067.973497,kv,target_to_client,65536,1
1783555067.974698,kv,target_to_client,65536,1
1783555067.975845,kv,target_to_client,65536,1
1783555067.976998,kv,target_to_client,65536,1
1783555067.978142,kv,target_to_client,65536,1
1783555067.979360,kv,target_to_client,65536,1
1783555067.980505,kv,target_to_client,65536,1
1783555067.981655,kv,target_to_client,65536,1
1783555067.982805,kv,target_to_client,65536,1
