bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,2.6498832346337475,334.429,20
0,0.0,5.0,1,sink,0,81.84549999999999,20
1,5.0,10.0,0,source,2.6498832346337475,326.37050000000005,20
1,5.0,10.0,1,sink,0,81.81949999999999,20
2,10.0,15.0,0,source,2.6498832346337475,357.2915,20
2,10.0,15.0,1,sink,0,81.86749999999998,20
3,15.0,20.0,0,source,2.6498832346337475,329.63949999999994,20
3,15.0,20.0,1,sink,0,81.88149999999999,20
4,20.0,25.0,0,source,2.6498832346337475,347.9599999999999,20
4,20.0,25.0,1,sink,0,81.9085,20
5,25.0,30.0,0,source,2.6498832346337475,309.85949999999997,20
5,25.0,30.0,1,sink,0,82.06299999999999,20
6,30.0,35.0,0,source,2.6498832346337475,357.3695,20
6,30.0,35.0,1,sink,0,82.01499999999999,20
7,35.0,40.0,0,source,2.6498832346337475,332.524,20
7,35.0,40.0,1,sink,0,82.02250000000001,20
8,40.0,45.0,0,source,2.6498832346337475,347.78000000000003,20
8,40.0,45.0,1,sink,0,82.0725,20
9,45.0,50.0,0,source,2.6498832346337475,352.57499999999993,20
9,45.0,50.0,1,sink,0,82.21199999999999,20
10,50.0,55.0,0,source,2.6498832346337475,372.80800000000005,20
10,50.0,55.0,1,sink,0,81.94300000000001,20
11,55.0,60.0,0,source,2.6498832346337475,374.3025,20
11,55.0,60.0,1,sink,0,81.70900000000002,20
12,60.0,65.0,0,source,2.6498832346337475,361.296,20
12,60.0,65.0,1,sink,0,81.73200000000001,20
13,65.0,70.0,0,source,2.6498832346337475,369.831,20
13,65.0,70.0,1,sink,0,81.69250000000002,20
14,70.0,75.0,0,source,2.6498832346337475,374.412,20
14,70.0,75.0,1,sink,0,81.72500000000001,20
15,75.0,80.0,0,source,2.6498832346337475,364.27049999999997,20
15,75.0,80.0,1,sink,0,81.76650000000001,20
16,80.0,85.0,0,source,2.6498832346337475,355.729,20
16,80.0,85.0,1,sink,0,81.84100000000001,20
17,85.0,90.0,0,source,2.6498832346337475,340.233,20
17,85.0,90.0,1,sink,0,81.881,20
18,90.0,95.0,0,source,2.6498832346337475,396.6929999999999,20
18,90.0,95.0,1,sink,0,82.02250000000001,20
19,95.0,100.0,0,source,2.6498832346337475,353.16499999999996,20
19,95.0,100.0,1,sink,0,82.01500000000001,20
20,100.0,105.0,0,source,2.6498832346337475,342.30050000000006,20
20,100.0,105.0,1,sink,0,82.05999999999999,20
21,105.0,110.0,0,source,2.6498832346337475,360.21200000000005,20
21,105.0,110.0,1,sink,0,82.226,20
22,110.0,115.0,0,source,2.6498832346337475,345.1245,20
22,110.0,115.0,1,sink,0,82.18249999999998,20
23,115.0,120.0,0,source,2.6498832346337475,382.0745,20
23,115.0,120.0,1,sink,0,82.18050000000001,20
24,120.0,125.0,0,source,2.4566890860744355,387.32250000000005,20
24,120.0,125.0,1,sink,0.19319414855931213,234.72650000000004,20
25,125.0,130.0,0,source,2.4566890860744355,376.837,20
25,125.0,130.0,1,sink,0.19319414855931213,83.00050000000002,20
26,130.0,135.0,0,source,2.4566890860744355,374.39526315789476,19
26,130.0,135.0,1,sink,0.19319414855931213,82.64526315789472,19
27,135.0,140.0,0,source,2.4566890860744355,338.731,20
27,135.0,140.0,1,sink,0.19319414855931213,82.79400000000001,20
28,140.0,145.0,0,source,2.170608843603758,349.05049999999994,20
28,140.0,145.0,1,sink,0.47927439102998926,218.285,20
29,145.0,150.0,0,source,2.170608843603758,353.5185,20
29,145.0,150.0,1,sink,0.47927439102998926,335.361,20
30,150.0,155.0,0,source,2.170608843603758,267.117,20
30,150.0,155.0,1,sink,0.47927439102998926,119.97349999999999,20
31,155.0,160.0,0,source,2.170608843603758,336.123,20
31,155.0,160.0,1,sink,0.47927439102998926,98.454,20
32,160.0,165.0,0,source,2.170608843603758,306.1085,20
32,160.0,165.0,1,sink,0.47927439102998926,326.52149999999995,20
33,165.0,170.0,0,source,2.170608843603758,299.2975,20
33,165.0,170.0,1,sink,0.47927439102998926,292.65899999999993,20
34,170.0,175.0,0,source,2.170608843603758,361.246,20
34,170.0,175.0,1,sink,0.47927439102998926,180.8055,20
35,175.0,180.0,0,source,2.040722168397823,305.17049999999995,20
35,175.0,180.0,1,sink,0.6091610662359246,337.41150000000005,20
36,180.0,185.0,0,source,2.040722168397823,301.89250000000004,20
36,180.0,185.0,1,sink,0.6091610662359246,187.351,20
37,185.0,190.0,0,source,2.040722168397823,331.22849999999994,20
37,185.0,190.0,1,sink,0.6091610662359246,111.62,20
38,190.0,195.0,0,source,1.9826984899464213,178.67350000000002,20
38,190.0,195.0,1,sink,0.6671847446873262,214.09500000000003,20
39,195.0,200.0,0,source,1.9826984899464213,162.91850000000002,20
39,195.0,200.0,1,sink,0.6671847446873262,368.008,20
40,200.0,205.0,0,source,1.9826984899464213,133.83350000000002,20
40,200.0,205.0,1,sink,0.6671847446873262,297.83000000000004,20
41,205.0,210.0,0,source,1.904521871828909,96.6825,20
41,205.0,210.0,1,sink,0.7453613628048386,100.98700000000001,20
42,210.0,215.0,0,source,1.904521871828909,139.8905,20
42,210.0,215.0,1,sink,0.7453613628048386,227.47650000000004,20
43,215.0,220.0,0,source,1.904521871828909,127.79900000000002,20
43,215.0,220.0,1,sink,0.7453613628048386,350.8895,20
44,220.0,225.0,0,source,1.904521871828909,151.17500000000004,20
44,220.0,225.0,1,sink,0.7453613628048386,363.74150000000003,20
45,225.0,230.0,0,source,1.904521871828909,159.39800000000002,20
45,225.0,230.0,1,sink,0.7453613628048386,358.89200000000005,20
46,230.0,235.0,0,source,1.904521871828909,156.0145,20
46,230.0,235.0,1,sink,0.7453613628048386,331.2775,20
47,235.0,240.0,0,source,1.904521871828909,148.24450000000002,20
47,235.0,240.0,1,sink,0.7453613628048386,145.53399999999996,20
48,240.0,245.0,0,source,1.904521871828909,161.624,20
48,240.0,245.0,1,sink,0.7453613628048386,313.85949999999997,20
49,245.0,250.0,0,source,1.904521871828909,152.183,20
49,245.0,250.0,1,sink,0.7453613628048386,317.8985,20
50,250.0,255.0,0,source,1.904521871828909,142.91949999999994,20
50,250.0,255.0,1,sink,0.7453613628048386,330.1435,20
51,255.0,260.0,0,source,1.904521871828909,146.572,20
51,255.0,260.0,1,sink,0.7453613628048386,368.98049999999995,20
52,260.0,265.0,0,source,1.904521871828909,164.64900000000003,20
52,260.0,265.0,1,sink,0.7453613628048386,318.372,20
53,265.0,270.0,0,source,1.904521871828909,151.40900000000002,20
53,265.0,270.0,1,sink,0.7453613628048386,128.99949999999998,20
54,270.0,275.0,0,source,1.904521871828909,152.65750000000003,20
54,270.0,275.0,1,sink,0.7453613628048386,85.60749999999999,20
55,275.0,280.0,0,source,1.904521871828909,115.00900000000001,20
55,275.0,280.0,1,sink,0.7453613628048386,84.73049999999999,20
56,280.0,285.0,0,source,1.904521871828909,120.92049999999999,20
56,280.0,285.0,1,sink,0.7453613628048386,87.394,20
57,285.0,290.0,0,source,1.904521871828909,155.858,20
57,285.0,290.0,1,sink,0.7453613628048386,164.8895,20
58,290.0,295.0,0,source,1.904521871828909,156.5795,20
58,290.0,295.0,1,sink,0.7453613628048386,287.51349999999996,20
59,295.0,300.0,0,source,1.904521871828909,143.27,20
59,295.0,300.0,1,sink,0.7453613628048386,101.61249999999998,20
60,300.0,305.0,0,source,1.904521871828909,165.01600000000002,20
60,300.0,305.0,1,sink,0.7453613628048386,84.32050000000001,20
61,305.0,310.0,0,source,1.904521871828909,170.40849999999998,20
61,305.0,310.0,1,sink,0.7453613628048386,83.958,20
62,310.0,315.0,0,source,1.904521871828909,146.49000000000004,20
62,310.0,315.0,1,sink,0.7453613628048386,86.23150000000001,20
63,315.0,320.0,0,source,1.904521871828909,99.14899999999999,20
63,315.0,320.0,1,sink,0.7453613628048386,83.71849999999998,20
64,320.0,325.0,0,source,1.904521871828909,152.8915,20
64,320.0,325.0,1,sink,0.7453613628048386,297.966,20
65,325.0,330.0,0,source,1.904521871828909,139.54750000000004,20
65,325.0,330.0,1,sink,0.7453613628048386,314.4875,20
66,330.0,335.0,0,source,1.904521871828909,161.01399999999998,20
66,330.0,335.0,1,sink,0.7453613628048386,246.30100000000002,20
67,335.0,340.0,0,source,1.904521871828909,156.0745,20
67,335.0,340.0,1,sink,0.7453613628048386,310.935,20
68,340.0,345.0,0,source,1.904521871828909,152.339,20
68,340.0,345.0,1,sink,0.7453613628048386,352.034,20
69,345.0,350.0,0,source,1.904521871828909,163.62150000000003,20
69,345.0,350.0,1,sink,0.7453613628048386,338.4385,20
70,350.0,353.9426784515381,0,source,1.904521871828909,148.419375,16
70,350.0,353.9426784515381,1,sink,0.7453613628048386,151.26875,16
