bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,2.6498832346337475,329.6855,20
0,0.0,5.0,1,sink,0,82.14199999999998,20
1,5.0,10.0,0,source,2.6498832346337475,334.7545,20
1,5.0,10.0,1,sink,0,82.231,20
2,10.0,15.0,0,source,2.6498832346337475,368.73100000000005,20
2,10.0,15.0,1,sink,0,82.176,20
3,15.0,20.0,0,source,2.6498832346337475,339.2505,20
3,15.0,20.0,1,sink,0,82.0865,20
4,20.0,25.0,0,source,2.6498832346337475,279.6535,20
4,20.0,25.0,1,sink,0,82.1565,20
5,25.0,30.0,0,source,2.6498832346337475,363.4905,20
5,25.0,30.0,1,sink,0,82.205,20
6,30.0,35.0,0,source,2.6498832346337475,368.47549999999995,20
6,30.0,35.0,1,sink,0,82.1845,20
7,35.0,40.0,0,source,2.6498832346337475,345.81899999999996,20
7,35.0,40.0,1,sink,0,82.41299999999998,20
8,40.0,45.0,0,source,2.6498832346337475,293.6965,20
8,40.0,45.0,1,sink,0,82.30549999999998,20
9,45.0,50.0,0,source,2.6498832346337475,376.446,20
9,45.0,50.0,1,sink,0,82.35049999999998,20
10,50.0,55.0,0,source,2.6498832346337475,349.416,20
10,50.0,55.0,1,sink,0,82.40499999999997,20
11,55.0,60.0,0,source,2.6498832346337475,370.49699999999996,20
11,55.0,60.0,1,sink,0,82.502,20
12,60.0,65.0,0,source,2.6498832346337475,375.265,20
12,60.0,65.0,1,sink,0,82.41549999999998,20
13,65.0,70.0,0,source,2.6498832346337475,363.7975,20
13,65.0,70.0,1,sink,0,82.101,20
14,70.0,75.0,0,source,2.6498832346337475,370.449,20
14,70.0,75.0,1,sink,0,82.08,20
15,75.0,80.0,0,source,2.6498832346337475,365.6635,20
15,75.0,80.0,1,sink,0,82.08099999999999,20
16,80.0,85.0,0,source,2.6498832346337475,363.226,20
16,80.0,85.0,1,sink,0,82.13399999999999,20
17,85.0,90.0,0,source,2.6498832346337475,331.257,20
17,85.0,90.0,1,sink,0,82.15450000000001,20
18,90.0,95.0,0,source,2.6498832346337475,364.25250000000005,20
18,90.0,95.0,1,sink,0,82.095,20
19,95.0,100.0,0,source,2.6498832346337475,352.44350000000003,20
19,95.0,100.0,1,sink,0,82.296,20
20,100.0,105.0,0,source,2.6498832346337475,360.83900000000006,20
20,100.0,105.0,1,sink,0,82.17999999999999,20
21,105.0,110.0,0,source,2.6498832346337475,311.4615,20
21,105.0,110.0,1,sink,0,82.33599999999998,20
22,110.0,115.0,0,source,2.6498832346337475,323.4150000000001,20
22,110.0,115.0,1,sink,0,82.3725,20
23,115.0,120.0,0,source,2.6498832346337475,354.85499999999996,20
23,115.0,120.0,1,sink,0,82.37849999999999,20
24,120.0,125.0,0,source,2.6498832346337475,379.9355,20
24,120.0,125.0,1,sink,0,82.46099999999998,20
25,125.0,130.0,0,source,2.6498832346337475,366.9799999999999,20
25,125.0,130.0,1,sink,0,82.4385,20
26,130.0,135.0,0,source,2.6498832346337475,361.70050000000003,20
26,130.0,135.0,1,sink,0,82.335,20
27,135.0,140.0,0,source,2.6498832346337475,258.289,20
27,135.0,140.0,1,sink,0,82.191,20
28,140.0,145.0,0,source,2.6498832346337475,333.41700000000003,20
28,140.0,145.0,1,sink,0,82.07149999999999,20
29,145.0,150.0,0,source,0.13620029656891397,152.20049999999998,20
29,145.0,150.0,1,sink,2.5136829380648336,219.3995,20
30,150.0,155.0,0,source,0.13620029656891397,91.93849999999999,20
30,150.0,155.0,1,sink,2.5136829380648336,349.24449999999996,20
31,155.0,160.0,0,source,0.13620029656891397,90.8095,20
31,155.0,160.0,1,sink,2.5136829380648336,367.36850000000004,20
32,160.0,165.0,0,source,0.13620029656891397,89.60799999999999,20
32,160.0,165.0,1,sink,2.5136829380648336,354.264,20
33,165.0,170.0,0,source,0.13620029656891397,89.2825,20
33,165.0,170.0,1,sink,2.5136829380648336,356.53200000000004,20
34,170.0,175.0,0,source,0.13620029656891397,89.0485,20
34,170.0,175.0,1,sink,2.5136829380648336,358.81450000000007,20
35,175.0,180.0,0,source,0.13620029656891397,89.1765,20
35,175.0,180.0,1,sink,2.5136829380648336,155.77049999999997,20
36,180.0,185.0,0,source,0.13620029656891397,89.16,20
36,180.0,185.0,1,sink,2.5136829380648336,228.2315,20
37,185.0,190.0,0,source,0.13620029656891397,89.059,20
37,185.0,190.0,1,sink,2.5136829380648336,139.5285,20
38,190.0,195.0,0,source,0.13620029656891397,89.35449999999999,20
38,190.0,195.0,1,sink,2.5136829380648336,173.815,20
39,195.0,200.0,0,source,0.13620029656891397,102.42699999999999,20
39,195.0,200.0,1,sink,2.5136829380648336,220.12349999999998,20
40,200.0,205.0,0,source,0.13620029656891397,88.57650000000001,20
40,200.0,205.0,1,sink,2.5136829380648336,283.4785,20
41,205.0,210.0,0,source,0.13620029656891397,90.38450000000002,20
41,205.0,210.0,1,sink,2.5136829380648336,95.60199999999999,20
42,210.0,215.0,0,source,0.13620029656891397,87.932,20
42,210.0,215.0,1,sink,2.5136829380648336,278.38500000000005,20
43,215.0,220.0,0,source,0.13620029656891397,91.034,20
43,215.0,220.0,1,sink,2.5136829380648336,148.301,20
44,220.0,225.0,0,source,0.13620029656891397,87.8575,20
44,220.0,225.0,1,sink,2.5136829380648336,226.84199999999996,20
45,225.0,230.0,0,source,0.13620029656891397,87.37894736842105,19
45,225.0,230.0,1,sink,2.5136829380648336,341.571052631579,19
46,230.0,235.0,0,source,0.13620029656891397,87.37650000000001,20
46,230.0,235.0,1,sink,2.5136829380648336,274.29200000000003,20
47,235.0,240.0,0,source,0.13620029656891397,87.3955,20
47,235.0,240.0,1,sink,2.5136829380648336,350.16700000000003,20
48,240.0,245.0,0,source,0.13620029656891397,87.5145,20
48,240.0,245.0,1,sink,2.5136829380648336,339.198,20
49,245.0,250.0,0,source,0.13620029656891397,87.721,20
49,245.0,250.0,1,sink,2.5136829380648336,308.308,20
50,250.0,255.0,0,source,0.13620029656891397,87.6885,20
50,250.0,255.0,1,sink,2.5136829380648336,324.98300000000006,20
51,255.0,260.0,0,source,0.13620029656891397,87.87500000000001,20
51,255.0,260.0,1,sink,2.5136829380648336,349.256,20
52,260.0,265.0,0,source,0.13620029656891397,87.8805,20
52,260.0,265.0,1,sink,2.5136829380648336,327.672,20
53,265.0,270.0,0,source,0.13620029656891397,88.01500000000001,20
53,265.0,270.0,1,sink,2.5136829380648336,327.7655,20
54,270.0,275.0,0,source,0.13620029656891397,88.12400000000002,20
54,270.0,275.0,1,sink,2.5136829380648336,338.66700000000003,20
55,275.0,280.0,0,source,0.13620029656891397,88.491,20
55,275.0,280.0,1,sink,2.5136829380648336,286.907,20
56,280.0,285.0,0,source,0.13620029656891397,93.90100000000001,20
56,280.0,285.0,1,sink,2.5136829380648336,322.2255,20
57,285.0,290.0,0,source,0.13620029656891397,88.46200000000002,20
