bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,2.6498832346337475,323.16400000000004,20
0,0.0,5.0,1,sink,0,82.47599999999997,20
1,5.0,10.0,0,source,2.6498832346337475,306.5514999999999,20
1,5.0,10.0,1,sink,0,82.6005,20
2,10.0,15.0,0,source,2.6498832346337475,346.4695,20
2,10.0,15.0,1,sink,0,82.60799999999999,20
3,15.0,20.0,0,source,2.6498832346337475,377.0135,20
3,15.0,20.0,1,sink,0,82.69300000000001,20
4,20.0,25.0,0,source,2.6498832346337475,338.5045,20
4,20.0,25.0,1,sink,0,82.73600000000002,20
5,25.0,30.0,0,source,2.6498832346337475,279.5136842105262,19
5,25.0,30.0,1,sink,0,82.55052631578947,19
6,30.0,35.0,0,source,2.6498832346337475,353.597,20
6,30.0,35.0,1,sink,0,82.327,20
7,35.0,40.0,0,source,2.6498832346337475,355.427,20
7,35.0,40.0,1,sink,0,82.40899999999996,20
8,40.0,45.0,0,source,2.6498832346337475,355.556,20
8,40.0,45.0,1,sink,0,82.42699999999999,20
9,45.0,50.0,0,source,2.6498832346337475,344.005,20
9,45.0,50.0,1,sink,0,82.45849999999999,20
10,50.0,55.0,0,source,2.6498832346337475,354.50750000000005,20
10,50.0,55.0,1,sink,0,82.50999999999999,20
11,55.0,60.0,0,source,2.6498832346337475,349.5855,20
11,55.0,60.0,1,sink,0,82.71199999999999,20
12,60.0,65.0,0,source,2.6498832346337475,347.208,20
12,60.0,65.0,1,sink,0,82.54750000000001,20
13,65.0,70.0,0,source,2.6498832346337475,381.0425,20
13,65.0,70.0,1,sink,0,82.53900000000002,20
14,70.0,75.0,0,source,2.6498832346337475,369.89300000000003,20
14,70.0,75.0,1,sink,0,82.61999999999998,20
15,75.0,80.0,0,source,2.6498832346337475,354.158,20
15,75.0,80.0,1,sink,0,82.68400000000001,20
16,80.0,85.0,0,source,2.6498832346337475,309.78950000000003,20
16,80.0,85.0,1,sink,0,82.72349999999999,20
17,85.0,90.0,0,source,2.6498832346337475,364.295,20
17,85.0,90.0,1,sink,0,82.93500000000002,20
18,90.0,95.0,0,source,2.6498832346337475,318.5375,20
18,90.0,95.0,1,sink,0,82.799,20
19,95.0,100.0,0,source,2.6498832346337475,360.26599999999996,20
19,95.0,100.0,1,sink,0,82.35999999999999,20
20,100.0,105.0,0,source,2.6498832346337475,318.7735,20
20,100.0,105.0,1,sink,0,82.35949999999998,20
21,105.0,110.0,0,source,2.6498832346337475,340.1785,20
21,105.0,110.0,1,sink,0,82.41850000000001,20
22,110.0,115.0,0,source,2.6498832346337475,346.1555,20
22,110.0,115.0,1,sink,0,82.4965,20
23,115.0,120.0,0,source,2.6498832346337475,358.1940000000001,20
23,115.0,120.0,1,sink,0,82.62,20
24,120.0,125.0,0,source,2.6498832346337475,380.8535,20
24,120.0,125.0,1,sink,0,82.478,20
25,125.0,130.0,0,source,2.6498832346337475,374.8235,20
25,125.0,130.0,1,sink,0,82.499,20
26,130.0,135.0,0,source,2.6498832346337475,357.632,20
26,130.0,135.0,1,sink,0,82.59199999999998,20
27,135.0,140.0,0,source,2.6498832346337475,314.33750000000003,20
27,135.0,140.0,1,sink,0,82.58050000000001,20
28,140.0,145.0,0,source,2.6498832346337475,374.437,20
28,140.0,145.0,1,sink,0,82.63650000000001,20
29,145.0,150.0,0,source,0.7453613628048386,261.258,20
29,145.0,150.0,1,sink,1.904521871828909,225.5985,20
30,150.0,155.0,0,source,0.7453613628048386,320.79499999999996,20
30,150.0,155.0,1,sink,1.904521871828909,345.03650000000005,20
31,155.0,160.0,0,source,0.7453613628048386,265.62,20
31,155.0,160.0,1,sink,1.904521871828909,345.38849999999996,20
32,160.0,165.0,0,source,0.7453613628048386,323.416,20
32,160.0,165.0,1,sink,1.904521871828909,242.64199999999997,20
33,165.0,170.0,0,source,0.7453613628048386,286.839,20
33,165.0,170.0,1,sink,1.904521871828909,120.14349999999999,20
34,170.0,175.0,0,source,0.7453613628048386,210.88900000000004,20
34,170.0,175.0,1,sink,1.904521871828909,244.18799999999996,20
35,175.0,180.0,0,source,0.7453613628048386,98.3665,20
35,175.0,180.0,1,sink,1.904521871828909,190.89450000000002,20
36,180.0,185.0,0,source,0.7453613628048386,129.96949999999998,20
36,180.0,185.0,1,sink,1.904521871828909,287.55799999999994,20
37,185.0,190.0,0,source,0.7453613628048386,101.662,20
37,185.0,190.0,1,sink,1.904521871828909,99.196,20
38,190.0,195.0,0,source,0.7453613628048386,277.6795,20
38,190.0,195.0,1,sink,1.904521871828909,314.21400000000006,20
39,195.0,200.0,0,source,0.7453613628048386,352.815,20
39,195.0,200.0,1,sink,1.904521871828909,215.37449999999998,20
40,200.0,205.0,0,source,0.7453613628048386,297.552,20
40,200.0,205.0,1,sink,1.904521871828909,293.6675,20
41,205.0,210.0,0,source,0.7453613628048386,126.16400000000002,20
41,205.0,210.0,1,sink,1.904521871828909,314.07249999999993,20
42,210.0,215.0,0,source,0.7453613628048386,359.7795,20
42,210.0,215.0,1,sink,1.904521871828909,218.98300000000003,20
43,215.0,220.0,0,source,0.7453613628048386,325.9195000000001,20
43,215.0,220.0,1,sink,1.904521871828909,302.79350000000005,20
44,220.0,225.0,0,source,0.7453613628048386,295.85350000000005,20
44,220.0,225.0,1,sink,1.904521871828909,165.48000000000002,20
45,225.0,230.0,0,source,0.7453613628048386,192.24849999999998,20
45,225.0,230.0,1,sink,1.904521871828909,330.2625,20
46,230.0,235.0,0,source,0.7453613628048386,195.1835,20
46,230.0,235.0,1,sink,1.904521871828909,276.6714999999999,20
47,235.0,240.0,0,source,0.7453613628048386,267.0725,20
47,235.0,240.0,1,sink,1.904521871828909,218.10999999999999,20
48,240.0,245.0,0,source,0.7453613628048386,328.42300000000006,20
48,240.0,245.0,1,sink,1.904521871828909,145.73749999999998,20
49,245.0,250.0,0,source,0.7453613628048386,309.51349999999996,20
49,245.0,250.0,1,sink,1.904521871828909,138.983,20
50,250.0,255.0,0,source,0.7453613628048386,371.76849999999996,20
50,250.0,255.0,1,sink,1.904521871828909,122.652,20
51,255.0,260.0,0,source,0.7453613628048386,334.9125,20
51,255.0,260.0,1,sink,1.904521871828909,120.34200000000001,20
52,260.0,265.0,0,source,0.7453613628048386,264.94650000000007,20
52,260.0,265.0,1,sink,1.904521871828909,151.8735,20
53,265.0,270.0,0,source,0.7453613628048386,94.07300000000001,20
53,265.0,270.0,1,sink,1.904521871828909,101.33149999999999,20
54,270.0,275.0,0,source,0.7453613628048386,92.05499999999998,20
54,270.0,275.0,1,sink,1.904521871828909,150.7605,20
55,275.0,280.0,0,source,0.7453613628048386,91.07421052631581,19
55,275.0,280.0,1,sink,1.904521871828909,132.59315789473686,19
56,280.0,285.0,0,source,0.7453613628048386,94.154,20
56,280.0,285.0,1,sink,1.904521871828909,135.4195,20
57,285.0,290.0,0,source,0.7453613628048386,204.16199999999998,20
57,285.0,290.0,1,sink,1.904521871828909,131.406,20
58,290.0,295.0,0,source,0.7453613628048386,274.55199999999996,20
58,290.0,295.0,1,sink,1.904521871828909,135.1765,20
59,295.0,300.0,0,source,0.7453613628048386,91.07249999999999,20
59,295.0,300.0,1,sink,1.904521871828909,120.54299999999998,20
60,300.0,305.0,0,source,0.7453613628048386,90.04699999999998,20
60,300.0,305.0,1,sink,1.904521871828909,136.877,20
61,305.0,306.1849753856659,0,source,0.7453613628048386,89.678,5
61,305.0,306.1849753856659,1,sink,1.904521871828909,160.618,5
