ts,route,direction,bytes,billed
1783581045.389590,api,client_to_target,32630,1
1783581045.390803,api,client_to_target,48517,1
1783581045.390848,api,client_to_target,48800,1
1783581045.390895,api,client_to_target,48662,1
1783581045.464103,api,target_to_client,149,0
1783581045.468657,api,target_to_client,149,0
1783581045.468722,api,target_to_client,149,0
1783581045.468807,api,target_to_client,149,0
1783581045.482727,kv,client_to_target,186,0
1783581045.483125,kv,target_to_client,36,1
1783581046.844687,kv,client_to_target,186,0
1783581046.845051,kv,target_to_client,36,1
1783581048.546113,api,target_to_client,491,0
1783581049.394071,api,target_to_client,241,0
1783581051.146396,api,target_to_client,241,0
1783581051.147598,kv,client_to_target,186,0
1783581051.147959,kv,target_to_client,36,1
1783581053.602026,api,target_to_client,244,0
1783581053.602116,api,target_to_client,491,0
1783581054.499078,api,target_to_client,246,0
1783581054.499126,api,target_to_client,241,0
1783581056.302245,api,target_to_client,244,0
1783581056.302600,api,target_to_client,241,0
1783581056.304709,kv,client_to_target,186,0
1783581056.305126,kv,target_to_client,36,1
1783581058.700114,api,target_to_client,248,0
1783581058.700214,api,target_to_client,491,0
1783581058.700260,api,target_to_client,244,0
1783581059.635734,api,target_to_client,243,0
1783581059.635808,api,target_to_client,241,0
1783581059.635851,api,target_to_client,246,0
1783581061.474860,api,target_to_client,246,0
1783581061.474950,api,target_to_client,241,0
1783581061.475028,api,target_to_client,244,0
1783581063.713025,api,target_to_client,250,0
1783581063.713118,api,target_to_client,244,0
1783581063.713169,api,target_to_client,491,0
1783581063.713210,api,target_to_client,248,0
1783581063.776645,api,target_to_client,249,0
1783581063.776712,api,target_to_client,246,0
1783581063.776753,api,target_to_client,241,0
1783581063.776787,api,target_to_client,243,0
1783581063.796543,api,target_to_client,244,0
1783581063.796607,api,target_to_client,244,0
1783581063.796647,api,target_to_client,241,0
1783581063.796681,api,target_to_client,246,0
1783581063.816388,api,target_to_client,244,0
1783581063.816451,api,target_to_client,248,0
1783581063.816492,api,target_to_client,244,0
1783581063.816530,api,target_to_client,247,0
1783581063.837694,api,target_to_client,242,0
1783581063.837758,api,target_to_client,291,0
1783581063.837799,api,target_to_client,246,0
1783581063.837832,api,target_to_client,244,0
1783581063.857818,api,target_to_client,243,0
1783581063.857881,api,target_to_client,248,0
1783581063.857924,api,target_to_client,246,0
1783581063.877757,api,target_to_client,245,0
1783581063.877821,api,target_to_client,243,0
1783581063.877862,api,target_to_client,246,0
1783581063.897686,api,target_to_client,244,0
1783581063.897751,api,target_to_client,246,0
1783581063.897794,api,target_to_client,247,0
1783581063.917630,api,target_to_client,245,0
1783581063.917693,api,target_to_client,247,0
1783581063.917735,api,target_to_client,244,0
1783581063.937476,api,target_to_client,245,0
1783581063.937541,api,target_to_client,244,0
1783581063.937583,api,target_to_client,244,0
1783581063.957819,api,target_to_client,243,0
1783581063.957883,api,target_to_client,246,0
1783581063.957925,api,target_to_client,243,0
1783581063.977813,api,target_to_client,242,0
1783581063.977877,api,target_to_client,246,0
1783581063.977917,api,target_to_client,250,0
1783581063.997719,api,target_to_client,243,0
1783581063.997782,api,target_to_client,247,0
1783581063.997823,api,target_to_client,249,0
1783581064.017609,api,target_to_client,243,0
1783581064.017673,api,target_to_client,244,0
1783581064.017715,api,target_to_client,244,0
1783581064.037493,api,target_to_client,242,0
1783581064.037558,api,target_to_client,244,0
1783581064.037599,api,target_to_client,244,0
1783581064.057376,api,target_to_client,243,0
1783581064.057439,api,target_to_client,243,0
1783581064.057478,api,target_to_client,242,0
1783581064.077120,api,target_to_client,242,0
1783581064.077180,api,target_to_client,250,0
1783581064.077236,api,target_to_client,243,0
1783581064.102350,api,target_to_client,242,0
1783581064.102411,api,target_to_client,249,0
1783581064.102453,api,target_to_client,245,0
1783581064.122880,api,target_to_client,244,0
1783581064.122941,api,target_to_client,244,0
1783581064.122980,api,target_to_client,246,0
1783581064.142942,api,target_to_client,242,0
1783581064.143029,api,target_to_client,244,0
1783581064.143069,api,target_to_client,253,0
1783581064.162726,api,target_to_client,243,0
1783581064.162794,api,target_to_client,242,0
1783581064.162831,api,target_to_client,242,0
1783581064.183050,api,target_to_client,244,0
1783581064.183111,api,target_to_client,243,0
1783581064.183149,api,target_to_client,246,0
1783581064.203048,api,target_to_client,242,0
1783581064.203110,api,target_to_client,245,0
1783581064.203149,api,target_to_client,246,0
1783581064.222830,api,target_to_client,244,0
1783581064.222890,api,target_to_client,246,0
1783581064.222927,api,target_to_client,243,0
1783581064.242558,api,target_to_client,242,0
1783581064.242617,api,target_to_client,253,0
1783581064.242655,api,target_to_client,249,0
1783581064.262428,api,target_to_client,243,0
1783581064.262489,api,target_to_client,242,0
1783581064.262528,api,target_to_client,250,0
1783581064.282238,api,target_to_client,244,0
1783581064.282298,api,target_to_client,246,0
1783581064.282336,api,target_to_client,250,0
1783581064.302037,api,target_to_client,242,0
1783581064.302099,api,target_to_client,248,0
1783581064.302139,api,target_to_client,242,0
1783581064.322274,api,target_to_client,242,0
1783581064.322335,api,target_to_client,246,0
1783581064.322373,api,target_to_client,245,0
1783581064.342106,api,target_to_client,243,0
1783581064.342166,api,target_to_client,243,0
1783581064.342204,api,target_to_client,244,0
1783581064.361887,api,target_to_client,243,0
1783581064.361947,api,target_to_client,249,0
1783581064.362011,api,target_to_client,246,0
1783581064.381691,api,target_to_client,243,0
1783581064.381750,api,target_to_client,250,0
1783581064.381789,api,target_to_client,246,0
1783581064.401491,api,target_to_client,242,0
1783581064.401551,api,target_to_client,250,0
1783581064.401591,api,target_to_client,243,0
1783581064.421354,api,target_to_client,242,0
1783581064.421415,api,target_to_client,242,0
1783581064.421452,api,target_to_client,248,0
1783581064.441097,api,target_to_client,243,0
1783581064.441157,api,target_to_client,245,0
1783581064.441195,api,target_to_client,248,0
1783581064.460916,api,target_to_client,245,0
1783581064.460975,api,target_to_client,253,0
1783581064.461045,api,target_to_client,242,0
