bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,6.0,310.149,20
0,0.0,5.0,1,sink,0,85.76200000000001,20
1,5.0,10.0,0,source,6.0,368.1685,20
1,5.0,10.0,1,sink,0,85.60449999999999,20
2,10.0,15.0,0,source,6.0,277.1605,20
2,10.0,15.0,1,sink,0,85.69949999999999,20
3,15.0,20.0,0,source,6.0,346.30349999999993,20
3,15.0,20.0,1,sink,0,85.79499999999999,20
4,20.0,25.0,0,source,6.0,324.569,20
4,20.0,25.0,1,sink,0,85.80149999999999,20
5,25.0,30.0,0,source,6.0,354.492,20
5,25.0,30.0,1,sink,0,85.71749999999999,20
6,30.0,35.0,0,source,6.0,371.37800000000004,20
6,30.0,35.0,1,sink,0,327.1395,20
7,35.0,40.0,0,source,6.0,345.75800000000004,20
7,35.0,40.0,1,sink,0,154.88699999999997,20
8,40.0,45.0,0,source,6.0,347.28499999999997,20
8,40.0,45.0,1,sink,0,87.327,20
9,45.0,50.0,0,source,6.0,371.6770000000001,20
9,45.0,50.0,1,sink,0,86.77499999999998,20
10,50.0,55.0,0,source,6.0,352.5949999999999,20
10,50.0,55.0,1,sink,0,86.64450000000002,20
11,55.0,60.0,0,source,6.0,333.78150000000005,20
11,55.0,60.0,1,sink,0,86.49050000000001,20
12,60.0,65.0,0,source,6.0,336.25249999999994,20
12,60.0,65.0,1,sink,0,86.5125,20
13,65.0,70.0,0,source,6.0,358.4831578947368,19
13,65.0,70.0,1,sink,0,86.20894736842104,19
14,70.0,75.0,0,source,6.0,356.8805,20
14,70.0,75.0,1,sink,0,85.85299999999998,20
15,75.0,80.0,0,source,6.0,374.69050000000004,20
15,75.0,80.0,1,sink,0,86.02199999999998,20
16,80.0,85.0,0,source,6.0,383.36350000000004,20
16,80.0,85.0,1,sink,0,85.83949999999999,20
17,85.0,90.0,0,source,6.0,375.534,20
17,85.0,90.0,1,sink,0,85.8415,20
18,90.0,95.0,0,source,6.0,380.58399999999995,20
18,90.0,95.0,1,sink,0,85.85849999999998,20
19,95.0,100.0,0,source,6.0,356.52799999999996,20
