ts,route,direction,bytes,billed
1783807189.004008,api,client_to_target,48307,1
1783807189.042644,api,target_to_client,149,0
1783807189.053607,kv,client_to_target,186,0
1783807189.054107,kv,target_to_client,36,1
1783807194.470827,api,target_to_client,491,0
1783807194.533297,api,target_to_client,241,0
1783807194.606117,api,target_to_client,241,0
1783807194.625652,api,target_to_client,244,0
1783807194.644565,api,target_to_client,246,0
1783807194.663454,api,target_to_client,244,0
1783807194.682570,api,target_to_client,248,0
1783807194.701553,api,target_to_client,243,0
1783807194.720716,api,target_to_client,246,0
1783807194.739716,api,target_to_client,248,0
1783807194.758712,api,target_to_client,244,0
1783807194.810483,api,target_to_client,244,0
1783807194.834390,api,target_to_client,242,0
1783807194.861083,api,target_to_client,243,0
1783807194.880234,api,target_to_client,250,0
1783807194.899568,api,target_to_client,246,0
1783807194.918343,api,target_to_client,247,0
1783807194.937169,api,target_to_client,242,0
1783807194.956221,api,target_to_client,246,0
1783807194.975146,api,target_to_client,246,0
1783807194.993891,api,target_to_client,253,0
1783807195.012889,api,target_to_client,242,0
1783807195.031863,api,target_to_client,246,0
1783807195.050887,api,target_to_client,246,0
1783807195.069980,api,target_to_client,243,0
1783807195.088958,api,target_to_client,249,0
1783807195.107930,api,target_to_client,250,0
1783807195.126876,api,target_to_client,250,0
1783807195.145957,api,target_to_client,242,0
1783807195.164821,api,target_to_client,245,0
1783807195.184278,api,target_to_client,244,0
1783807195.202951,api,target_to_client,246,0
1783807195.221869,api,target_to_client,246,0
1783807195.240849,api,target_to_client,243,0
1783807195.259726,api,target_to_client,248,0
1783807195.278813,api,target_to_client,248,0
1783807195.297708,api,target_to_client,242,0
1783807195.316554,api,target_to_client,245,0
1783807195.335379,api,target_to_client,249,0
1783807195.354339,api,target_to_client,242,0
1783807195.373213,api,target_to_client,244,0
1783807195.392046,api,target_to_client,245,0
1783807195.411010,api,target_to_client,245,0
1783807195.430805,api,target_to_client,243,0
1783807195.450625,api,target_to_client,242,0
1783807195.470037,api,target_to_client,243,0
1783807195.489194,api,target_to_client,242,0
1783807195.508347,api,target_to_client,244,0
1783807195.527257,api,target_to_client,242,0
1783807195.546391,api,target_to_client,242,0
1783807195.567276,api,target_to_client,243,0
1783807195.587400,api,target_to_client,244,0
1783807195.607569,api,target_to_client,242,0
1783807195.627622,api,target_to_client,242,0
1783807195.647597,api,target_to_client,243,0
1783807195.669281,api,target_to_client,242,0
1783807195.688399,api,target_to_client,242,0
1783807195.707486,api,target_to_client,243,0
1783807195.726619,api,target_to_client,242,0
1783807195.745750,api,target_to_client,242,0
1783807195.764623,api,target_to_client,242,0
1783807195.783887,api,target_to_client,244,0
1783807195.802633,api,target_to_client,242,0
1783807195.821809,api,target_to_client,244,0
1783807195.840814,api,target_to_client,242,0
1783807195.859465,api,target_to_client,243,0
1783807195.878205,api,target_to_client,242,0
1783807195.897067,api,target_to_client,242,0
1783807195.915973,api,target_to_client,242,0
1783807195.934843,api,target_to_client,242,0
1783807195.953675,api,target_to_client,243,0
1783807195.972380,api,target_to_client,245,0
1783807195.991255,api,target_to_client,242,0
1783807196.010042,api,target_to_client,246,0
1783807196.028975,api,target_to_client,246,0
1783807196.047746,api,target_to_client,243,0
1783807196.066685,api,target_to_client,249,0
1783807196.085460,api,target_to_client,250,0
1783807196.104198,api,target_to_client,250,0
1783807196.123023,api,target_to_client,242,0
1783807196.141979,api,target_to_client,244,0
1783807196.160860,api,target_to_client,244,0
1783807196.179671,api,target_to_client,248,0
1783807196.198490,api,target_to_client,249,0
1783807196.217408,api,target_to_client,246,0
1783807196.236283,api,target_to_client,251,0
1783807196.255074,api,target_to_client,246,0
1783807196.273787,api,target_to_client,244,0
1783807196.292806,api,target_to_client,249,0
1783807196.311559,api,target_to_client,242,0
1783807196.330265,api,target_to_client,242,0
1783807196.349100,api,target_to_client,242,0
1783807196.367782,api,target_to_client,242,0
1783807196.386604,api,target_to_client,250,0
1783807196.405439,api,target_to_client,244,0
1783807196.424164,api,target_to_client,245,0
1783807196.443019,api,target_to_client,247,0
1783807196.461729,api,target_to_client,246,0
1783807196.480591,api,target_to_client,246,0
1783807196.562806,api,target_to_client,243,0
1783807196.674698,api,target_to_client,250,0
1783807196.695018,api,target_to_client,248,0
1783807196.722290,api,target_to_client,242,0
1783807196.741117,api,target_to_client,245,0
1783807196.759892,api,target_to_client,246,0
1783807196.784452,api,target_to_client,246,0
1783807196.803247,api,target_to_client,244,0
1783807196.825031,api,target_to_client,246,0
1783807196.843760,api,target_to_client,246,0
1783807196.862547,api,target_to_client,245,0
1783807196.882226,api,target_to_client,249,0
1783807196.901091,api,target_to_client,250,0
1783807196.919849,api,target_to_client,250,0
1783807196.938624,api,target_to_client,244,0
1783807196.957363,api,target_to_client,244,0
1783807196.976085,api,target_to_client,244,0
1783807196.997685,api,target_to_client,248,0
1783807197.016601,api,target_to_client,246,0
1783807197.035299,api,target_to_client,243,0
1783807197.054102,api,target_to_client,248,0
1783807197.074495,api,target_to_client,250,0
1783807197.101782,api,target_to_client,252,0
1783807197.120619,api,target_to_client,250,0
1783807197.139512,api,target_to_client,242,0
1783807197.158590,api,target_to_client,244,0
1783807197.177358,api,target_to_client,247,0
1783807197.196226,api,target_to_client,246,0
1783807197.214900,api,target_to_client,245,0
1783807197.233946,api,target_to_client,248,0
1783807197.253232,api,target_to_client,250,0
1783807197.272197,api,target_to_client,242,0
1783807197.291441,api,target_to_client,244,0
1783807197.311681,api,target_to_client,245,0
1783807197.330678,api,target_to_client,245,0
1783807197.349655,api,target_to_client,244,0
1783807197.368689,api,target_to_client,249,0
1783807197.387635,api,target_to_client,242,0
1783807197.406640,api,target_to_client,242,0
1783807197.427087,api,target_to_client,242,0
1783807197.446023,api,target_to_client,242,0
1783807197.464947,api,target_to_client,250,0
1783807197.483876,api,target_to_client,244,0
1783807197.502924,api,target_to_client,244,0
1783807197.521834,api,target_to_client,244,0
1783807197.540709,api,target_to_client,249,0
1783807197.559625,api,target_to_client,242,0
1783807197.590117,api,target_to_client,242,0
1783807197.608858,api,target_to_client,242,0
1783807197.627645,api,target_to_client,242,0
1783807197.646499,api,target_to_client,244,0
1783807197.665282,api,target_to_client,245,0
1783807197.684150,api,target_to_client,247,0
1783807197.703042,api,target_to_client,244,0
1783807197.721882,api,target_to_client,245,0
1783807197.752676,api,target_to_client,245,0
1783807197.772835,api,target_to_client,244,0
