bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,5.65625323043163,242.79249999999996,20
0,0.0,5.0,1,sink,0,85.453,20
1,5.0,10.0,0,source,5.65625323043163,225.0975,20
1,5.0,10.0,1,sink,0,85.6025,20
2,10.0,15.0,0,source,5.65625323043163,203.78199999999998,20
2,10.0,15.0,1,sink,0,85.4365,20
3,15.0,20.0,0,source,5.65625323043163,206.7385,20
3,15.0,20.0,1,sink,0,85.20549999999999,20
4,20.0,25.0,0,source,5.65625323043163,172.79000000000002,20
4,20.0,25.0,1,sink,0,85.29799999999999,20
5,25.0,30.0,0,source,5.65625323043163,175.65949999999998,20
5,25.0,30.0,1,sink,0,85.26149999999998,20
6,30.0,35.0,0,source,5.65625323043163,201.34949999999998,20
6,30.0,35.0,1,sink,0,133.362,20
7,35.0,40.0,0,source,5.65625323043163,172.929,20
7,35.0,40.0,1,sink,0,112.694,20
8,40.0,45.0,0,source,4.427485705231204,194.1155,20
8,40.0,45.0,1,sink,1.228767525200426,212.199,20
9,45.0,50.0,0,source,3.83277768338523,174.105,20
9,45.0,50.0,1,sink,1.8234755470464,241.8825,20
10,50.0,55.0,0,source,3.83277768338523,175.752,20
10,50.0,55.0,1,sink,1.8234755470464,246.5755,20
11,55.0,60.0,0,source,3.1820172853322806,155.96900000000002,20
11,55.0,60.0,1,sink,2.474235945099349,249.59150000000005,20
12,60.0,65.0,0,source,3.1820172853322806,148.5136842105263,19
12,60.0,65.0,1,sink,2.474235945099349,276.0694736842105,19
13,65.0,70.0,0,source,2.4320172853322806,122.0135,20
13,65.0,70.0,1,sink,3.224235945099349,252.4665,20
14,70.0,75.0,0,source,1.6820172853322806,113.14850000000001,20
14,70.0,75.0,1,sink,3.974235945099349,332.531,20
15,75.0,80.0,0,source,1.2330038776983798,128.4625,20
15,75.0,80.0,1,sink,4.42324935273325,293.21000000000004,20
16,80.0,85.0,0,source,1.2330038776983798,128.00150000000002,20
16,80.0,85.0,1,sink,4.42324935273325,312.59650000000005,20
17,85.0,90.0,0,source,0.5762777560751724,111.25399999999999,20
17,85.0,90.0,1,sink,5.079975474356457,317.358,20
18,90.0,95.0,0,source,0.5762777560751724,106.44499999999998,20
18,90.0,95.0,1,sink,5.079975474356457,308.46999999999997,20
19,95.0,100.0,0,source,0.5762777560751724,93.424,20
19,95.0,100.0,1,sink,5.079975474356457,254.16800000000003,20
20,100.0,105.0,0,source,0.5762777560751724,121.5195,20
20,100.0,105.0,1,sink,5.079975474356457,331.70900000000006,20
21,105.0,110.0,0,source,0.5762777560751724,108.42249999999999,20
21,105.0,110.0,1,sink,5.079975474356457,265.5775,20
22,110.0,115.0,0,source,0.5762777560751724,88.55050000000001,20
22,110.0,115.0,1,sink,5.079975474356457,315.63050000000004,20
23,115.0,116.75490069389343,0,source,0.5762777560751724,88.11,7
23,115.0,116.75490069389343,1,sink,5.079975474356457,298.6328571428571,7
