ts,route,direction,bytes,billed
1783720049.766082,api,client_to_target,48445,1
1783720049.805803,api,target_to_client,149,0
1783720049.819807,kv,client_to_target,186,0
1783720049.820260,kv,target_to_client,36,1
1783720055.218069,api,target_to_client,491,0
1783720055.264420,api,target_to_client,241,0
1783720055.283017,api,target_to_client,241,0
1783720055.301589,api,target_to_client,244,0
1783720055.320253,api,target_to_client,246,0
1783720055.338799,api,target_to_client,244,0
1783720055.357422,api,target_to_client,248,0
1783720055.376096,api,target_to_client,243,0
1783720055.395951,api,target_to_client,246,0
1783720055.414598,api,target_to_client,248,0
1783720055.433318,api,target_to_client,244,0
1783720055.452103,api,target_to_client,244,0
1783720055.515644,api,target_to_client,242,0
1783720055.535824,api,target_to_client,243,0
1783720055.554499,api,target_to_client,250,0
1783720055.573503,api,target_to_client,246,0
1783720055.591718,api,target_to_client,247,0
1783720055.610484,api,target_to_client,242,0
1783720055.629152,api,target_to_client,246,0
1783720055.648010,api,target_to_client,246,0
1783720055.666602,api,target_to_client,253,0
1783720055.685434,api,target_to_client,242,0
1783720055.726536,api,target_to_client,246,0
1783720055.746104,api,target_to_client,246,0
1783720055.764807,api,target_to_client,243,0
1783720055.861881,api,target_to_client,249,0
1783720055.880525,api,target_to_client,250,0
1783720055.899075,api,target_to_client,250,0
1783720055.917661,api,target_to_client,242,0
1783720055.936402,api,target_to_client,245,0
1783720055.954870,api,target_to_client,244,0
1783720055.973652,api,target_to_client,246,0
1783720055.992094,api,target_to_client,246,0
1783720056.010730,api,target_to_client,243,0
1783720056.029330,api,target_to_client,248,0
1783720056.048025,api,target_to_client,248,0
1783720056.066427,api,target_to_client,242,0
1783720056.085294,api,target_to_client,245,0
1783720056.103534,api,target_to_client,246,0
1783720056.122279,api,target_to_client,246,0
1783720056.140734,api,target_to_client,244,0
1783720056.159305,api,target_to_client,246,0
1783720056.177812,api,target_to_client,246,0
1783720056.196748,api,target_to_client,245,0
1783720056.215076,api,target_to_client,249,0
1783720056.233744,api,target_to_client,250,0
1783720056.252219,api,target_to_client,250,0
1783720056.271087,api,target_to_client,244,0
1783720056.289643,api,target_to_client,244,0
1783720056.308095,api,target_to_client,244,0
1783720056.326557,api,target_to_client,248,0
1783720056.345503,api,target_to_client,249,0
1783720056.364184,api,target_to_client,246,0
1783720056.382766,api,target_to_client,243,0
1783720056.401341,api,target_to_client,248,0
1783720056.420027,api,target_to_client,250,0
1783720056.438811,api,target_to_client,248,0
1783720056.457429,api,target_to_client,246,0
1783720056.476023,api,target_to_client,250,0
1783720056.494660,api,target_to_client,242,0
1783720056.513151,api,target_to_client,250,0
1783720056.531783,api,target_to_client,251,0
1783720056.550480,api,target_to_client,246,0
1783720056.569489,api,target_to_client,244,0
1783720056.588189,api,target_to_client,249,0
1783720056.606263,api,target_to_client,242,0
1783720056.624785,api,target_to_client,242,0
1783720056.643340,api,target_to_client,243,0
1783720056.661884,api,target_to_client,242,0
1783720056.680904,api,target_to_client,250,0
1783720056.699575,api,target_to_client,244,0
1783720056.717944,api,target_to_client,245,0
1783720056.736447,api,target_to_client,244,0
1783720056.754925,api,target_to_client,247,0
1783720056.773704,api,target_to_client,246,0
1783720056.792078,api,target_to_client,248,0
1783720056.810720,api,target_to_client,250,0
1783720056.829259,api,target_to_client,242,0
1783720056.847960,api,target_to_client,245,0
1783720056.866585,api,target_to_client,246,0
1783720056.885507,api,target_to_client,246,0
1783720056.927739,api,target_to_client,243,0
1783720056.946936,api,target_to_client,246,0
1783720056.965503,api,target_to_client,248,0
1783720056.983931,api,target_to_client,244,0
1783720057.002583,api,target_to_client,243,0
1783720057.020952,api,target_to_client,243,0
1783720057.039459,api,target_to_client,242,0
1783720057.058111,api,target_to_client,247,0
1783720057.076651,api,target_to_client,254,0
1783720057.095109,api,target_to_client,243,0
1783720057.113747,api,target_to_client,250,0
1783720057.132232,api,target_to_client,245,0
1783720057.150719,api,target_to_client,242,0
1783720057.169176,api,target_to_client,245,0
1783720057.188874,api,target_to_client,248,0
1783720057.207246,api,target_to_client,244,0
1783720057.225923,api,target_to_client,251,0
1783720057.244737,api,target_to_client,246,0
1783720057.262968,api,target_to_client,242,0
1783720057.281527,api,target_to_client,245,0
1783720057.299899,api,target_to_client,246,0
1783720057.318519,api,target_to_client,247,0
1783720057.336782,api,target_to_client,246,0
1783720057.355269,api,target_to_client,243,0
1783720057.373621,api,target_to_client,250,0
1783720057.392446,api,target_to_client,248,0
1783720057.410944,api,target_to_client,242,0
1783720057.429501,api,target_to_client,245,0
1783720057.447875,api,target_to_client,246,0
1783720057.466780,api,target_to_client,244,0
1783720057.485087,api,target_to_client,245,0
1783720057.503621,api,target_to_client,244,0
1783720057.522277,api,target_to_client,244,0
1783720057.541030,api,target_to_client,245,0
1783720057.559350,api,target_to_client,244,0
1783720057.577775,api,target_to_client,249,0
1783720057.596299,api,target_to_client,242,0
1783720057.614720,api,target_to_client,242,0
1783720057.633098,api,target_to_client,244,0
1783720057.651521,api,target_to_client,242,0
1783720057.669928,api,target_to_client,250,0
1783720057.688649,api,target_to_client,244,0
1783720057.707198,api,target_to_client,245,0
1783720057.725617,api,target_to_client,247,0
1783720057.744134,api,target_to_client,244,0
1783720057.762572,api,target_to_client,248,0
1783720057.781257,api,target_to_client,245,0
1783720057.799663,api,target_to_client,244,0
1783720057.818290,api,target_to_client,249,0
1783720057.836667,api,target_to_client,242,0
1783720057.855258,api,target_to_client,242,0
1783720057.873736,api,target_to_client,243,0
1783720057.892212,api,target_to_client,242,0
1783720057.910785,api,target_to_client,250,0
1783720057.929396,api,target_to_client,244,0
1783720057.948045,api,target_to_client,245,0
1783720057.966441,api,target_to_client,252,0
1783720057.984897,api,target_to_client,244,0
1783720058.003336,api,target_to_client,244,0
1783720058.021760,api,target_to_client,243,0
1783720058.040293,api,target_to_client,242,0
1783720058.058732,api,target_to_client,243,0
1783720058.077132,api,target_to_client,242,0
1783720058.095534,api,target_to_client,244,0
1783720058.114058,api,target_to_client,242,0
1783720058.132596,api,target_to_client,242,0
1783720058.151060,api,target_to_client,243,0
1783720058.169478,api,target_to_client,244,0
1783720058.188115,api,target_to_client,242,0
1783720058.206549,api,target_to_client,242,0
1783720058.225115,api,target_to_client,243,0
1783720058.243645,api,target_to_client,242,0
1783720058.262199,api,target_to_client,242,0
1783720058.280750,api,target_to_client,243,0
1783720058.299367,api,target_to_client,242,0
1783720058.317782,api,target_to_client,242,0
1783720058.336215,api,target_to_client,242,0
1783720058.354863,api,target_to_client,244,0
1783720058.373327,api,target_to_client,242,0
1783720058.391754,api,target_to_client,244,0
