bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,6.0,354.7805,20
0,0.0,5.0,1,sink,0,87.02099999999999,20
1,5.0,10.0,0,source,6.0,339.7025,20
1,5.0,10.0,1,sink,0,86.93799999999999,20
2,10.0,15.0,0,source,6.0,371.177,20
2,10.0,15.0,1,sink,0,86.51449999999998,20
3,15.0,20.0,0,source,6.0,346.9045,20
3,15.0,20.0,1,sink,0,86.5045,20
4,20.0,25.0,0,source,6.0,365.6031578947369,19
4,20.0,25.0,1,sink,0,86.6278947368421,19
5,25.0,30.0,0,source,6.0,347.3085,20
5,25.0,30.0,1,sink,0,86.55249999999998,20
6,30.0,35.0,0,source,6.0,370.08150000000006,20
6,30.0,35.0,1,sink,0,86.713,20
7,35.0,40.0,0,source,6.0,339.784,20
7,35.0,40.0,1,sink,0,86.64550000000001,20
8,40.0,45.0,0,source,6.0,375.474,20
8,40.0,45.0,1,sink,0,86.67200000000001,20
9,45.0,50.0,0,source,6.0,386.695,20
9,45.0,50.0,1,sink,0,86.73800000000001,20
10,50.0,55.0,0,source,6.0,341.9585,20
10,50.0,55.0,1,sink,0,86.822,20
11,55.0,60.0,0,source,6.0,370.30049999999994,20
11,55.0,60.0,1,sink,0,86.777,20
12,60.0,65.0,0,source,6.0,372.797,20
12,60.0,65.0,1,sink,0,86.86799999999998,20
13,65.0,70.0,0,source,6.0,313.51300000000003,20
13,65.0,70.0,1,sink,0,86.8555,20
14,70.0,75.0,0,source,6.0,363.1755,20
14,70.0,75.0,1,sink,0,87.14599999999999,20
15,75.0,80.0,0,source,6.0,331.095,20
15,75.0,80.0,1,sink,0,86.66100000000002,20
16,80.0,85.0,0,source,6.0,345.43500000000006,20
16,80.0,85.0,1,sink,0,86.46200000000002,20
17,85.0,90.0,0,source,6.0,344.13149999999996,20
17,85.0,90.0,1,sink,0,86.5595,20
18,90.0,95.0,0,source,6.0,332.7225,20
18,90.0,95.0,1,sink,0,86.596,20
19,95.0,100.0,0,source,6.0,366.7625,20
19,95.0,100.0,1,sink,0,86.51749999999998,20
20,100.0,105.0,0,source,6.0,379.77368421052637,19
20,100.0,105.0,1,sink,0,86.65947368421052,19
21,105.0,110.0,0,source,6.0,384.82399999999996,20
21,105.0,110.0,1,sink,0,86.6045,20
22,110.0,115.0,0,source,6.0,372.27750000000003,20
22,110.0,115.0,1,sink,0,86.70899999999999,20
23,115.0,120.0,0,source,6.0,349.8925,20
23,115.0,120.0,1,sink,0,86.71899999999998,20
24,120.0,125.0,0,source,6.0,364.647,20
24,120.0,125.0,1,sink,0,86.905,20
25,125.0,130.0,0,source,6.0,400.0295,20
25,125.0,130.0,1,sink,0,86.88,20
26,130.0,135.0,0,source,6.0,344.69849999999997,20
26,130.0,135.0,1,sink,0,86.87249999999999,20
27,135.0,140.0,0,source,6.0,341.7510000000001,20
27,135.0,140.0,1,sink,0,87.04549999999999,20
28,140.0,145.0,0,source,6.0,368.878,20
28,140.0,145.0,1,sink,0,86.94449999999999,20
29,145.0,150.0,0,source,6.0,381.35450000000003,20
29,145.0,150.0,1,sink,0,192.21249999999998,20
30,150.0,155.0,0,source,6.0,391.9865,20
30,150.0,155.0,1,sink,0,87.37899999999999,20
31,155.0,160.0,0,source,6.0,353.97400000000005,20
31,155.0,160.0,1,sink,0,87.02099999999999,20
32,160.0,165.0,0,source,6.0,374.963,20
32,160.0,165.0,1,sink,0,86.8425,20
33,165.0,170.0,0,source,6.0,361.231,20
33,165.0,170.0,1,sink,0,86.819,20
34,170.0,175.0,0,source,6.0,353.347,20
34,170.0,175.0,1,sink,0,86.71199999999999,20
35,175.0,180.0,0,source,3.0,272.7555,20
35,175.0,180.0,1,sink,3.0,86.80850000000001,20
36,180.0,185.0,0,source,2.25,265.9275,20
36,180.0,185.0,1,sink,3.75,232.72500000000005,20
37,185.0,190.0,0,source,1.5,362.321,20
37,185.0,190.0,1,sink,4.5,87.80450000000002,20
38,190.0,195.0,0,source,1.5,319.348,20
38,190.0,195.0,1,sink,4.5,87.39000000000001,20
39,195.0,200.0,0,source,1.5,282.555,20
39,195.0,200.0,1,sink,4.5,87.30749999999999,20
40,200.0,205.0,0,source,1.5,283.4515,20
40,200.0,205.0,1,sink,4.5,87.2655,20
41,205.0,210.0,0,source,1.5,341.59400000000005,20
41,205.0,210.0,1,sink,4.5,276.59499999999997,20
42,210.0,215.0,0,source,1.5,260.473,20
42,210.0,215.0,1,sink,4.5,328.6085,20
43,215.0,215.53181719779968,0,source,1.5,361.32500000000005,2
43,215.0,215.53181719779968,1,sink,4.5,363.73,2
