ts,route,direction,bytes,billed
1783664245.837553,api,client_to_target,142,1
1783664245.838185,api,client_to_target,7176,1
1783664245.838428,api,client_to_target,10443,1
1783664245.838844,api,client_to_target,6640,1
1783664245.838876,api,client_to_target,8550,1
1783664245.838961,api,client_to_target,7966,1
1783664245.840118,api,client_to_target,9827,1
1783664245.878705,api,target_to_client,149,0
1783664245.880281,api,target_to_client,149,0
1783664245.880320,api,target_to_client,149,0
1783664245.880341,api,target_to_client,149,0
1783664245.880357,api,target_to_client,149,0
1783664245.880702,api,target_to_client,149,0
1783664245.887734,kv,client_to_target,186,0
1783664245.888116,kv,target_to_client,36,1
1783664245.888673,kv,client_to_target,186,0
1783664245.888877,kv,target_to_client,36,1
1783664245.889318,kv,client_to_target,186,0
1783664245.889471,kv,target_to_client,36,1
1783664245.889848,kv,client_to_target,186,0
1783664245.890012,kv,target_to_client,36,1
1783664245.890344,kv,client_to_target,186,0
1783664245.890468,kv,target_to_client,36,1
1783664245.890719,kv,client_to_target,186,0
1783664245.890835,kv,target_to_client,36,1
1783664245.891091,kv,client_to_target,186,0
1783664245.891210,kv,target_to_client,36,1
1783664245.891433,kv,client_to_target,186,0
1783664245.891546,kv,target_to_client,36,1
1783664245.891761,kv,client_to_target,186,0
1783664245.891871,kv,target_to_client,36,1
1783664245.892115,kv,client_to_target,186,0
1783664245.892231,kv,target_to_client,36,1
1783664245.892456,kv,client_to_target,186,0
1783664245.892568,kv,target_to_client,36,1
1783664245.892783,kv,client_to_target,186,0
1783664245.892881,kv,target_to_client,36,1
1783664245.893101,kv,client_to_target,186,0
1783664245.893198,kv,target_to_client,36,1
1783664245.893391,kv,client_to_target,186,0
1783664245.893489,kv,target_to_client,36,1
1783664245.904567,kv,client_to_target,186,0
1783664245.904688,kv,target_to_client,36,1
1783664245.904894,kv,client_to_target,186,0
1783664245.904968,kv,target_to_client,36,1
1783664245.905147,kv,client_to_target,186,0
1783664245.905216,kv,target_to_client,36,1
1783664245.905373,kv,client_to_target,186,0
1783664245.905441,kv,target_to_client,36,1
1783664245.905634,kv,client_to_target,186,0
1783664245.905699,kv,target_to_client,36,1
1783664245.905877,kv,client_to_target,186,0
1783664245.905954,kv,target_to_client,36,1
1783664245.906338,kv,client_to_target,186,0
1783664245.906417,kv,target_to_client,36,1
1783664245.906596,kv,client_to_target,186,0
1783664245.906667,kv,target_to_client,36,1
1783664245.906919,kv,client_to_target,186,0
1783664245.907004,kv,target_to_client,36,1
1783664245.907256,kv,client_to_target,186,0
1783664245.907346,kv,target_to_client,36,1
1783664245.907601,kv,client_to_target,186,0
1783664245.907694,kv,target_to_client,36,1
1783664245.907943,kv,client_to_target,186,0
1783664245.908038,kv,target_to_client,36,1
1783664245.908300,kv,client_to_target,186,0
1783664245.908371,kv,target_to_client,36,1
1783664245.908611,kv,client_to_target,186,0
1783664245.908684,kv,target_to_client,36,1
1783664245.908925,kv,client_to_target,186,0
1783664245.909686,kv,target_to_client,22564,1
1783664245.910824,kv,target_to_client,65536,1
1783664245.911946,kv,target_to_client,65536,1
1783664245.913427,kv,target_to_client,65536,1
1783664245.914555,kv,target_to_client,65536,1
1783664245.915673,kv,target_to_client,65536,1
1783664245.916800,kv,target_to_client,65536,1
1783664245.918102,kv,target_to_client,65536,1
1783664245.919230,kv,target_to_client,65536,1
1783664245.920346,kv,target_to_client,65536,1
1783664245.921471,kv,target_to_client,65536,1
1783664245.922713,kv,target_to_client,65536,1
1783664245.923834,kv,target_to_client,65536,1
1783664245.924951,kv,target_to_client,65536,1
1783664245.926085,kv,target_to_client,65536,1
1783664245.927318,kv,target_to_client,65536,1
1783664245.928442,kv,target_to_client,65536,1
1783664245.929563,kv,target_to_client,65536,1
1783664245.930690,kv,target_to_client,65536,1
1783664245.931918,kv,target_to_client,65536,1
1783664245.933024,kv,target_to_client,65536,1
1783664245.934140,kv,target_to_client,65536,1
1783664245.935266,kv,target_to_client,65536,1
1783664245.936493,kv,target_to_client,65536,1
1783664245.937615,kv,target_to_client,65536,1
1783664245.938734,kv,target_to_client,65536,1
1783664245.939862,kv,target_to_client,65536,1
1783664245.941100,kv,target_to_client,65536,1
1783664245.942222,kv,target_to_client,65536,1
1783664245.943340,kv,target_to_client,65536,1
1783664245.944464,kv,target_to_client,65536,1
1783664245.945689,kv,target_to_client,65536,1
1783664245.946809,kv,target_to_client,65536,1
1783664245.947926,kv,target_to_client,65536,1
1783664245.949029,kv,target_to_client,65536,1
1783664245.950248,kv,target_to_client,65536,1
1783664245.951368,kv,target_to_client,65536,1
1783664245.952484,kv,target_to_client,65536,1
1783664245.953609,kv,target_to_client,65536,1
1783664245.954830,kv,target_to_client,65536,1
1783664245.955953,kv,target_to_client,65536,1
1783664245.957076,kv,target_to_client,65536,1
1783664245.958200,kv,target_to_client,65536,1
1783664245.959422,kv,target_to_client,65536,1
1783664245.960544,kv,target_to_client,65536,1
1783664245.961660,kv,target_to_client,65536,1
1783664245.962784,kv,target_to_client,65536,1
1783664245.963962,kv,target_to_client,65536,1
1783664245.965093,kv,target_to_client,65536,1
1783664245.966210,kv,target_to_client,65536,1
1783664245.967333,kv,target_to_client,65536,1
1783664245.968548,kv,target_to_client,65536,1
1783664245.969669,kv,target_to_client,65536,1
1783664245.970785,kv,target_to_client,65536,1
1783664245.971908,kv,target_to_client,65536,1
1783664245.973135,kv,target_to_client,65536,1
1783664245.974253,kv,target_to_client,65536,1
1783664245.975369,kv,target_to_client,65536,1
1783664245.976490,kv,target_to_client,65536,1
1783664245.977705,kv,target_to_client,65536,1
1783664245.978827,kv,target_to_client,65536,1
1783664245.979942,kv,target_to_client,65536,1
1783664245.981022,kv,target_to_client,65536,1
1783664245.982240,kv,target_to_client,65536,1
1783664245.983359,kv,target_to_client,65536,1
1783664245.984474,kv,target_to_client,65536,1
1783664245.985600,kv,target_to_client,65536,1
1783664245.986817,kv,target_to_client,65536,1
1783664245.987936,kv,target_to_client,65536,1
1783664245.989023,kv,target_to_client,65536,1
1783664245.990146,kv,target_to_client,65536,1
1783664245.991367,kv,target_to_client,65536,1
1783664245.992486,kv,target_to_client,65536,1
1783664245.993603,kv,target_to_client,65536,1
1783664245.994728,kv,target_to_client,65536,1
1783664245.995948,kv,target_to_client,65536,1
1783664245.997019,kv,target_to_client,65536,1
1783664245.998136,kv,target_to_client,65536,1
1783664245.999259,kv,target_to_client,65536,1
1783664246.000476,kv,target_to_client,65536,1
1783664246.001596,kv,target_to_client,65536,1
1783664246.002712,kv,target_to_client,65536,1
1783664246.003835,kv,target_to_client,65536,1
1783664246.005029,kv,target_to_client,65536,1
1783664246.006149,kv,target_to_client,65536,1
1783664246.007267,kv,target_to_client,65536,1
1783664246.008392,kv,target_to_client,65536,1
1783664246.009612,kv,target_to_client,65536,1
1783664246.010735,kv,target_to_client,65536,1
1783664246.011865,kv,target_to_client,65536,1
1783664246.013019,kv,target_to_client,65536,1
1783664246.014274,kv,target_to_client,65536,1
1783664246.015415,kv,target_to_client,65536,1
1783664246.016552,kv,target_to_client,65536,1
1783664246.017676,kv,target_to_client,65536,1
1783664246.018894,kv,target_to_client,65536,1
1783664246.020033,kv,target_to_client,65536,1
1783664246.021166,kv,target_to_client,65536,1
1783664246.022309,kv,target_to_client,65536,1
1783664246.023558,kv,target_to_client,65536,1
1783664246.024696,kv,target_to_client,65536,1
1783664246.025829,kv,target_to_client,65536,1
1783664246.026971,kv,target_to_client,65536,1
1783664246.028229,kv,target_to_client,65536,1
1783664246.029352,kv,target_to_client,65536,1
1783664246.030447,kv,target_to_client,65536,1
1783664246.031566,kv,target_to_client,65536,1
1783664246.032820,kv,target_to_client,65536,1
1783664246.033961,kv,target_to_client,65536,1
1783664246.035104,kv,target_to_client,65536,1
1783664246.036247,kv,target_to_client,65536,1
1783664246.037489,kv,target_to_client,65536,1
1783664246.038630,kv,target_to_client,65536,1
1783664246.039766,kv,target_to_client,65536,1
1783664246.040907,kv,target_to_client,65536,1
1783664246.042161,kv,target_to_client,65536,1
1783664246.043302,kv,target_to_client,65536,1
1783664246.044437,kv,target_to_client,65536,1
1783664246.045583,kv,target_to_client,65536,1
1783664246.046829,kv,target_to_client,65536,1
1783664246.047971,kv,target_to_client,65536,1
1783664246.049129,kv,target_to_client,65536,1
1783664246.050274,kv,target_to_client,65536,1
1783664246.051523,kv,target_to_client,65536,1
1783664246.052661,kv,target_to_client,65536,1
1783664246.053792,kv,target_to_client,65536,1
1783664246.054933,kv,target_to_client,65536,1
1783664246.056187,kv,target_to_client,65536,1
1783664246.057329,kv,target_to_client,65536,1
1783664246.058465,kv,target_to_client,65536,1
1783664246.059610,kv,target_to_client,65536,1
1783664246.060852,kv,target_to_client,65536,1
1783664246.062000,kv,target_to_client,65536,1
1783664246.063132,kv,target_to_client,65536,1
1783664246.064251,kv,target_to_client,65536,1
1783664246.065494,kv,target_to_client,65536,1
1783664246.066631,kv,target_to_client,65536,1
1783664246.067765,kv,target_to_client,65536,1
1783664246.068907,kv,target_to_client,65536,1
1783664246.070159,kv,target_to_client,65536,1
1783664246.071299,kv,target_to_client,65536,1
1783664246.072432,kv,target_to_client,65536,1
1783664246.073575,kv,target_to_client,65536,1
1783664246.074819,kv,target_to_client,65536,1
1783664246.075955,kv,target_to_client,65536,1
1783664246.077096,kv,target_to_client,65536,1
1783664246.078241,kv,target_to_client,65536,1
1783664246.079529,kv,target_to_client,65536,1
1783664246.080669,kv,target_to_client,65536,1
1783664246.081807,kv,target_to_client,65536,1
1783664246.082955,kv,target_to_client,65536,1
1783664246.084218,kv,target_to_client,65536,1
1783664246.085363,kv,target_to_client,65536,1
1783664246.086499,kv,target_to_client,65536,1
1783664246.087645,kv,target_to_client,65536,1
1783664246.088903,kv,target_to_client,65536,1
1783664246.090033,kv,target_to_client,65536,1
1783664246.091169,kv,target_to_client,65536,1
1783664246.092319,kv,target_to_client,65536,1
1783664246.093570,kv,target_to_client,65536,1
1783664246.094709,kv,target_to_client,65536,1
1783664246.095844,kv,target_to_client,65536,1
1783664246.097004,kv,target_to_client,65536,1
1783664246.098255,kv,target_to_client,65536,1
1783664246.099398,kv,target_to_client,65536,1
1783664246.100533,kv,target_to_client,65536,1
1783664246.101680,kv,target_to_client,65536,1
1783664246.102929,kv,target_to_client,65536,1
1783664246.104038,kv,target_to_client,65536,1
1783664246.105177,kv,target_to_client,65536,1
1783664246.106325,kv,target_to_client,65536,1
1783664246.107572,kv,target_to_client,65536,1
1783664246.108714,kv,target_to_client,65536,1
1783664246.109851,kv,target_to_client,65536,1
1783664246.111006,kv,target_to_client,65536,1
1783664246.112259,kv,target_to_client,65536,1
1783664246.113400,kv,target_to_client,65536,1
1783664246.114535,kv,target_to_client,65536,1
1783664246.115682,kv,target_to_client,65536,1
1783664246.116931,kv,target_to_client,65536,1
1783664246.118039,kv,target_to_client,65536,1
1783664246.119177,kv,target_to_client,65536,1
1783664246.120324,kv,target_to_client,65536,1
1783664246.121576,kv,target_to_client,65536,1
1783664246.122717,kv,target_to_client,65536,1
1783664246.123856,kv,target_to_client,65536,1
1783664246.125011,kv,target_to_client,65536,1
1783664246.126265,kv,target_to_client,65536,1
1783664246.127406,kv,target_to_client,65536,1
1783664246.128545,kv,target_to_client,65536,1
1783664246.129694,kv,target_to_client,65536,1
1783664246.130858,kv,target_to_client,65536,1
1783664246.132000,kv,target_to_client,43008,1
1783664246.132441,kv,client_to_target,186,0
1783664246.132819,kv,target_to_client,36,1
1783664246.133966,kv,target_to_client,65536,1
1783664246.135114,kv,target_to_client,65536,1
1783664246.136267,kv,target_to_client,65536,1
1783664246.137402,kv,target_to_client,65536,1
1783664246.138741,kv,target_to_client,65536,1
1783664246.139887,kv,target_to_client,65536,1
1783664246.141029,kv,target_to_client,65536,1
1783664246.142177,kv,target_to_client,65536,1
1783664246.143475,kv,target_to_client,65536,1
1783664246.144617,kv,target_to_client,65536,1
1783664246.145754,kv,target_to_client,65536,1
1783664246.146903,kv,target_to_client,65536,1
1783664246.148197,kv,target_to_client,65536,1
1783664246.149346,kv,target_to_client,65536,1
1783664246.150486,kv,target_to_client,65536,1
1783664246.151635,kv,target_to_client,65536,1
1783664246.152918,kv,target_to_client,65536,1
1783664246.154034,kv,target_to_client,65536,1
1783664246.155171,kv,target_to_client,65536,1
1783664246.156318,kv,target_to_client,65536,1
1783664246.157598,kv,target_to_client,65536,1
1783664246.158742,kv,target_to_client,65536,1
1783664246.159883,kv,target_to_client,65536,1
1783664246.161031,kv,target_to_client,65536,1
1783664246.162312,kv,target_to_client,65536,1
1783664246.163460,kv,target_to_client,65536,1
1783664246.164598,kv,target_to_client,65536,1
1783664246.165750,kv,target_to_client,65536,1
1783664246.167031,kv,target_to_client,65536,1
1783664246.168179,kv,target_to_client,65536,1
1783664246.169318,kv,target_to_client,65536,1
1783664246.170465,kv,target_to_client,65536,1
1783664246.171741,kv,target_to_client,65536,1
1783664246.172885,kv,target_to_client,65536,1
1783664246.174032,kv,target_to_client,65536,1
1783664246.175180,kv,target_to_client,65536,1
1783664246.176454,kv,target_to_client,65536,1
1783664246.177598,kv,target_to_client,65536,1
1783664246.178736,kv,target_to_client,65536,1
1783664246.179889,kv,target_to_client,65536,1
1783664246.181172,kv,target_to_client,65536,1
1783664246.182318,kv,target_to_client,65536,1
1783664246.183456,kv,target_to_client,65536,1
1783664246.184604,kv,target_to_client,65536,1
1783664246.185887,kv,target_to_client,65536,1
1783664246.187035,kv,target_to_client,65536,1
1783664246.188179,kv,target_to_client,65536,1
1783664246.189328,kv,target_to_client,65536,1
1783664246.190610,kv,target_to_client,65536,1
1783664246.191753,kv,target_to_client,65536,1
1783664246.192893,kv,target_to_client,65536,1
1783664246.194030,kv,target_to_client,65536,1
1783664246.195303,kv,target_to_client,65536,1
1783664246.196447,kv,target_to_client,65536,1
1783664246.197585,kv,target_to_client,65536,1
