bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,5.65625323043163,248.04899999999998,20
0,0.0,5.0,1,sink,0,83.9985,20
1,5.0,10.0,0,source,5.65625323043163,236.5645,20
1,5.0,10.0,1,sink,0,84.14349999999999,20
2,10.0,15.0,0,source,5.65625323043163,239.439,20
2,10.0,15.0,1,sink,0,84.20899999999999,20
3,15.0,20.0,0,source,5.65625323043163,213.10299999999998,20
3,15.0,20.0,1,sink,0,84.23300000000002,20
4,20.0,25.0,0,source,5.65625323043163,194.91199999999998,20
4,20.0,25.0,1,sink,0,84.436,20
5,25.0,30.0,0,source,5.65625323043163,185.7535,20
5,25.0,30.0,1,sink,0,84.298,20
6,30.0,35.0,0,source,5.65625323043163,205.308,20
6,30.0,35.0,1,sink,0,137.878,20
7,35.0,40.0,0,source,4.975841195395073,171.0435,20
7,35.0,40.0,1,sink,0.6804120350365566,84.20950000000002,20
8,40.0,45.0,0,source,4.427485705231204,181.49200000000002,20
8,40.0,45.0,1,sink,1.228767525200426,160.73600000000002,20
9,45.0,50.0,0,source,4.427485705231204,178.31050000000002,20
9,45.0,50.0,1,sink,1.228767525200426,95.88499999999999,20
10,50.0,55.0,0,source,3.83277768338523,181.887,20
10,50.0,55.0,1,sink,1.8234755470464,93.01150000000001,20
11,55.0,60.0,0,source,3.83277768338523,167.74900000000002,20
11,55.0,60.0,1,sink,1.8234755470464,139.35350000000003,20
12,60.0,65.0,0,source,3.1820172853322806,156.22750000000002,20
12,60.0,65.0,1,sink,2.474235945099349,117.51699999999997,20
13,65.0,70.0,0,source,3.1820172853322806,132.6275,20
13,65.0,70.0,1,sink,2.474235945099349,136.76899999999998,20
14,70.0,75.0,0,source,3.1820172853322806,144.721,20
14,70.0,75.0,1,sink,2.474235945099349,132.16500000000002,20
15,75.0,80.0,0,source,2.4320172853322806,138.90894736842102,19
15,75.0,80.0,1,sink,3.224235945099349,117.49947368421054,19
16,80.0,85.0,0,source,2.4320172853322806,149.71300000000002,20
16,80.0,85.0,1,sink,3.224235945099349,124.75,20
17,85.0,90.0,0,source,1.6820172853322806,128.9445,20
17,85.0,90.0,1,sink,3.974235945099349,141.75050000000002,20
18,90.0,95.0,0,source,1.2330038776983798,140.13449999999997,20
18,90.0,95.0,1,sink,4.42324935273325,113.70199999999997,20
19,95.0,100.0,0,source,1.2330038776983798,117.4315,20
19,95.0,100.0,1,sink,4.42324935273325,155.99800000000002,20
20,100.0,105.0,0,source,0.5762777560751724,109.24249999999999,20
20,100.0,105.0,1,sink,5.079975474356457,106.6865,20
21,105.0,110.0,0,source,0.5762777560751724,111.285,20
21,105.0,110.0,1,sink,5.079975474356457,158.16400000000002,20
22,110.0,115.0,0,source,0.5762777560751724,104.31000000000002,20
22,110.0,115.0,1,sink,5.079975474356457,157.055,20
23,115.0,120.0,0,source,0.5762777560751724,87.7885,20
23,115.0,120.0,1,sink,5.079975474356457,150.244,20
24,120.0,125.0,0,source,0.5762777560751724,87.213,20
24,120.0,125.0,1,sink,5.079975474356457,149.67600000000002,20
25,125.0,130.0,0,source,0.5762777560751724,115.181,20
25,125.0,130.0,1,sink,5.079975474356457,138.527,20
26,130.0,131.68776631355286,0,source,0.5762777560751724,87.12,7
26,130.0,131.68776631355286,1,sink,5.079975474356457,142.61285714285714,7
