ts,route,direction,bytes,billed
1783958278.872047,api,client_to_target,7942,1
1783958278.876995,api,target_to_client,149,0
1783958278.879708,kv,client_to_target,186,0
1783958278.879900,kv,target_to_client,36,1
1783958279.162810,api,target_to_client,539,0
1783958279.211455,api,client_to_target,9377,1
1783958279.216631,api,target_to_client,149,0
1783958279.219217,kv,client_to_target,186,0
1783958279.219337,kv,target_to_client,36,1
1783958279.562820,api,target_to_client,539,0
1783958280.542003,api,client_to_target,9377,1
1783958280.550499,api,target_to_client,149,0
1783958280.553489,kv,client_to_target,186,0
1783958280.553696,kv,target_to_client,36,1
1783958280.897340,api,target_to_client,539,0
1783958280.931900,api,client_to_target,9285,1
1783958280.936655,api,target_to_client,149,0
1783958280.939556,kv,client_to_target,186,0
1783958280.939670,kv,target_to_client,36,1
1783958281.278425,api,target_to_client,491,0
1783958281.297096,api,target_to_client,241,0
1783958281.315634,api,target_to_client,241,0
1783958281.334003,api,target_to_client,243,0
1783958281.352317,api,target_to_client,246,0
1783958281.370807,api,target_to_client,243,0
1783958281.389279,api,target_to_client,254,0
1783958281.407681,api,target_to_client,246,0
1783958281.426124,api,target_to_client,243,0
1783958281.445850,api,target_to_client,246,0
1783958281.464341,api,target_to_client,245,0
1783958281.482750,api,target_to_client,244,0
1783958281.501206,api,target_to_client,248,0
1783958281.519644,api,target_to_client,244,0
1783958281.538133,api,target_to_client,245,0
1783958281.556539,api,target_to_client,245,0
1783958281.574958,api,target_to_client,243,0
1783958281.593400,api,target_to_client,243,0
1783958281.611806,api,target_to_client,252,0
1783958281.630263,api,target_to_client,245,0
1783958281.650024,api,target_to_client,243,0
1783958281.668486,api,target_to_client,246,0
1783958281.686887,api,target_to_client,248,0
1783958281.705395,api,target_to_client,244,0
1783958281.723886,api,target_to_client,244,0
1783958281.742352,api,target_to_client,242,0
1783958281.760779,api,target_to_client,243,0
1783958281.779353,api,target_to_client,252,0
1783958281.797820,api,target_to_client,242,0
1783958281.816253,api,target_to_client,245,0
1783958281.834705,api,target_to_client,246,0
1783958281.853195,api,target_to_client,247,0
1783958281.871621,api,target_to_client,243,0
1783958281.890100,api,target_to_client,249,0
1783958281.908624,api,target_to_client,250,0
1783958281.927096,api,target_to_client,250,0
1783958281.945611,api,target_to_client,242,0
1783958281.964111,api,target_to_client,245,0
1783958281.982565,api,target_to_client,248,0
1783958282.001067,api,target_to_client,246,0
1783958282.019607,api,target_to_client,244,0
1783958282.038103,api,target_to_client,246,0
1783958282.056568,api,target_to_client,246,0
1783958282.075051,api,target_to_client,245,0
1783958282.093449,api,target_to_client,249,0
1783958282.111942,api,target_to_client,250,0
1783958282.130495,api,target_to_client,250,0
1783958282.148795,api,target_to_client,244,0
1783958282.167334,api,target_to_client,244,0
1783958282.185921,api,target_to_client,244,0
1783958282.204483,api,target_to_client,246,0
1783958282.222875,api,target_to_client,244,0
1783958282.241410,api,target_to_client,249,0
1783958282.259867,api,target_to_client,246,0
1783958282.278396,api,target_to_client,243,0
1783958282.296813,api,target_to_client,248,0
1783958282.315281,api,target_to_client,250,0
1783958282.333733,api,target_to_client,246,0
1783958282.352172,api,target_to_client,251,0
1783958282.370631,api,target_to_client,250,0
1783958282.389050,api,target_to_client,242,0
1783958282.407501,api,target_to_client,245,0
1783958282.426045,api,target_to_client,249,0
1783958282.444524,api,target_to_client,242,0
1783958282.463008,api,target_to_client,245,0
1783958282.481437,api,target_to_client,246,0
1783958282.499856,api,target_to_client,244,0
1783958282.518341,api,target_to_client,248,0
1783958282.536801,api,target_to_client,249,0
1783958282.555385,api,target_to_client,243,0
1783958282.573792,api,target_to_client,246,0
1783958282.592365,api,target_to_client,244,0
1783958282.610746,api,target_to_client,243,0
1783958282.629265,api,target_to_client,252,0
1783958282.647679,api,target_to_client,242,0
1783958282.666223,api,target_to_client,245,0
1783958282.684691,api,target_to_client,245,0
1783958282.703152,api,target_to_client,243,0
1783958282.721634,api,target_to_client,244,0
1783958282.740091,api,target_to_client,244,0
1783958282.758581,api,target_to_client,243,0
1783958282.777049,api,target_to_client,244,0
1783958282.795523,api,target_to_client,244,0
1783958282.813931,api,target_to_client,242,0
1783958282.832427,api,target_to_client,242,0
1783958282.850912,api,target_to_client,244,0
1783958282.869430,api,target_to_client,242,0
1783958282.887840,api,target_to_client,242,0
1783958282.906317,api,target_to_client,242,0
1783958282.924789,api,target_to_client,242,0
1783958282.943328,api,target_to_client,243,0
1783958282.961821,api,target_to_client,243,0
1783958282.980291,api,target_to_client,244,0
1783958282.998739,api,target_to_client,242,0
1783958283.017262,api,target_to_client,242,0
1783958283.035619,api,target_to_client,242,0
1783958283.054496,api,target_to_client,291,0
1783958284.310935,api,client_to_target,8214,1
1783958284.319381,api,target_to_client,149,0
1783958284.323294,kv,client_to_target,186,0
1783958284.323412,kv,target_to_client,36,1
1783958284.590706,api,client_to_target,9285,1
1783958284.595499,api,target_to_client,149,0
1783958284.614722,kv,client_to_target,186,0
1783958284.614859,kv,target_to_client,36,1
1783958284.614955,api,target_to_client,491,0
1783958284.999444,api,target_to_client,491,0
1783958284.999509,api,target_to_client,241,0
1783958285.130648,api,target_to_client,241,0
1783958285.130685,api,target_to_client,241,0
1783958285.150049,api,target_to_client,241,0
