ts,route,direction,bytes,billed
1783923911.471790,api,client_to_target,8083,1
1783923911.479259,api,target_to_client,149,0
1783923911.482788,kv,client_to_target,186,0
1783923911.482928,kv,target_to_client,36,1
1783923911.779623,api,target_to_client,491,0
1783923911.800714,api,target_to_client,241,0
1783923911.820789,api,target_to_client,241,0
1783923911.841180,api,target_to_client,244,0
1783923911.860692,api,target_to_client,246,0
1783923911.880337,api,target_to_client,244,0
1783923911.900314,api,target_to_client,248,0
1783923911.919737,api,target_to_client,243,0
1783923911.939057,api,target_to_client,246,0
1783923911.958337,api,target_to_client,250,0
1783923911.977595,api,target_to_client,248,0
1783923911.996452,api,target_to_client,244,0
1783923912.015174,api,target_to_client,244,0
1783923912.033760,api,target_to_client,242,0
1783923912.052244,api,target_to_client,243,0
1783923912.070842,api,target_to_client,246,0
1783923912.089316,api,target_to_client,246,0
1783923912.107806,api,target_to_client,245,0
1783923912.126450,api,target_to_client,243,0
1783923912.144944,api,target_to_client,253,0
1783923912.163464,api,target_to_client,242,0
1783923912.182011,api,target_to_client,246,0
1783923912.200453,api,target_to_client,246,0
1783923912.219077,api,target_to_client,243,0
1783923912.238969,api,target_to_client,249,0
1783923912.258622,api,target_to_client,250,0
1783923912.278094,api,target_to_client,250,0
1783923912.296798,api,target_to_client,242,0
1783923912.315322,api,target_to_client,245,0
1783923912.333967,api,target_to_client,244,0
1783923912.352516,api,target_to_client,246,0
1783923912.370961,api,target_to_client,246,0
1783923912.389637,api,target_to_client,243,0
1783923912.408535,api,target_to_client,248,0
1783923912.427157,api,target_to_client,248,0
1783923912.445746,api,target_to_client,242,0
1783923912.465266,api,target_to_client,245,0
1783923912.486176,api,target_to_client,249,0
1783923912.505933,api,target_to_client,242,0
1783923912.524728,api,target_to_client,244,0
1783923912.543378,api,target_to_client,247,0
1783923912.561965,api,target_to_client,247,0
1783923912.580626,api,target_to_client,246,0
1783923912.599083,api,target_to_client,245,0
1783923912.618607,api,target_to_client,243,0
1783923912.638560,api,target_to_client,242,0
1783923912.657819,api,target_to_client,246,0
1783923912.676578,api,target_to_client,245,0
1783923912.695027,api,target_to_client,242,0
1783923912.713620,api,target_to_client,246,0
1783923912.732252,api,target_to_client,246,0
1783923912.757143,api,target_to_client,243,0
1783923912.777395,api,target_to_client,249,0
1783923912.797747,api,target_to_client,250,0
1783923912.817191,api,target_to_client,250,0
1783923912.835796,api,target_to_client,242,0
1783923912.854417,api,target_to_client,244,0
1783923912.874869,api,target_to_client,249,0
1783923912.895463,api,target_to_client,246,0
