bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,5.65625323043163,313.026,20
0,0.0,5.0,1,sink,0,86.29749999999999,20
1,5.0,10.0,0,source,5.65625323043163,273.774,20
1,5.0,10.0,1,sink,0,86.232,20
2,10.0,15.0,0,source,5.65625323043163,245.238,20
2,10.0,15.0,1,sink,0,86.297,20
3,15.0,20.0,0,source,5.65625323043163,256.2665,20
3,15.0,20.0,1,sink,0,86.2175,20
4,20.0,25.0,0,source,5.65625323043163,257.571,20
4,20.0,25.0,1,sink,0,86.275,20
5,25.0,30.0,0,source,5.65625323043163,301.58000000000004,20
5,25.0,30.0,1,sink,0,86.2055,20
6,30.0,35.0,0,source,5.65625323043163,290.90149999999994,20
6,30.0,35.0,1,sink,0,86.27700000000002,20
7,35.0,40.0,0,source,5.65625323043163,258.8265,20
7,35.0,40.0,1,sink,0,86.2635,20
8,40.0,45.0,0,source,5.65625323043163,291.943,20
8,40.0,45.0,1,sink,0,86.2775,20
9,45.0,50.0,0,source,5.65625323043163,327.2685,20
9,45.0,50.0,1,sink,0,86.14649999999999,20
10,50.0,55.0,0,source,5.65625323043163,319.95649999999995,20
10,50.0,55.0,1,sink,0,86.00699999999999,20
11,55.0,60.0,0,source,5.65625323043163,347.341,20
11,55.0,60.0,1,sink,0,85.8345,20
12,60.0,65.0,0,source,5.65625323043163,324.956,20
12,60.0,65.0,1,sink,0,115.16100000000002,20
13,65.0,70.0,0,source,4.975841195395073,282.2505,20
13,65.0,70.0,1,sink,0.6804120350365566,137.8245,20
14,70.0,75.0,0,source,3.575080797342124,269.21049999999997,20
14,70.0,75.0,1,sink,2.0811724330895056,187.4745,20
15,75.0,80.0,0,source,3.0267253071782547,259.47400000000005,20
15,75.0,80.0,1,sink,2.629527923253375,207.8775,20
16,80.0,85.0,0,source,2.2767253071782547,250.825,20
16,80.0,85.0,1,sink,3.379527923253375,283.5625,20
17,85.0,90.0,0,source,1.6820172853322806,186.87050000000002,20
17,85.0,90.0,1,sink,3.974235945099349,272.34,20
18,90.0,95.0,0,source,1.0252911637090731,193.033,20
18,90.0,95.0,1,sink,4.630962066722557,262.62350000000004,20
19,95.0,100.0,0,source,0.2448077148538248,119.958,20
19,95.0,100.0,1,sink,5.411445515577805,346.434,20
20,100.0,105.0,0,source,0.2448077148538248,116.999,20
20,100.0,105.0,1,sink,5.411445515577805,277.98600000000005,20
21,105.0,110.0,0,source,0.2448077148538248,91.50250000000001,20
21,105.0,110.0,1,sink,5.411445515577805,283.474,20
22,110.0,115.0,0,source,0.2448077148538248,91.182,20
22,110.0,115.0,1,sink,5.411445515577805,318.55,20
23,115.0,120.0,0,source,0.2448077148538248,90.63900000000001,20
23,115.0,120.0,1,sink,5.411445515577805,292.377,20
24,120.0,125.0,0,source,0.2448077148538248,90.36999999999998,20
24,120.0,125.0,1,sink,5.411445515577805,324.64750000000004,20
25,125.0,130.0,0,source,0.2448077148538248,90.186,20
25,125.0,130.0,1,sink,5.411445515577805,287.50449999999995,20
26,130.0,135.0,0,source,0.2448077148538248,151.64473684210526,19
26,130.0,135.0,1,sink,5.411445515577805,304.05421052631584,19
27,135.0,140.0,0,source,0.2448077148538248,142.04199999999997,20
27,135.0,140.0,1,sink,5.411445515577805,314.407,20
28,140.0,145.0,0,source,0.2448077148538248,90.64399999999999,20
28,140.0,145.0,1,sink,5.411445515577805,310.4075,20
29,145.0,150.0,0,source,0.2448077148538248,90.057,20
29,145.0,150.0,1,sink,5.411445515577805,304.386,20
30,150.0,155.0,0,source,0.2448077148538248,162.57049999999998,20
30,150.0,155.0,1,sink,5.411445515577805,311.27799999999996,20
31,155.0,158.0545539855957,0,source,0.2448077148538248,89.96750000000002,12
31,155.0,158.0545539855957,1,sink,5.411445515577805,290.9666666666667,12
