ts,route,direction,bytes,billed
1783966848.200104,api,client_to_target,12517,1
1783966848.209729,api,target_to_client,149,0
1783966848.213962,kv,client_to_target,186,0
1783966848.214141,kv,target_to_client,36,1
1783966848.714388,api,target_to_client,539,0
1783966853.338500,api,client_to_target,13255,1
1783966853.351292,api,target_to_client,149,0
1783966853.356905,kv,client_to_target,186,0
1783966853.357057,kv,target_to_client,36,1
1783966853.420041,api,target_to_client,539,0
1783966854.002823,api,client_to_target,143,1
1783966854.005392,api,client_to_target,13594,1
1783966854.017288,api,target_to_client,149,0
1783966854.022765,kv,client_to_target,186,0
1783966854.022917,kv,target_to_client,36,1
1783966854.073840,api,target_to_client,491,0
1783966854.092474,api,target_to_client,241,0
1783966854.111058,api,target_to_client,241,0
1783966854.129673,api,target_to_client,243,0
1783966854.148447,api,target_to_client,246,0
1783966854.167198,api,target_to_client,243,0
1783966854.185865,api,target_to_client,254,0
1783966854.204609,api,target_to_client,242,0
1783966854.223258,api,target_to_client,245,0
1783966854.241968,api,target_to_client,246,0
1783966854.260660,api,target_to_client,244,0
1783966854.279619,api,target_to_client,248,0
1783966854.298424,api,target_to_client,243,0
1783966854.316912,api,target_to_client,248,0
1783966854.335464,api,target_to_client,244,0
1783966854.354252,api,target_to_client,244,0
1783966854.373183,api,target_to_client,245,0
1783966854.391638,api,target_to_client,244,0
1783966854.410208,api,target_to_client,242,0
1783966854.428946,api,target_to_client,244,0
1783966854.447388,api,target_to_client,243,0
1783966854.466433,api,target_to_client,250,0
1783966854.485111,api,target_to_client,246,0
1783966854.503817,api,target_to_client,243,0
1783966854.522477,api,target_to_client,246,0
1783966854.541238,api,target_to_client,248,0
1783966854.559958,api,target_to_client,244,0
1783966854.578601,api,target_to_client,244,0
1783966854.597333,api,target_to_client,242,0
1783966854.615795,api,target_to_client,243,0
1783966854.634597,api,target_to_client,250,0
1783966854.653289,api,target_to_client,242,0
1783966854.671921,api,target_to_client,245,0
1783966854.690620,api,target_to_client,251,0
1783966854.709357,api,target_to_client,244,0
1783966854.727967,api,target_to_client,250,0
1783966854.746738,api,target_to_client,244,0
1783966854.765399,api,target_to_client,247,0
1783966854.784228,api,target_to_client,246,0
1783966854.802907,api,target_to_client,245,0
1783966854.821616,api,target_to_client,249,0
1783966854.840327,api,target_to_client,250,0
1783966854.858944,api,target_to_client,250,0
1783966854.877588,api,target_to_client,246,0
1783966854.896242,api,target_to_client,246,0
1783966854.914881,api,target_to_client,242,0
1783966854.933660,api,target_to_client,245,0
1783966854.952399,api,target_to_client,246,0
1783966854.971001,api,target_to_client,245,0
1783966854.998777,api,target_to_client,249,0
1783966855.017751,api,target_to_client,248,0
1783966855.036371,api,target_to_client,251,0
1783966855.038625,api,client_to_target,10980,1
1783966855.050665,api,target_to_client,149,0
1783966855.056473,api,target_to_client,245,0
1783966855.056720,kv,client_to_target,186,0
1783966855.056794,kv,target_to_client,36,1
1783966855.447163,api,target_to_client,248,0
1783966855.447253,api,target_to_client,539,0
1783966855.465346,api,target_to_client,245,0
1783966855.484178,api,target_to_client,242,0
1783966855.502857,api,target_to_client,242,0
1783966855.521694,api,target_to_client,242,0
1783966855.540363,api,target_to_client,243,0
