bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,5.65625323043163,300.2235,20
0,0.0,5.0,1,sink,0,85.09599999999999,20
1,5.0,10.0,0,source,5.65625323043163,243.821,20
1,5.0,10.0,1,sink,0,85.06249999999999,20
2,10.0,15.0,0,source,5.65625323043163,215.55263157894737,19
2,10.0,15.0,1,sink,0,85.18473684210527,19
3,15.0,20.0,0,source,5.65625323043163,292.754,20
3,15.0,20.0,1,sink,0,84.97999999999999,20
4,20.0,25.0,0,source,5.65625323043163,300.95050000000003,20
4,20.0,25.0,1,sink,0,84.9085,20
5,25.0,30.0,0,source,5.65625323043163,274.9425,20
5,25.0,30.0,1,sink,0,84.97149999999999,20
6,30.0,35.0,0,source,5.65625323043163,270.45649999999995,20
6,30.0,35.0,1,sink,0,84.98549999999999,20
7,35.0,40.0,0,source,5.65625323043163,293.9205,20
7,35.0,40.0,1,sink,0,85.02949999999998,20
8,40.0,45.0,0,source,5.65625323043163,295.014,20
8,40.0,45.0,1,sink,0,85.1825,20
9,45.0,50.0,0,source,5.65625323043163,297.86947368421056,19
9,45.0,50.0,1,sink,0,85.02,19
10,50.0,55.0,0,source,5.65625323043163,315.61550000000005,20
10,50.0,55.0,1,sink,0,85.03999999999999,20
11,55.0,60.0,0,source,5.65625323043163,297.68,20
11,55.0,60.0,1,sink,0,85.0375,20
12,60.0,65.0,0,source,5.65625323043163,315.011,20
12,60.0,65.0,1,sink,0,100.36149999999999,20
13,65.0,70.0,0,source,5.65625323043163,292.16150000000005,20
13,65.0,70.0,1,sink,0,84.8785,20
14,70.0,75.0,0,source,3.575080797342124,308.178,20
14,70.0,75.0,1,sink,2.0811724330895056,276.2545,20
15,75.0,80.0,0,source,2.2767253071782547,242.84499999999997,20
15,75.0,80.0,1,sink,3.379527923253375,294.017,20
16,80.0,85.0,0,source,1.9452552659569071,214.99499999999998,20
16,80.0,85.0,1,sink,3.7109979644747226,256.7,20
17,85.0,90.0,0,source,1.9452552659569071,212.815,20
17,85.0,90.0,1,sink,3.7109979644747226,227.05450000000002,20
18,90.0,95.0,0,source,1.9452552659569071,186.95749999999998,20
18,90.0,95.0,1,sink,3.7109979644747226,283.50149999999996,20
19,95.0,100.0,0,source,1.9452552659569071,197.2915,20
19,95.0,100.0,1,sink,3.7109979644747226,237.40399999999994,20
20,100.0,105.0,0,source,1.9452552659569071,247.67850000000004,20
20,100.0,105.0,1,sink,3.7109979644747226,214.8915,20
21,105.0,110.0,0,source,1.9452552659569071,215.871,20
21,105.0,110.0,1,sink,3.7109979644747226,202.1375,20
22,110.0,115.0,0,source,1.9452552659569071,161.0635,20
22,110.0,115.0,1,sink,3.7109979644747226,210.8485,20
23,115.0,120.0,0,source,1.9452552659569071,253.70950000000002,20
23,115.0,120.0,1,sink,3.7109979644747226,224.0395,20
24,120.0,125.0,0,source,1.9452552659569071,208.18099999999998,20
24,120.0,125.0,1,sink,3.7109979644747226,220.08350000000002,20
25,125.0,130.0,0,source,1.9452552659569071,169.40999999999997,20
25,125.0,130.0,1,sink,3.7109979644747226,267.3279999999999,20
26,130.0,135.0,0,source,1.9452552659569071,241.05350000000004,20
26,130.0,135.0,1,sink,3.7109979644747226,287.396,20
27,135.0,138.48622369766235,0,source,1.9452552659569071,283.20153846153846,13
27,135.0,138.48622369766235,1,sink,3.7109979644747226,331.87538461538463,13
