timestamp,index,power_w,util_gpu,memory_mib
2026/07/13 10:08:13.159, 0, 91.55, 0, 74059
2026/07/13 10:08:13.161, 1, 88.00, 0, 74055
2026/07/13 10:08:13.411, 0, 386.42, 0, 74059
2026/07/13 10:08:13.412, 1, 88.32, 0, 74055
2026/07/13 10:08:13.662, 0, 135.23, 38, 74059
2026/07/13 10:08:13.662, 1, 88.09, 0, 74055
2026/07/13 10:08:13.912, 0, 133.43, 31, 74059
2026/07/13 10:08:13.912, 1, 87.81, 0, 74055
2026/07/13 10:08:14.162, 0, 134.90, 31, 74059
2026/07/13 10:08:14.162, 1, 87.72, 0, 74055
2026/07/13 10:08:14.412, 0, 129.45, 30, 74059
2026/07/13 10:08:14.413, 1, 87.81, 0, 74055
2026/07/13 10:08:14.663, 0, 129.18, 31, 74059
2026/07/13 10:08:14.663, 1, 87.81, 0, 74055
2026/07/13 10:08:14.913, 0, 136.15, 31, 74059
2026/07/13 10:08:14.914, 1, 87.81, 0, 74055
2026/07/13 10:08:15.164, 0, 130.98, 31, 74059
2026/07/13 10:08:15.164, 1, 87.81, 0, 74055
2026/07/13 10:08:15.414, 0, 389.47, 62, 74059
2026/07/13 10:08:15.414, 1, 87.72, 0, 74055
2026/07/13 10:08:15.664, 0, 135.23, 59, 74059
2026/07/13 10:08:15.664, 1, 87.48, 0, 74055
2026/07/13 10:08:15.914, 0, 136.28, 31, 74059
2026/07/13 10:08:15.914, 1, 87.48, 0, 74055
2026/07/13 10:08:16.164, 0, 140.67, 31, 74059
2026/07/13 10:08:16.165, 1, 87.48, 0, 74055
2026/07/13 10:08:16.415, 0, 140.67, 31, 74059
2026/07/13 10:08:16.415, 1, 87.48, 0, 74055
2026/07/13 10:08:16.665, 0, 134.03, 31, 74059
2026/07/13 10:08:16.665, 1, 87.39, 0, 74055
2026/07/13 10:08:16.915, 0, 135.23, 30, 74059
2026/07/13 10:08:16.915, 1, 87.48, 0, 74055
2026/07/13 10:08:17.165, 0, 131.91, 31, 74059
2026/07/13 10:08:17.165, 1, 87.48, 0, 74055
2026/07/13 10:08:17.416, 0, 129.32, 32, 74059
2026/07/13 10:08:17.416, 1, 87.48, 0, 74055
2026/07/13 10:08:17.666, 0, 132.18, 30, 74059
2026/07/13 10:08:17.666, 1, 87.48, 0, 74055
2026/07/13 10:08:17.916, 0, 136.42, 30, 74059
2026/07/13 10:08:17.916, 1, 87.48, 0, 74055
2026/07/13 10:08:18.166, 0, 133.70, 31, 74059
