dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,committed,0.3847463130950928,5.236179351806641,0.16021156311035156,5.396390914916992,5.616201400756836,10.888007402420044,10.888158559799194,5.106703281402588,0.16045808792114258
1,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,committed,0.4032325744628906,5.216597080230713,0.45718860626220703,5.67378568649292,5.61629319190979,8.57832932472229,8.578558921813965,2.5010826587677,0.4575798511505127
2,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,committed,11.263058423995972,0.4702908992767334,0.46825313568115234,0.9385440349578857,11.730162620544434,12.96597933769226,12.966204404830933,0.7640643119812012,0.46872568130493164
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,committed,13.352700471878052,0.7114913463592529,0.0,0.7114913463592529,14.060935258865356,14.064191818237305,14.064541816711426,1.5020370483398438e-05,0.00028514862060546875
4,codex:41e93e85-eff7-106f-9736-224049baedb2,R,committed,14.426615715026855,0.290311336517334,0.0,0.290311336517334,14.713863134384155,14.71692705154419,14.717216491699219,2.1696090698242188e-05,0.0002129077911376953
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,committed,15.09118366241455,0.32192230224609375,0.5207433700561523,0.8426656723022461,15.40946888923645,18.003846883773804,18.004066944122314,2.0695154666900635,0.5213775634765625
6,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,committed,18.377919673919678,0.23042964935302734,0.0,0.23042964935302734,18.603933811187744,18.608349323272705,18.608579635620117,3.0040740966796875e-05,0.00012993812561035156
7,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,committed,19.0090115070343,0.2525293827056885,0.0,0.2525293827056885,19.2570219039917,19.26154088973999,19.261892557144165,3.528594970703125e-05,0.00024247169494628906
8,codex:e6744833-786a-9c87-c539-3a40cda50680,R,committed,19.628143787384033,0.3794848918914795,0.3660306930541992,0.7455155849456787,20.00339436531067,23.026546478271484,23.026736974716187,2.6526639461517334,0.3663609027862549
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,committed,23.39404273033142,1.1006462574005127,0.10413098335266113,1.2047772407531738,24.49022650718689,24.599332571029663,24.59957480430603,2.384185791015625e-05,0.10462188720703125
10,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,committed,24.97808861732483,0.3596961498260498,0.28951525688171387,0.6492114067077637,25.333606719970703,28.8017475605011,28.801928281784058,3.174253463745117,0.2898383140563965
