case_id,bound_constraint,constraints,replicate,sessions,target_w,power_bootstrap_index,timing_fit_sha256,bandwidth_projection_regions,fractional_lp_opportunity_w,target_met,feasible,power_shortfall_w,planned_shed_w,predicted_migration_makespan_s,loaded_candidate_count,loaded_pool_count,loaded_selected_count,loaded_context_below_session_count,loaded_context_above_session_count,loaded_context_below_candidate_count,loaded_context_above_candidate_count,loaded_context_below_selected_count,loaded_context_above_selected_count,loaded_bandwidth_below_pool_count,loaded_bandwidth_above_pool_count,loaded_bandwidth_below_candidate_count,loaded_bandwidth_above_candidate_count,loaded_bandwidth_below_selected_count,loaded_bandwidth_above_selected_count,loaded_context_below_replay_selected_count,loaded_context_above_replay_selected_count,loaded_bandwidth_below_replay_selected_count,loaded_bandwidth_above_replay_selected_count,loaded_context_below_kv_transfer_selected_count,loaded_context_above_kv_transfer_selected_count,loaded_bandwidth_below_kv_transfer_selected_count,loaded_bandwidth_above_kv_transfer_selected_count,candidate_matched_pairs,candidate_replay_only,candidate_kv_only,candidate_neither,candidate_replay_dominates,candidate_kv_dominates,candidate_equivalent,candidate_incomparable,replay_count,kv_transfer_count,not_moved_count,replay,kv_transfer,not_moved,route_utilization,service_utilization,hbm_utilization,migration_utilization,binding_resources,failure
hbm,HBM,hbm,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,23.0013576320936,True,True,0.0,57.92062794155048,24.767938487521146,112,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,45,0,0,11,17,11,0,0.6071428571428571,0.39285714285714285,0.0,0.14355361207814146,0.14165648026413605,0.875,0.9907175395008456,,
bandwidth,Bandwidth,bandwidth,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,23.001357632093605,True,True,0.0,57.92062794155048,24.767938487521146,112,2,28,0,0,0,0,0,0,1,0,56,0,11,0,0,0,11,0,0,0,0,0,56,0,0,0,45,0,0,11,17,11,0,0.6071428571428571,0.39285714285714285,0.0,0.1661292080176577,0.14165648026413605,0.0874534821903243,0.9907175395008456,,
dest_compute,Dest. compute,dest_compute,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,22.185261110619223,True,True,0.0,41.076513529911125,20.87922790461278,112,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,39,0,0,17,14,7,7,0.5,0.25,0.25,0.1411790213752747,0.9905732178370769,0.07549175970228603,0.8351691161845108,,
bandwidth-hbm,HBM + bandwidth,bandwidth+hbm,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,23.0013576320936,True,True,0.0,57.92062794155048,24.767938487521146,112,2,28,0,0,0,0,0,0,1,0,56,0,11,0,0,0,11,0,0,0,0,0,56,0,0,0,45,0,0,11,17,11,0,0.6071428571428571,0.39285714285714285,0.0,0.1661292080176577,0.14165648026413605,0.875,0.9907175395008456,,
dest_compute-hbm,HBM + compute,dest_compute+hbm,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,22.185261110619223,True,True,0.0,41.076513529911125,20.87922790461278,112,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,39,0,0,17,14,7,7,0.5,0.25,0.25,0.14117902137527466,0.9905732178370769,0.7553191489361701,0.8351691161845108,,
bandwidth-dest_compute,Bandwidth + compute,bandwidth+dest_compute,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,22.185261110619223,True,True,0.0,41.076513529911125,20.87922790461278,112,2,21,0,0,0,0,0,0,1,0,56,0,7,0,0,0,7,0,0,0,0,0,56,0,0,0,39,0,0,17,14,7,7,0.5,0.25,0.25,0.16338118331021514,0.9905732178370769,0.07549175970228603,0.8351691161845108,,
bandwidth-dest_compute-hbm,All bound,bandwidth+dest_compute+hbm,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,22.185261110619223,True,True,0.0,41.076513529911125,20.87922790461278,112,2,21,0,0,0,0,0,0,1,0,56,0,7,0,0,0,7,0,0,0,0,0,56,0,0,0,39,0,0,17,14,7,7,0.5,0.25,0.25,0.16338118331021514,0.9905732178370769,0.7553191489361701,0.8351691161845108,,
none,None bound,none,0,28,38.61375196103365,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,23.001357632093605,True,True,0.0,57.92062794155048,24.767938487521146,112,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,45,0,0,11,17,11,0,0.6071428571428571,0.39285714285714285,0.0,0.14355361207814146,0.14165648026413605,0.0874534821903243,0.9907175395008456,,
hbm,HBM,hbm,1,28,19.8382051154284,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,21.229395252428688,True,True,0.0,26.85263258040996,10.552578021359455,112,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0,0,0,8,0,20,0.2857142857142857,0.0,0.7142857142857143,5.785912940767076e-06,0.1019153523490766,0.300531914893617,0.4221031208543782,,
bandwidth,Bandwidth,bandwidth,1,28,19.8382051154284,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,21.229395252428688,True,True,0.0,26.85263258040996,10.552578021359455,112,2,8,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0,0,0,8,0,20,0.2857142857142857,0.0,0.7142857142857143,5.799894551877623e-06,0.1019153523490766,0.030037214247740564,0.4221031208543782,,
