source,final_total,trace_count
hermes,1,1593
hermes,2,635
hermes,3,535
hermes,4,506
hermes,5,495
hermes,6,425
hermes,7,416
hermes,8,372
hermes,9,408
hermes,10,370
hermes,11,354
hermes,12,300
hermes,13,276
hermes,14,222
hermes,15,154
hermes,16,109
hermes,17,66
hermes,18,64
hermes,19,43
hermes,20,52
hermes,21,42
hermes,22,31
hermes,23,21
hermes,24,12
hermes,25,8
hermes,26,16
hermes,27,14
hermes,28,19
hermes,29,8
hermes,30,4
hermes,31,9
hermes,32,6
hermes,33,6
hermes,34,5
hermes,35,6
hermes,36,8
hermes,37,6
hermes,38,3
hermes,39,4
hermes,40,3
hermes,41,1
hermes,42,4
hermes,43,1
hermes,44,1
hermes,45,2
hermes,47,2
hermes,48,2
hermes,50,1
hermes,54,1
hermes,55,1
hermes,56,1
hermes,67,1
swe-agent,0,1
swe-agent,1,2012
swe-agent,2,1560
swe-agent,3,8283
swe-agent,4,5702
swe-agent,5,4295
swe-agent,6,3795
swe-agent,7,6889
swe-agent,8,8168
swe-agent,9,3884
swe-agent,10,4153
swe-agent,11,3202
swe-agent,12,2732
swe-agent,13,2253
swe-agent,14,2007
swe-agent,15,1599
swe-agent,16,1481
swe-agent,17,1280
swe-agent,18,1138
swe-agent,19,1012
swe-agent,20,931
swe-agent,21,834
swe-agent,22,817
swe-agent,23,719
swe-agent,24,681
swe-agent,25,609
swe-agent,26,601
swe-agent,27,589
swe-agent,28,567
swe-agent,29,516
swe-agent,30,469
swe-agent,31,469
swe-agent,32,429
swe-agent,33,385
swe-agent,34,364
swe-agent,35,354
swe-agent,36,333
swe-agent,37,307
swe-agent,38,265
swe-agent,39,240
swe-agent,40,229
swe-agent,41,199
swe-agent,42,162
swe-agent,43,155
swe-agent,44,162
swe-agent,45,127
swe-agent,46,119
swe-agent,47,122
swe-agent,48,109
swe-agent,49,102
swe-agent,50,84
swe-agent,51,103
swe-agent,52,96
swe-agent,53,94
swe-agent,54,85
swe-agent,55,81
swe-agent,56,79
swe-agent,57,58
swe-agent,58,68
swe-agent,59,75
swe-agent,60,62
swe-agent,61,67
swe-agent,62,50
swe-agent,63,54
swe-agent,64,50
swe-agent,65,45
swe-agent,66,36
swe-agent,67,33
swe-agent,68,44
swe-agent,69,35
swe-agent,70,45
swe-agent,71,52
swe-agent,72,50
swe-agent,73,32
swe-agent,74,41
swe-agent,75,39
swe-agent,76,34
swe-agent,77,43
swe-agent,78,18
swe-agent,79,30
swe-agent,80,31
swe-agent,81,27
swe-agent,82,23
swe-agent,83,25
swe-agent,84,24
swe-agent,85,20
swe-agent,86,29
swe-agent,87,27
swe-agent,88,27
swe-agent,89,26
swe-agent,90,21
swe-agent,91,21
swe-agent,92,24
swe-agent,93,17
swe-agent,94,23
swe-agent,95,27
swe-agent,96,16
swe-agent,97,18
swe-agent,98,16
swe-agent,99,24
swe-agent,100,15
swe-agent,101,20
swe-agent,102,18
swe-agent,103,24
swe-agent,104,15
swe-agent,105,15
swe-agent,106,16
swe-agent,107,9
swe-agent,108,14
swe-agent,109,13
swe-agent,110,8
swe-agent,111,12
swe-agent,112,10
swe-agent,113,10
swe-agent,114,11
swe-agent,115,13
swe-agent,116,8
swe-agent,117,9
swe-agent,118,7
swe-agent,119,7
swe-agent,120,7
swe-agent,121,4
swe-agent,122,5
swe-agent,123,6
swe-agent,124,13
swe-agent,125,4
swe-agent,126,9
swe-agent,127,4
swe-agent,128,3
swe-agent,129,5
swe-agent,130,4
swe-agent,131,9
swe-agent,132,1
swe-agent,133,3
swe-agent,134,3
swe-agent,135,4
swe-agent,136,4
swe-agent,137,4
swe-agent,138,5
swe-agent,139,7
swe-agent,140,4
swe-agent,141,2
swe-agent,142,3
swe-agent,143,3
swe-agent,144,4
swe-agent,145,5
swe-agent,146,4
swe-agent,147,2
swe-agent,148,2
swe-agent,149,3
swe-agent,150,5
swe-agent,151,2
