trace_key,source,exit_status,first_stuck_step,total_turns,stuck_progress,continued_turns
swe-agent:000002:AnalogJ__lexicon-336,swe-agent,submitted (exit_context),24,59,0.4067796610169492,35
swe-agent:000023:Azure__azure-functions-python-worker-890,swe-agent,submitted,16,33,0.48484848484848486,17
swe-agent:000037:Melevir__cognitive_complexity-15,swe-agent,submitted,38,57,0.6666666666666666,19
swe-agent:000051:Melevir__cognitive_complexity-15,swe-agent,submitted (exit_context),50,89,0.5617977528089888,39
swe-agent:000059:Melevir__cognitive_complexity-15,swe-agent,submitted,34,45,0.7555555555555555,11
swe-agent:000060:Melevir__cognitive_complexity-15,swe-agent,submitted,18,43,0.4186046511627907,25
swe-agent:000063:Melevir__cognitive_complexity-15,swe-agent,submitted (exit_context),22,71,0.30985915492957744,49
swe-agent:000064:Melevir__cognitive_complexity-15,swe-agent,submitted,26,69,0.37681159420289856,43
swe-agent:000077:PyCQA__pyflakes-761,swe-agent,submitted,62,77,0.8051948051948052,15
swe-agent:000095:ShawHahnLab__igseq-2,swe-agent,submitted,62,65,0.9538461538461539,3
swe-agent:000101:ShawHahnLab__igseq-2,swe-agent,submitted (exit_context),42,51,0.8235294117647058,9
swe-agent:000105:ShawHahnLab__igseq-2,swe-agent,submitted (exit_context),52,53,0.9811320754716981,1
swe-agent:000113:TACC__agavepy-62,swe-agent,submitted (exit_context),16,117,0.13675213675213677,101
swe-agent:000119:TACC__agavepy-62,swe-agent,submitted,36,45,0.8,9
swe-agent:000120:TheFriendlyCoder__pyjen-113,swe-agent,submitted,24,45,0.5333333333333333,21
swe-agent:000154:airspeed-velocity__asv-702,swe-agent,submitted (exit_context),28,29,0.9655172413793104,1
swe-agent:000159:airspeed-velocity__asv-702,swe-agent,exit_context,16,175,0.09142857142857143,159
swe-agent:000160:airspeed-velocity__asv-702,swe-agent,submitted (exit_context),22,133,0.16541353383458646,111
swe-agent:000165:airspeed-velocity__asv-702,swe-agent,submitted,18,55,0.32727272727272727,37
swe-agent:000181:asottile__pyupgrade-142,swe-agent,submitted (exit_context),16,99,0.16161616161616163,83
swe-agent:000204:asottile__pyupgrade-142,swe-agent,exit_context,22,25,0.88,3
swe-agent:000218:asottile__pyupgrade-142,swe-agent,submitted (exit_context),32,65,0.49230769230769234,33
swe-agent:000237:asottile__pyupgrade-147,swe-agent,submitted (exit_context),40,397,0.10075566750629723,357
swe-agent:000244:asottile__pyupgrade-147,swe-agent,submitted,24,29,0.8275862068965517,5
swe-agent:000251:asottile__pyupgrade-147,swe-agent,submitted,24,35,0.6857142857142857,11
swe-agent:000288:auth0__auth0-python-477,swe-agent,submitted (exit_context),20,83,0.24096385542168675,63
swe-agent:000292:auth0__auth0-python-477,swe-agent,submitted (exit_context),20,91,0.21978021978021978,71
swe-agent:000295:aws-cloudformation__cloudformation-cli-python-plugin-236,swe-agent,submitted (exit_context),40,221,0.18099547511312217,181
swe-agent:000318:benjamincorcoran__sasdocs-41,swe-agent,submitted,30,41,0.7317073170731707,11
swe-agent:000355:casbin__pycasbin-53,swe-agent,submitted,24,41,0.5853658536585366,17
swe-agent:000357:casbin__pycasbin-53,swe-agent,exit_context,18,373,0.04825737265415549,355
swe-agent:000362:casbin__pycasbin-53,swe-agent,submitted,42,47,0.8936170212765957,5
swe-agent:000368:cytomining__pycytominer-62,swe-agent,submitted (exit_context),24,67,0.3582089552238806,43
swe-agent:000374:dask__dask-jobqueue-563,swe-agent,exit_context,26,49,0.5306122448979592,23
swe-agent:000382:dask__dask-jobqueue-563,swe-agent,submitted,24,39,0.6153846153846154,15
swe-agent:000386:dask__dask-jobqueue-563,swe-agent,submitted,14,39,0.358974358974359,25
swe-agent:000410:fairlearn__fairlearn-896,swe-agent,submitted,60,75,0.8,15
swe-agent:000424:geopandas__geopandas-3240,swe-agent,submitted (exit_context),36,55,0.6545454545454545,19
swe-agent:000434:google__latexify_py-67,swe-agent,submitted (exit_context),38,83,0.4578313253012048,45
swe-agent:000435:google__latexify_py-67,swe-agent,submitted (exit_context),28,49,0.5714285714285714,21
swe-agent:000450:google__mobly-472,swe-agent,exit_context,32,81,0.3950617283950617,49
swe-agent:000506:iris-hep__func_adl-116,swe-agent,submitted (exit_context),38,61,0.6229508196721312,23
swe-agent:000514:iterative__dvc-3462,swe-agent,submitted (exit_context),32,85,0.3764705882352941,53
swe-agent:000529:iterative__dvc-5785,swe-agent,exit_context,22,87,0.25287356321839083,65
swe-agent:000547:iterative__dvc-5785,swe-agent,submitted,22,35,0.6285714285714286,13
swe-agent:000551:iterative__dvc-5785,swe-agent,submitted,24,33,0.7272727272727273,9
swe-agent:000563:iterative__dvc-5785,swe-agent,submitted,32,75,0.4266666666666667,43
swe-agent:000569:iterative__dvc-5785,swe-agent,submitted,20,61,0.32786885245901637,41
swe-agent:000572:iterative__dvc-5785,swe-agent,submitted,42,67,0.6268656716417911,25
swe-agent:000574:iterative__dvc-6303,swe-agent,submitted (exit_context),30,93,0.3225806451612903,63
