stratum,old_ece,new_ece,delta_new_minus_old,decision_threshold,passes_threshold
pooled,0.020954579367149867,0.018977474801688862,-0.0019771045654610048,,
hermes,0.006991298122073192,0.006283631034364166,-0.0007076670877090262,,
swe-agent,0.021584265446720964,0.019436973775097555,-0.0021472916716234088,,
terminalbench,0.02207015604794203,0.021852947003993664,-0.00021720904394836524,,
hermes x short,0.23869113190508912,0.23834018885388344,-0.00035094305120567104,0.08,False
hermes x medium,0.09489806037972671,0.09588828527288609,0.0009902248931593777,0.06,False
hermes x long,0.09344049294156805,0.09697262814189163,0.003532135200323583,0.05,False
swe-agent x short,0.14943755386900387,0.14908095448215078,-0.00035659938685309034,0.08,False
swe-agent x medium,0.0574069536068772,0.05633764418218887,-0.0010693094246883306,0.06,True
swe-agent x long,0.029564105573229006,0.03487971819134369,0.005315612618114682,0.05,True
terminalbench x short,0.2611369076347409,0.24416945257110534,-0.01696745506363556,0.08,False
terminalbench x medium,0.17145151068328426,0.1708776224504191,-0.0005738882328651662,0.06,False
terminalbench x long,0.03319791218162887,0.034395371231181214,0.0011974590495523463,0.05,True
